1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
40,199,135,71,46,185,130,82,47,177,127,81,51,164,120,78,51,156,116,77
38,249,179,102,53,239,173,113,54,236,171,111,60,238,167,109,64,239,167,107
62,335,214,118,79,316,213,144,82,310,209,142,97,288,205,139,97,280,203,140
87,375,244,144,105,361,245,172,105,354,245,172,108,373,241,170,107,375,239,166
99,423,296,169,115,404,287,196,118,409,283,195,132,394,275,197,134,386,272,195
157,526,355,206,184,499,350,254,177,489,345,250,179,496,340,254,179,503,339,250
273,511,408,256,281,500,408,340,280,504,410,333,290,501,411,340,286,490,413,337
347,466,371,321,345,471,376,386,341,461,381,389,339,476,377,398,335,480,378,401
355,410,359,327,349,418,352,401,348,424,353,404,342,440,358,424,348,447,361,428
355,401,330,323,360,402,343,400,369,407,339,401,363,417,358,404,364,416,355,393
352,389,352,290,349,398,347,356,341,397,348,357,349,412,343,363,345,411,346,367
304,388,313,311,317,387,322,351,319,383,321,345,325,397,315,346,328,397,314,350
193,407,314,282,211,397,316,342,214,397,317,344,235,391,329,340,235,396,326,339
111,416,322,193,137,389,325,250,145,394,328,249,153,392,319,268,156,378,316,271
105,440,320,201,123,421,318,250,123,418,314,257,135,430,309,275,137,435,309,274
114,453,326,199,135,441,325,249,136,436,328,248,150,437,314,252,150,437,316,256
101,405,302,189,124,394,304,243,129,397,299,240,144,384,306,248,144,383,304,241
83,405,313,202,102,392,320,244,105,384,318,248,121,382,315,254,124,375,319,263
88,424,303,178,119,401,299,235,123,400,308,234,136,396,303,239,137,407,304,235
101,412,317,193,127,387,311,252,129,386,310,250,141,384,288,259,141,381,286,256
89,420,309,181,116,394,313,233,118,393,309,237,130,402,318,233,132,400,315,231
112,434,305,191,135,420,302,251,137,414,309,250,149,405,303,256,150,395,307,260
104,436,330,188,125,418,328,245,126,420,322,243,136,426,330,253,139,421,329,247
98,453,335,201,120,441,330,258,122,433,332,255,134,429,334,254,135,439,332,253
113,449,348,218,142,429,339,268,138,427,338,270,137,434,348,291,138,426,349,290
113,457,379,226,130,442,369,275,135,442,364,276,151,438,353,291,151,441,355,297
122,418,331,205,141,406,333,267,141,415,340,263,145,439,324,270,144,433,319,271
153,464,360,231,178,448,363,285,177,432,363,286,183,427,370,287,186,433,370,289
139,480,368,243,155,471,361,303,158,478,361,302,164,493,371,305,162,494,371,305
166,515,347,243,190,498,354,303,190,488,355,303,196,494,343,300,197,494,348,297
173,473,337,246,196,463,336,313,193,474,338,312,207,475,347,313,206,470,349,305
220,515,364,251,225,501,367,308,226,498,357,314,235,498,357,326,234,494,360,333
273,494,383,276,285,488,383,347,282,493,383,337,283,495,382,338,281,504,376,341
279,471,375,317,289,466,375,379,290,458,376,383,295,483,378,389,296,479,377,386
332,410,342,315,333,410,348,382,328,418,349,385,343,415,354,391,340,412,353,393
316,373,324,297,309,383,322,362,311,379,322,353,298,394,312,379,293,397,311,377
317,395,314,303,323,393,324,372,324,395,330,382,330,410,340,396,339,414,339,393
324,392,304,282,334,391,307,337,332,390,307,332,331,395,319,337,329,393,318,341
343,390,329,293,345,389,337,381,346,393,335,386,353,402,328,408,350,402,333,403
324,376,294,300,329,381,293,379,327,379,293,376,312,380,301,388,317,377,300,389
286,356,313,263,297,348,313,315,298,352,312,311,320,368,311,331,318,371,312,330
308,341,326,286,310,347,324,339,311,345,324,344,309,350,334,341,308,354,339,342
285,345,331,286,288,351,347,321,292,347,345,322,289,358,337,343,286,359,335,343
274,371,304,262,278,362,304,305,277,361,307,305,283,366,306,313,282,366,305,317
269,382,354,258,278,392,345,334,278,390,347,336,279,414,350,351,285,410,348,338
271,382,327,255,279,377,330,290,276,383,328,288,285,386,319,295,285,388,321,307
275,383,308,252,273,385,312,294,275,383,311,296,278,403,309,288,270,401,308,288
212,305,240,225,230,316,255,247,239,331,267,256,251,349,284,254,267,359,296,259
