S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
33,192,142,66,41,181,138,72,41,175,136,70,42,169,125,71,45,159,121,70,52.9,33.4,39.9,46.7,58.6,37.0,43.1,50.6,57.1,41.6,40.8,52.3,61.7,41.4,43.1,53.5,64.1,56.3,56.3,60.9
47,242,183,96,74,218,177,107,80,212,176,108,88,214,173,106,88,214,175,105,47.6,28.9,30.8,44.4,54.2,35.4,38.3,48.0,55.2,31.4,33.7,44.3,57.0,36.2,36.5,50.2,61.6,51.8,50.9,57.8
69,332,210,119,87,310,208,141,90,299,205,138,98,286,194,133,100,284,190,133,44.5,21.7,32.4,37.2,53.7,27.3,32.4,41.6,53.8,30.1,34.1,41.9,57.3,39.4,36.6,40.5,60.7,51.9,51.5,56.0
91,368,269,129,111,361,260,168,113,363,256,164,130,361,245,162,127,352,241,160,43.2,22.7,26.5,37.0,53.8,30.3,30.8,36.5,49.7,34.4,29.1,38.9,54.8,40.9,38.6,42.9,59.7,50.8,50.1,52.1
103,421,272,162,128,402,262,194,128,399,263,195,139,387,260,196,143,392,260,195,41.1,22.1,27.4,32.5,50.7,30.1,30.7,34.4,48.6,37.6,32.5,35.0,55.7,44.9,33.7,35.3,56.6,54.2,48.8,51.1
165,513,349,201,189,502,341,238,191,493,336,239,202,492,330,235,200,489,331,234,37.0,23.6,23.6,33.2,39.7,34.8,28.1,30.8,44.9,41.3,34.6,30.4,49.7,46.5,44.0,35.2,58.5,53.7,52.8,47.7
255,547,388,257,280,540,376,325,271,550,383,321,266,564,389,331,264,560,387,325,28.6,23.6,22.8,29.1,38.0,39.9,32.5,26.0,42.0,42.8,36.5,30.4,46.4,49.5,45.2,35.6,55.3,55.7,52.2,48.8
356,456,386,314,354,479,391,369,357,470,391,368,357,483,397,373,354,487,398,374,23.5,23.0,23.5,24.9,34.2,36.9,30.1,24.8,40.5,43.9,38.5,30.6,44.2,51.7,45.6,37.1,54.8,55.9,54.9,49.2
349,411,359,336,354,425,370,375,354,426,367,377,348,428,375,392,348,433,372,394,22.5,22.5,21.6,24.6,31.0,36.1,29.8,28.2,35.5,38.8,35.7,35.4,46.7,48.1,45.2,41.4,54.9,56.0,54.0,51.8
336,398,349,337,321,433,356,397,323,436,354,395,325,442,364,416,329,445,365,417,25.9,22.6,25.6,25.0,30.2,34.4,33.2,27.0,36.3,43.3,38.9,35.9,46.0,50.4,44.5,40.3,52.6,55.4,54.1,52.3
348,384,323,302,352,387,325,371,351,390,328,369,354,400,336,374,355,396,336,370,24.1,24.5,25.0,24.8,33.1,35.1,30.0,23.1,37.7,43.2,36.4,31.6,44.6,50.5,44.0,37.2,54.7,56.8,52.5,50.3
291,372,346,312,312,365,353,343,313,365,353,346,324,381,344,345,316,377,343,351,25.6,22.9,21.9,26.0,32.9,30.0,28.3,26.3,39.8,37.7,34.8,32.8,45.1,47.0,44.2,42.2,55.1,55.1,53.9,52.0
208,409,332,273,232,415,326,324,233,412,326,321,238,423,337,325,245,429,340,318,31.8,24.1,26.0,27.5,37.2,35.2,32.6,26.7,39.3,38.2,38.3,33.5,47.1,49.5,44.8,36.5,53.2,54.3,52.1,50.1
128,416,306,203,165,396,304,247,169,391,305,251,183,379,299,256,181,384,300,260,40.2,23.2,25.7,32.5,47.6,32.5,30.9,30.3,47.2,40.1,37.3,32.9,50.5,46.3,44.8,35.9,57.5,55.0,54.5,48.5
109,423,313,195,134,411,305,234,134,415,306,234,136,431,305,241,139,428,299,232,42.6,23.1,26.3,31.0,48.7,34.1,29.5,30.6,51.6,38.9,33.4,35.2,55.0,50.2,39.6,35.5,58.4,54.6,51.3,49.4
121,454,331,197,153,432,326,245,152,433,322,244,165,419,312,247,168,422,319,253,39.6,23.3,25.9,32.3,46.2,35.1,29.0,28.8,46.6,41.0,34.4,31.7,50.1,50.5,43.2,34.7,59.4,55.6,51.7,47.4
108,407,294,182,134,393,298,227,137,392,298,229,148,397,301,234,151,388,301,237,42.3,22.3,25.1,34.3,54.0,30.9,30.6,30.7,49.9,38.7,33.6,33.2,54.2,46.1,41.4,35.5,57.2,53.5,52.2,48.4
105,424,298,203,135,408,283,249,137,411,281,250,147,406,284,247,147,402,284,244,39.6,21.3,25.7,33.6,53.5,30.3,29.5,30.2,50.2,36.2,32.7,31.4,56.8,44.4,39.6,34.9,57.0,54.5,50.9,50.2
106,407,314,177,127,398,311,233,126,396,318,231,141,388,331,228,142,391,332,229,41.0,22.0,23.4,34.2,48.2,31.1,28.0,28.3,49.2,37.1,35.1,31.0,57.2,45.9,40.1,30.5,62.3,54.4,50.2,48.4
97,417,324,196,122,419,310,255,124,411,309,256,135,416,302,255,137,412,301,252,42.1,20.9,24.7,33.3,49.7,32.3,30.2,29.3,50.3,37.1,33.8,29.9,54.1,48.0,41.8,32.5,54.9,54.1,53.5,46.4
80,404,304,200,108,395,292,243,110,399,296,242,122,397,291,245,123,402,291,249,41.3,23.9,25.9,34.6,49.9,35.6,29.3,26.6,53.2,40.4,34.3,31.8,51.0,46.4,38.9,33.8,58.0,54.5,50.3,48.0
109,435,299,202,133,419,299,260,133,419,289,261,141,425,287,264,142,415,288,263,44.0,23.0,25.8,32.8,48.4,35.2,29.5,31.9,51.0,39.3,35.9,32.7,53.9,50.6,41.4,35.5,60.2,54.9,52.9,49.9
112,432,309,180,146,409,310,224,147,403,313,228,155,406,314,231,160,411,309,230,38.6,23.0,24.4,33.4,48.7,34.2,33.5,31.4,49.7,41.2,33.7,31.7,51.1,48.9,45.6,37.1,57.9,53.8,54.7,48.7
105,467,333,186,133,461,318,228,130,465,322,228,148,459,313,241,149,458,309,244,40.8,23.3,24.0,34.5,45.8,37.4,30.9,29.8,50.7,42.3,36.1,28.0,52.9,50.2,42.1,33.1,58.4,55.9,53.3,47.5
110,441,335,198,142,419,326,259,145,419,319,253,146,423,323,261,148,420,323,252,42.6,22.8,22.3,30.8,47.6,32.4,28.9,28.7,52.4,39.8,29.8,30.4,53.9,48.1,41.3,31.4,63.0,54.9,53.6,47.2
109,460,372,225,144,446,359,269,140,447,365,271,156,454,356,286,159,454,355,291,41.3,22.4,21.5,32.7,51.0,33.7,25.6,31.7,49.8,43.1,31.7,32.9,51.7,49.3,41.3,32.4,57.8,54.7,52.2,47.4
127,460,335,205,156,453,324,255,162,453,321,256,163,455,335,252,163,450,338,250,37.5,22.8,24.5,31.6,43.9,34.9,30.2,27.0,45.8,42.4,35.9,29.1,47.6,49.3,41.2,32.6,58.4,54.1,50.9,46.4
151,470,357,242,175,463,352,293,175,460,353,287,183,461,357,287,184,452,359,293,37.8,22.8,23.5,30.9,46.0,35.9,31.8,28.4,45.6,42.7,35.9,32.9,49.4,49.2,47.2,39.9,56.4,55.4,53.5,51.4
131,470,357,207,150,472,342,267,152,465,342,270,165,468,333,272,168,477,331,271,41.5,24.0,24.5,30.8,47.0,35.5,28.6,29.7,44.7,41.7,35.5,29.2,49.2,51.5,44.5,32.9,56.6,56.9,53.7,45.7
166,519,364,250,189,509,367,296,187,509,363,299,192,508,379,298,190,513,371,298,35.8,25.1,23.0,30.2,46.0,38.2,28.6,28.3,43.2,41.7,36.0,32.3,49.9,49.8,43.9,36.9,56.8,55.4,52.6,50.4
191,500,363,243,219,494,354,302,218,502,359,299,223,503,350,302,225,501,362,298,35.3,22.3,23.3,29.7,41.0,35.9,30.5,25.9,42.4,42.8,36.6,27.4,46.0,50.9,47.4,34.5,58.6,54.4,53.7,47.7
227,513,330,256,237,515,329,299,234,509,329,296,239,516,331,312,237,510,327,312,27.8,23.6,22.7,27.4,36.4,35.7,28.7,25.3,37.2,43.8,35.0,28.6,45.4,50.8,42.8,34.0,55.7,55.5,53.5,46.9
264,489,361,291,289,491,352,355,288,493,349,361,285,507,362,360,282,504,362,358,27.6,23.5,24.4,26.0,34.2,38.9,31.3,25.8,39.0,44.5,37.0,31.8,45.0,50.5,44.1,38.0,54.6,55.3,54.8,50.8
274,474,377,296,306,467,356,356,305,468,362,351,301,470,362,356,305,474,354,357,28.2,22.8,24.0,23.6,36.2,36.0,29.6,25.5,41.3,43.4,36.8,31.1,45.4,48.0,47.0,40.5,56.1,54.3,54.5,51.9
332,414,344,311,333,433,338,375,334,430,334,378,338,444,334,386,333,443,344,391,24.2,21.0,25.2,24.7,31.6,32.5,33.8,25.8,38.2,40.2,37.1,32.8,46.3,48.5,44.9,40.8,54.5,56.8,53.1,51.5
315,391,338,307,320,408,336,352,321,408,332,350,321,416,350,369,317,425,342,363,24.2,23.3,21.7,23.4,31.7,34.7,29.0,25.5,36.4,41.0,34.6,32.6,43.9,51.5,42.7,37.2,54.2,55.3,52.7,50.2
337,374,330,288,350,371,334,341,351,375,337,340,359,383,328,355,365,380,334,354,22.7,22.9,24.6,27.2,32.8,29.4,32.7,23.9,36.3,37.3,35.5,30.0,46.9,46.5,44.9,34.4,53.7,54.4,53.5,47.9
320,361,325,272,335,367,320,343,335,365,317,342,340,373,326,362,342,377,325,362,24.9,23.5,26.7,26.8,32.2,32.0,30.9,27.3,38.2,39.5,33.3,30.3,47.2,46.4,43.1,37.5,54.7,54.5,53.2,48.7
337,389,342,284,344,405,348,344,335,406,350,347,341,414,352,364,340,416,351,367,23.8,24.9,22.8,25.7,30.8,36.6,28.6,28.3,36.8,41.4,38.0,32.8,45.5,51.0,43.6,39.9,54.9,55.0,54.0,50.8
325,346,313,270,311,370,308,327,314,371,306,327,310,394,318,326,305,390,319,321,27.3,23.7,26.0,27.0,32.0,32.5,31.8,24.8,34.6,39.3,34.7,30.8,41.4,47.9,45.6,33.9,52.1,55.5,53.6,47.7
