1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
33,197,151,78,33,190,144,85,33,186,140,83,33,177,133,83,31,171,130,81
45,239,180,97,45,240,182,108,45,234,175,109,42,229,177,107,43,222,174,105
70,358,228,118,67,352,222,143,64,351,224,140,66,344,213,143,65,349,215,143
91,362,286,141,94,361,291,185,95,350,291,182,93,356,290,177,91,356,285,175
94,426,260,172,93,424,254,206,93,429,250,206,91,436,259,213,93,433,254,208
151,496,353,218,148,487,346,264,146,488,341,262,148,470,330,266,147,473,337,265
302,520,383,229,295,524,383,315,286,528,390,309,274,528,396,325,269,522,395,327
331,443,378,320,331,443,385,384,332,440,382,383,324,450,379,419,321,457,379,417
337,416,351,320,334,421,353,389,330,423,359,394,335,418,357,422,334,408,355,422
333,399,329,312,338,400,326,405,339,389,322,397,339,395,328,424,342,407,324,426
337,402,334,307,334,398,336,393,334,409,334,402,337,406,335,417,333,400,337,415
276,392,326,294,278,393,321,355,284,393,324,355,282,389,319,377,284,395,323,382
193,435,344,266,197,435,343,328,201,431,342,327,211,437,336,334,215,428,330,331
100,420,325,205,105,430,333,254,108,431,333,255,111,432,339,269,116,440,345,268
119,402,325,203,117,391,324,255,114,391,327,255,112,385,330,267,112,380,331,266
119,449,347,186,119,446,344,235,120,447,339,240,122,443,340,255,119,444,335,259
93,402,301,196,93,411,300,256,96,417,303,249,98,417,295,261,101,417,296,253
104,420,304,195,105,414,316,246,106,410,315,249,103,419,322,258,104,422,323,262
102,426,290,188,101,427,285,250,99,425,287,250,99,423,282,265,98,418,286,269
105,403,317,196,106,408,310,254,105,403,308,258,106,409,310,274,106,411,305,272
80,423,332,210,81,418,332,259,82,426,330,251,83,423,336,261,84,423,341,260
104,430,310,205,103,428,314,283,102,429,315,284,102,412,301,292,99,416,303,291
100,427,315,215,99,432,315,277,101,423,312,279,99,439,322,296,103,428,313,298
107,457,349,209,106,451,351,255,103,458,355,253,103,452,340,273,102,454,339,273
114,466,308,201,114,459,305,268,115,459,303,269,115,463,317,294,114,469,317,294
111,463,348,222,112,476,344,280,113,468,347,284,114,475,345,290,114,474,350,291
141,444,334,188,143,439,333,235,142,439,332,233,141,437,332,259,138,438,327,260
157,471,357,216,155,472,358,276,150,475,351,268,148,463,353,283,150,461,359,283
140,467,350,235,141,460,354,297,145,462,362,300,148,459,360,307,148,461,358,308
184,522,357,254,180,527,355,320,178,530,347,320,173,538,342,334,172,528,345,333
177,492,369,240,178,492,371,317,179,486,375,320,178,490,380,346,177,493,374,341
242,510,376,259,241,506,372,319,236,506,374,319,231,493,376,338,229,498,373,339
266,506,377,283,261,510,378,362,263,513,383,362,263,522,383,372,264,520,385,375
273,443,366,326,273,440,364,398,276,447,350,391,284,453,352,412,281,450,357,404
305,418,346,305,308,421,347,377,300,417,356,382,291,410,355,403,287,421,352,411
323,371,334,306,316,378,332,368,318,374,334,367,319,382,334,397,323,380,336,392
346,364,313,298,348,363,320,361,346,367,317,361,345,362,314,387,345,358,320,389
311,391,353,279,310,388,352,362,311,389,356,366,308,388,357,400,307,395,355,401
328,356,320,306,332,361,315,386,333,356,314,383,331,357,318,414,332,347,311,415
337,380,322,286,337,380,326,356,330,381,324,349,335,387,327,374,334,384,333,374
280,357,280,266,277,358,278,336,288,360,283,342,289,358,275,369,287,367,270,362
307,366,331,326,306,363,332,375,302,362,329,373,299,359,327,393,299,347,328,397
281,341,307,266,289,345,307,333,293,348,304,337,300,351,303,351,300,350,307,353
279,374,306,290,280,369,310,331,280,367,312,332,280,364,321,368,285,373,315,369
286,401,318,246,283,398,314,302,280,392,314,307,278,383,312,324,273,385,305,319
283,389,313,249,275,387,312,297,272,395,314,294,268,403,311,327,266,406,325,325
255,387,314,266,259,384,316,321,261,381,318,321,262,386,318,343,269,372,315,350
213,291,237,176,225,314,249,245,236,329,257,254,252,342,273,286,259,363,282,296
