1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
33,197,151,78,39,187,141,85,41,180,137,83,49,168,127,81,49,165,123,79
45,239,180,97,55,231,180,107,60,223,175,108,65,220,169,106,66,212,166,104
70,358,228,118,86,335,227,140,87,328,225,137,101,317,209,137,107,317,205,137
91,362,286,141,111,355,286,179,112,354,288,176,118,353,285,166,116,347,283,165
94,426,260,172,116,401,259,197,117,396,257,200,127,407,251,202,132,406,252,199
151,496,353,218,172,463,350,258,169,464,352,251,180,453,360,241,177,451,356,239
302,520,383,229,303,525,388,307,294,525,382,304,298,538,374,306,293,532,381,302
331,443,378,320,343,433,386,377,345,431,390,378,338,440,389,399,335,449,384,402
337,416,351,320,330,429,348,390,334,430,353,390,331,444,349,408,336,434,353,408
333,399,329,312,341,400,332,398,335,399,326,387,342,403,333,410,333,411,331,409
337,402,334,307,332,403,343,382,333,411,347,392,335,421,352,389,343,417,350,382
276,392,326,294,281,399,325,348,283,390,323,354,288,398,330,350,286,398,330,361
193,435,344,266,207,425,343,320,214,429,343,316,228,441,333,324,237,442,337,328
100,420,325,205,126,413,337,250,131,412,337,253,149,410,324,260,151,407,324,257
119,402,325,203,134,382,315,254,131,378,314,256,138,380,317,251,137,386,312,245
119,449,347,186,142,431,339,231,144,432,340,233,156,435,340,241,156,431,346,247
93,402,301,196,111,401,302,251,114,400,298,245,127,394,304,239,132,386,298,237
104,420,304,195,127,395,313,240,129,394,318,243,140,411,308,247,140,416,310,245
102,426,290,188,126,403,289,246,128,397,289,247,134,396,296,252,134,398,301,253
105,403,317,196,126,393,307,251,124,392,305,250,135,388,300,261,139,384,294,259
80,423,332,210,97,407,337,251,103,408,341,248,119,406,323,242,119,401,327,246
104,430,310,205,128,406,316,279,129,399,306,281,141,395,318,276,141,391,320,270
100,427,315,215,130,405,315,270,133,406,322,271,135,410,325,283,137,417,320,289
107,457,349,209,131,432,352,252,131,431,352,249,142,422,352,259,143,414,355,256
114,466,308,201,131,450,301,264,133,441,304,267,151,442,307,272,150,450,300,275
111,463,348,222,134,451,346,276,135,454,338,278,147,450,333,291,148,447,335,289
141,444,334,188,157,432,338,232,155,434,340,229,163,447,338,240,165,442,336,242
157,471,357,216,168,459,353,272,165,464,350,264,169,453,360,262,167,460,357,258
140,467,350,235,154,459,355,290,158,454,360,295,165,461,352,297,167,459,358,302
184,522,357,254,193,522,352,313,191,522,353,310,197,527,356,297,198,526,359,295
177,492,369,240,194,483,379,307,194,481,375,311,208,481,390,320,206,473,380,322
242,510,376,259,254,492,368,319,251,493,370,315,262,494,358,328,258,497,359,317
266,506,377,283,275,509,381,351,273,508,385,355,266,530,393,355,266,525,398,363
273,443,366,326,282,438,360,389,286,445,350,385,299,432,358,385,297,438,364,386
305,418,346,305,318,409,356,370,314,408,360,374,318,419,365,372,322,423,367,360
323,371,334,306,317,384,338,357,317,383,341,355,324,388,349,369,322,388,344,379
346,364,313,298,353,366,318,353,351,365,319,351,346,374,310,367,348,374,311,359
311,391,353,279,309,398,364,345,310,402,359,351,307,420,379,373,306,415,378,374
328,356,320,306,332,364,315,377,329,354,319,372,321,376,305,391,317,384,307,394
337,380,322,286,336,386,330,351,337,389,330,351,339,394,344,357,343,393,332,363
280,357,280,266,275,364,278,330,282,366,277,333,284,375,281,346,287,376,296,343
307,366,331,326,317,361,338,365,311,359,335,357,321,367,343,365,316,366,340,360
281,341,307,266,287,350,309,322,294,353,314,330,298,353,312,339,298,354,316,344
279,374,306,290,284,367,320,322,283,365,316,323,288,373,320,334,295,366,314,334
286,401,318,246,295,387,315,297,294,389,313,301,298,386,322,308,292,384,326,303
283,389,313,249,280,388,314,292,277,392,318,291,273,413,316,307,271,414,313,314
255,387,314,266,259,392,314,318,261,382,317,317,263,393,317,328,268,390,319,318
213,291,237,176,232,307,253,237,241,327,262,245,261,351,268,272,268,368,277,287
