1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
386,247,314,222,136,371,244,307,219,133,345,230,279,189,117,342,228,274,185,215,335,226,271,185,220
462,301,372,254,145,458,294,368,250,143,434,272,348,227,132,426,272,349,227,244,428,271,350,226,257
528,308,412,278,215,526,308,407,274,213,516,286,371,244,183,524,284,368,246,322,525,286,366,244,335
496,305,392,276,257,498,302,386,275,256,473,284,360,247,199,467,281,363,245,359,466,278,361,243,377
493,284,395,280,223,493,289,405,279,221,483,269,370,250,193,485,271,368,251,367,487,270,370,252,383
530,323,420,304,253,526,321,417,302,253,496,300,393,270,213,498,298,394,268,382,500,301,396,267,404
537,297,426,301,281,533,295,425,307,282,486,262,374,259,229,486,265,372,259,432,483,265,367,262,458
488,303,413,292,313,499,304,414,289,309,479,269,366,246,240,481,270,367,247,478,481,268,373,246,511
478,295,372,272,292,477,297,375,276,294,451,261,325,227,238,446,261,330,228,483,446,262,328,229,513
523,311,445,329,275,525,305,445,325,280,490,291,402,291,236,495,289,395,287,497,496,291,390,286,532
527,327,444,306,253,520,331,439,312,247,485,306,403,272,215,483,308,406,274,485,483,306,410,275,511
468,312,411,299,259,473,308,411,295,261,462,299,376,265,224,462,296,376,266,472,463,297,378,265,509
449,439,394,285,244,453,432,397,285,244,436,393,360,249,207,435,396,363,249,441,433,393,355,252,460
409,387,366,264,203,411,389,363,267,210,400,373,332,232,183,401,372,330,233,416,402,374,337,232,435
427,422,360,275,232,424,424,362,272,232,406,402,345,245,201,407,399,347,243,435,408,397,343,241,454
408,381,362,252,210,405,387,365,254,210,391,355,331,230,176,389,357,329,233,414,385,358,331,233,435
404,383,341,229,187,403,379,338,230,184,381,352,315,204,153,379,353,317,203,368,381,349,321,204,385
408,411,367,272,187,402,412,371,276,187,386,388,336,247,166,387,385,332,248,405,388,389,329,247,415
369,363,330,257,189,381,362,333,253,191,360,317,306,225,165,362,320,305,226,401,361,319,304,225,417
398,381,343,266,181,399,384,345,268,180,386,356,314,233,156,387,356,317,231,394,386,356,320,232,402
402,370,309,246,183,394,371,302,242,184,380,350,277,201,152,380,345,275,200,413,382,347,275,202,423
347,335,314,265,203,355,336,317,265,201,346,315,292,234,182,345,320,294,235,465,345,321,294,232,474
329,326,300,235,205,326,329,298,236,207,307,304,275,199,169,308,303,276,200,430,306,302,272,202,441
394,359,364,246,218,392,357,365,245,219,377,332,332,223,177,376,331,333,224,447,377,331,334,224,461
326,310,334,246,184,332,310,336,251,182,310,283,303,206,147,311,284,299,201,401,313,284,300,200,418
359,373,329,224,187,352,373,330,219,189,346,343,313,194,146,346,341,317,196,418,346,342,317,195,433
353,317,355,260,199,356,318,353,258,197,344,289,316,230,163,344,293,314,232,419,343,294,313,235,423
335,275,289,222,186,339,272,292,225,185,320,260,260,194,152,319,258,261,193,393,319,258,263,192,412
353,292,328,257,157,354,292,321,255,159,340,256,302,225,136,341,258,300,227,410,342,257,299,226,419
368,322,325,242,175,364,325,330,248,172,338,301,306,210,147,333,300,308,207,400,331,297,310,209,418
354,347,309,251,183,355,344,312,250,188,337,319,286,218,163,338,318,287,218,450,336,321,285,215,457
397,344,363,241,183,392,347,359,236,181,383,323,323,205,159,388,323,321,205,414,392,322,320,208,428
403,393,369,260,179,407,390,367,257,180,382,369,337,224,150,374,368,336,227,435,374,366,337,228,443
405,441,390,275,175,405,432,391,275,174,397,405,366,252,150,404,405,370,249,446,402,401,370,247,463
407,430,362,301,201,406,436,362,300,202,387,416,333,270,176,386,414,329,271,472,386,419,328,268,483
451,406,356,262,196,449,404,355,270,196,443,387,332,250,170,441,388,334,250,432,442,390,334,252,442
458,249,354,264,188,455,260,357,263,186,440,247,332,233,155,442,251,331,234,489,441,248,334,235,499
511,256,422,276,224,510,255,414,277,223,479,244,381,239,185,478,246,375,238,473,480,250,371,239,491
516,308,411,283,232,522,305,415,282,228,505,284,375,241,200,505,282,380,243,469,503,279,383,241,484
423,280,364,295,264,419,284,363,289,268,396,265,336,251,211,399,264,334,249,471,399,265,333,249,487
472,251,408,272,285,474,254,407,280,283,458,238,382,247,238,457,240,383,246,524,459,240,380,244,549
444,263,408,308,283,443,255,400,298,285,421,242,360,247,241,415,240,362,246,507,413,241,367,247,533
413,265,348,266,300,413,268,359,270,297,389,235,308,224,220,394,234,311,226,447,392,232,312,228,470
357,217,311,248,274,363,219,312,248,273,330,183,257,197,191,332,186,255,198,399,336,188,253,198,419
373,225,385,261,325,366,223,385,264,321,342,193,319,205,229,337,194,320,204,461,333,193,320,203,479
357,234,339,236,278,361,231,339,242,281,327,193,281,176,191,327,190,276,178,396,326,192,277,179,392
326,255,307,258,272,331,259,310,248,272,299,211,247,203,174,305,214,249,200,345,311,212,246,199,348
327,277,316,219,267,330,278,312,231,266,301,243,260,179,168,301,239,262,183,315,299,241,262,186,316
