1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
398,243,311,223,131,388,237,302,219,129,362,214,270,297,0,329,200,252,283,99,315,195,240,272,107
465,294,369,259,164,461,292,368,258,162,450,278,330,376,0,468,275,336,366,117,463,265,334,362,124
513,302,388,285,220,512,301,386,282,219,496,281,359,440,0,487,278,350,440,130,492,279,353,437,142
494,299,400,282,257,494,300,401,284,258,459,278,367,466,0,459,278,356,461,160,461,286,358,456,173
497,269,404,290,222,497,270,404,288,219,480,265,375,431,0,471,269,389,437,193,471,266,384,441,207
494,322,421,303,258,495,321,419,301,258,482,295,381,479,0,480,290,380,475,173,478,290,386,473,196
516,304,408,300,292,517,305,408,301,294,479,276,365,485,0,492,282,358,479,215,497,282,354,483,236
503,311,411,297,311,502,310,411,297,311,477,271,362,505,0,473,264,365,507,245,472,263,368,510,263
466,296,388,283,285,466,297,390,283,283,445,255,354,442,0,450,265,358,445,237,449,263,355,443,272
536,312,442,306,260,532,310,440,308,259,509,296,385,483,0,504,286,384,482,258,501,284,385,474,283
523,332,441,295,261,525,332,442,295,261,504,308,396,481,0,509,309,393,483,265,509,316,397,485,290
474,308,433,281,259,474,311,431,281,260,453,287,395,479,0,444,290,384,478,254,445,287,371,489,283
446,443,395,291,235,450,437,400,294,237,426,399,365,459,0,434,401,380,458,247,441,391,387,451,268
395,393,363,269,212,397,394,362,266,212,387,379,336,412,0,384,372,339,417,232,372,377,331,420,251
396,403,359,266,209,394,404,360,265,210,379,382,328,429,0,386,385,316,425,228,390,386,327,425,246
402,388,358,256,202,402,389,358,260,203,384,360,330,382,0,372,358,335,389,243,374,366,340,391,255
391,393,334,247,200,392,390,337,247,201,374,370,306,381,0,388,365,306,383,220,383,359,298,384,242
386,402,354,266,189,389,403,350,263,188,374,383,322,406,0,362,389,328,401,239,366,384,326,400,247
382,390,346,246,185,379,390,347,248,184,362,347,317,374,0,365,343,309,377,238,365,344,313,375,251
396,384,368,275,195,396,385,368,274,197,382,364,337,402,0,388,372,347,400,234,395,371,337,399,247
374,353,310,243,211,374,353,312,244,210,360,328,287,387,0,347,330,287,390,253,339,329,300,392,265
349,339,314,254,200,350,340,314,253,198,336,327,295,387,0,349,322,291,380,261,347,321,289,376,272
354,327,321,250,214,356,330,320,250,214,332,299,288,402,0,334,298,292,410,260,333,302,283,414,273
384,353,347,261,207,380,351,347,264,208,364,325,317,403,0,355,332,305,400,264,365,337,316,399,275
343,320,330,233,203,347,320,328,231,202,332,295,302,358,0,337,287,305,363,269,331,282,305,365,282
356,330,325,239,179,353,329,328,239,181,334,307,300,370,0,340,307,305,364,261,342,310,298,365,275
352,313,341,238,192,352,314,338,237,189,340,289,305,365,0,339,291,301,368,260,337,295,308,368,269
344,294,303,223,182,347,296,306,225,187,334,269,277,324,0,328,270,286,327,237,327,268,282,327,253
335,274,307,221,166,336,274,307,221,163,323,257,283,334,0,323,266,275,334,267,327,267,272,337,275
379,323,326,241,177,375,321,325,239,178,358,288,296,361,0,359,277,300,359,261,355,274,305,356,271
379,333,315,238,189,380,332,314,240,187,365,306,290,360,0,356,309,292,360,272,357,305,289,358,282
386,350,346,257,196,384,348,346,253,198,360,328,320,394,0,371,317,316,389,268,373,318,312,390,279
395,390,349,254,178,396,391,348,254,175,394,360,321,378,0,392,367,316,379,295,387,360,325,379,311
414,434,380,279,190,414,431,381,281,193,403,399,346,430,0,408,396,344,430,304,410,413,330,428,318
426,457,382,269,201,424,456,380,269,199,406,430,349,418,0,394,429,346,419,294,390,421,354,416,310
429,416,383,295,200,429,420,382,294,202,417,404,362,438,0,422,399,364,430,269,429,405,371,427,292
476,252,379,251,189,474,257,380,251,189,450,246,356,380,0,449,263,361,389,296,441,265,358,401,308
501,259,414,291,224,498,259,413,293,220,481,245,370,446,0,482,240,368,438,293,491,235,366,430,309
490,287,413,285,236,494,286,413,286,237,469,256,372,457,0,470,258,375,462,273,465,260,377,464,288
442,292,372,263,253,443,291,376,261,254,410,263,341,431,0,415,265,353,429,260,419,262,347,429,286
472,255,401,275,289,472,255,398,273,285,456,246,365,476,0,439,246,357,477,280,437,246,355,462,310
450,278,395,286,307,448,278,396,286,308,434,259,361,502,0,443,253,358,502,264,451,256,369,513,282
401,272,360,252,300,405,270,361,253,301,381,228,314,444,0,378,233,312,447,230,369,235,301,443,256
373,220,334,255,270,376,225,335,256,269,351,204,275,367,0,358,210,284,363,201,356,206,297,372,219
394,241,372,258,324,391,241,369,258,324,362,207,316,447,0,355,205,317,448,216,359,206,314,443,235
357,233,349,246,300,357,233,351,248,301,327,196,278,374,0,333,196,272,377,202,328,198,265,382,216
315,259,316,224,281,321,254,318,222,281,295,213,259,358,0,298,211,259,361,167,305,211,268,360,170
312,256,251,248,288,317,265,258,254,295,299,241,227,379,0,318,255,246,398,152,328,262,252,413,158
