Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Lane1 Flow (veh/5min),Lane2 Flow (veh/5min),Lane3 Flow (veh/5min),Lane4 Flow (veh/5min),Lane5 Flow (veh/5min),Lane6 Flow (veh/5min),Latitude,Longitude,Location,Abs_PM
2024-12-10 06:00:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:00:00,769849,210,E,FF,125,37,59,29,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:00:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:00:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:00:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:00:00,776724,210,E,FF,145,80,65,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:05:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:05:00,769849,210,E,FF,145,46,57,42,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:05:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:05:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:05:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:05:00,776724,210,E,FF,193,112,81,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:10:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:10:00,769849,210,E,FF,172,59,70,43,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:10:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:10:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:10:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:10:00,776724,210,E,FF,169,94,75,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:15:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:15:00,769849,210,E,FF,172,64,63,45,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:15:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:15:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:15:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:15:00,776724,210,E,FF,210,103,107,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:20:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:20:00,769849,210,E,FF,198,70,81,47,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:20:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:20:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:20:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:20:00,776724,210,E,FF,184,106,78,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:25:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:25:00,769849,210,E,FF,203,78,77,48,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:25:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:25:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:25:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:25:00,776724,210,E,FF,239,124,115,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:30:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:30:00,769849,210,E,FF,225,71,86,68,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:30:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:30:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:30:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:30:00,776724,210,E,FF,212,101,111,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:35:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:35:00,769849,210,E,FF,249,90,100,59,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:35:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:35:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:35:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:35:00,776724,210,E,FF,220,110,110,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:40:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:40:00,769849,210,E,FF,243,83,101,59,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:40:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:40:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:40:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:40:00,776724,210,E,FF,261,161,100,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:45:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:45:00,769849,210,E,FF,258,89,110,59,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:45:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:45:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:45:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:45:00,776724,210,E,FF,254,151,103,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:50:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:50:00,769849,210,E,FF,235,80,98,57,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:50:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:50:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:50:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:50:00,776724,210,E,FF,313,173,140,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 06:55:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 06:55:00,769849,210,E,FF,243,89,103,51,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 06:55:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 06:55:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 06:55:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 06:55:00,776724,210,E,FF,270,148,122,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:00:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:00:00,769849,210,E,FF,300,109,118,73,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:00:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:00:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:00:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:00:00,776724,210,E,FF,281,153,128,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:05:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:05:00,769849,210,E,FF,293,102,123,68,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:05:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:05:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:05:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:05:00,776724,210,E,FF,273,146,127,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:10:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:10:00,769849,210,E,FF,297,108,106,83,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:10:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:10:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:10:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:10:00,776724,210,E,FF,294,151,143,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:15:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:15:00,769849,210,E,FF,291,107,113,71,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:15:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:15:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:15:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:15:00,776724,210,E,FF,321,169,152,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:20:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:20:00,769849,210,E,FF,279,107,109,63,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:20:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:20:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:20:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:20:00,776724,210,E,FF,280,140,140,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:25:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:25:00,769849,210,E,FF,321,116,126,79,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:25:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:25:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:25:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:25:00,776724,210,E,FF,268,138,130,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:30:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:30:00,769849,210,E,FF,290,97,117,76,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:30:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:30:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:30:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:30:00,776724,210,E,FF,308,151,157,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:35:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:35:00,769849,210,E,FF,310,114,120,76,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:35:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:35:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:35:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:35:00,776724,210,E,FF,334,158,176,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:40:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:40:00,769849,210,E,FF,315,108,129,78,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:40:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:40:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:40:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:40:00,776724,210,E,FF,321,167,154,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:45:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:45:00,769849,210,E,FF,287,96,119,72,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:45:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:45:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:45:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:45:00,776724,210,E,FF,322,160,162,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:50:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:50:00,769849,210,E,FF,297,107,116,74,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:50:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:50:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:50:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:50:00,776724,210,E,FF,306,157,149,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 07:55:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 07:55:00,769849,210,E,FF,306,110,117,79,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 07:55:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 07:55:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 07:55:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 07:55:00,776724,210,E,FF,317,153,164,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 08:00:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 08:00:00,769849,210,E,FF,347,118,143,86,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 08:00:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 08:00:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 08:00:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 08:00:00,776724,210,E,FF,320,156,164,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 08:05:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 08:05:00,769849,210,E,FF,319,109,123,87,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 08:05:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 08:05:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-10 08:05:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-10 08:05:00,776724,210,E,FF,292,137,155,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-10 08:10:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-10 08:10:00,769849,210,E,FF,327,116,122,89,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-10 08:10:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-10 08:10:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
