Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Lane1 Flow (veh/5min),Lane2 Flow (veh/5min),Lane3 Flow (veh/5min),Lane4 Flow (veh/5min),Lane5 Flow (veh/5min),Lane6 Flow (veh/5min),Latitude,Longitude,Location,Abs_PM
2024-12-03 06:00:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-03 06:00:00,769849,210,E,FF,136,39,59,38,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-03 06:00:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-03 06:00:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-03 06:00:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-03 06:00:00,776724,210,E,FF,193,107,86,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-03 06:05:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-03 06:05:00,769849,210,E,FF,172,54,72,46,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-03 06:05:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-03 06:05:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-03 06:05:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-03 06:05:00,776724,210,E,FF,158,95,63,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-03 06:10:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-03 06:10:00,769849,210,E,FF,133,44,62,27,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-03 06:10:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-03 06:10:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-03 06:10:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-03 06:10:00,776724,210,E,FF,192,98,94,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-03 06:15:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-03 06:15:00,769849,210,E,FF,172,54,73,45,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-03 06:15:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-03 06:15:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-03 06:15:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-03 06:15:00,776724,210,E,FF,170,106,64,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-03 06:20:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-03 06:20:00,769849,210,E,FF,195,65,76,54,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-03 06:20:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-03 06:20:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-03 06:20:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-03 06:20:00,776724,210,E,FF,212,108,104,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-03 06:25:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-03 06:25:00,769849,210,E,FF,197,71,80,46,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-03 06:25:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-03 06:25:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-03 06:25:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-03 06:25:00,776724,210,E,FF,224,127,97,,,,,34.156489,-118.158295,WINONA WAY,24.442
2024-12-03 06:30:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2024-12-03 06:30:00,769849,210,E,FF,234,86,95,53,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2024-12-03 06:30:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2024-12-03 06:30:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2024-12-03 06:30:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2024-12-03 06:30:00,776724,210,E,FF,223,122,101,,,,,34.156489,-118.158295,WINONA WAY,24.442
