Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Avg Speed (mph),Lane1 Flow (veh/5min),Lane1 Avg Speed (mph),Lane2 Flow (veh/5min),Lane2 Avg Speed (mph),Lane3 Flow (veh/5min),Lane3 Avg Speed (mph),Lane4 Flow (veh/5min),Lane4 Avg Speed (mph),Lane5 Flow (veh/5min),Lane5 Avg Speed (mph),Lane6 Flow (veh/5min),Lane6 Avg Speed (mph),Latitude,Longitude,Location,Abs_PM
2024-12-03 06:00:00,717617,210,E,ML,174,64.0,43,69.4,48,66.0,43,61.5,40,58.8,,,,,34.179921,-118.167405,ARROYO,22.6
2024-12-03 06:00:00,717620,210,E,ML,144,66.1,27,74.6,46,71.1,41,66.9,30,49.8,,,,,34.174756,-118.160407,LINCOLN 1,23.14
2024-12-03 06:00:00,717625,210,E,ML,186,65.4,41,69.3,34,69.5,12,66.9,99,62.1,,,,,34.160546,-118.158748,MOUNTAIN 2,24.16
2024-12-03 06:00:00,717628,210,E,ML,24,65.3,24,65.3,,,,,,,,,,,34.152216,-118.156144,WALNUT,24.81
2024-12-03 06:00:00,717631,210,E,ML,106,64.9,22,70.4,32,66.8,29,63.4,23,59.1,,,,,34.15099,-118.152369,FAIR OAKS 1,25.12
2024-12-03 06:00:00,717633,210,E,ML,472,68.9,80,74.7,93,72.3,81,70.3,83,67.6,76,63.0,59,63.0,34.151691,-118.142523,MARENGO,25.72
2024-12-03 06:00:00,717635,210,E,ML,265,66.4,54,71.8,48,69.8,49,66.7,47,64.9,67,60.3,,,34.151658,-118.12944,LAKE 2,26.47
2024-12-03 06:00:00,717638,210,E,ML,299,68.2,75,74.7,70,70.5,56,71.9,55,69.4,43,46.5,,,34.152187,-118.117782,HILL 1,27.14
2024-12-03 06:00:00,717640,210,E,ML,285,66.6,14,76.4,77,72.2,67,73.7,67,63.5,60,52.7,,,34.152301,-118.109239,ALLEN,27.63
2024-12-03 06:00:00,717646,210,E,ML,324,64.8,82,74.2,97,72.1,54,59.7,49,55.7,42,47.1,,,34.151406,-118.091041,SAN GABRIEL,28.68
2024-12-03 06:00:00,717650,210,E,ML,294,66.6,83,74.7,79,71.6,58,61.4,44,55.4,30,57.8,,,34.147621,-118.079037,SIERRA MADRE V2,29.44
