Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Lane1 Flow (veh/5min),Lane2 Flow (veh/5min),Lane3 Flow (veh/5min),Lane4 Flow (veh/5min),Lane5 Flow (veh/5min),Lane6 Flow (veh/5min),Latitude,Longitude,Location,Abs_PM
2024-12-03 06:00:00,770388,210,W,FF,38.0,38.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:00:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:05:00,770388,210,W,FF,56.0,56.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:05:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:10:00,770388,210,W,FF,44.0,44.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:10:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:15:00,770388,210,W,FF,20.0,20.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:15:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:20:00,770388,210,W,FF,17.0,17.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:20:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:25:00,770388,210,W,FF,51.0,51.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:25:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:30:00,770388,210,W,FF,71.0,71.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:30:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:35:00,770388,210,W,FF,31.0,31.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:35:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:40:00,770388,210,W,FF,28.0,28.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:40:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:45:00,770388,210,W,FF,56.0,56.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:45:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:50:00,770388,210,W,FF,38.0,38.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:50:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 06:55:00,770388,210,W,FF,49.0,49.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 06:55:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 07:00:00,770388,210,W,FF,41.0,41.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 07:00:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 07:05:00,770388,210,W,FF,56.0,56.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 07:05:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 07:10:00,770388,210,W,FF,61.0,61.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 07:10:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 07:15:00,770388,210,W,FF,53.0,53.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 07:15:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 07:20:00,770388,210,W,FF,61.0,61.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 07:20:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 07:25:00,770388,210,W,FF,66.0,66.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 07:25:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
2024-12-03 07:30:00,770388,210,W,FF,71.0,71.0,,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210,19.08
2024-12-03 07:30:00,775725,210,W,FF,,,,,,,,34.155945,-118.157667,WB 210 CON,24.49
