Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Avg Speed (mph),Lane1 Flow (veh/5min),Lane1 Avg Speed (mph),Lane2 Flow (veh/5min),Lane2 Avg Speed (mph),Lane3 Flow (veh/5min),Lane3 Avg Speed (mph),Lane4 Flow (veh/5min),Lane4 Avg Speed (mph),Lane5 Flow (veh/5min),Lane5 Avg Speed (mph),Lane6 Flow (veh/5min),Lane6 Avg Speed (mph),Latitude,Longitude,Location,Abs_PM
2024-12-03 06:00:00,717615,210,W,ML,195.0,63.8,51.0,68.9,56.0,65.6,47.0,60.9,41.0,58.3,,,,,34.182539,-118.171545,ARROYO 1,22.3
2024-12-03 06:00:00,717622,210,W,ML,178.0,64.9,50.0,65.4,48.0,69.6,39.0,70.7,41.0,53.2,,,,,34.176273,-118.161942,LINCOLN 1,23.0
2024-12-03 06:00:00,717624,210,W,ML,208.0,63.2,42.0,69.5,49.0,66.2,43.0,61.7,38.0,58.9,36.0,58.1,,,34.164368,-118.158093,MOUNTAIN 1,23.9
2024-12-03 06:00:00,717627,210,W,ML,47.0,67.5,18.0,69.6,29.0,66.2,,,,,,,,,34.15225,-118.154678,WALNUT,24.9
2024-12-03 06:00:00,717630,210,W,ML,106.0,64.9,22.0,70.4,32.0,66.8,29.0,63.4,23.0,59.1,,,,,34.152218,-118.14821,FAIR OAKS 1,25.4
2024-12-03 06:00:00,717632,210,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.152218,-118.14821,FAIR OAKS 1,25.4
2024-12-03 06:00:00,717634,210,W,ML,456.0,68.6,102.0,75.2,103.0,71.8,90.0,67.0,84.0,63.8,77.0,62.5,,,34.15195,-118.13555,LAKE 1,26.12
2024-12-03 06:00:00,717637,210,W,ML,541.0,72.3,145.0,73.2,122.0,71.6,93.0,76.3,81.0,77.0,100.0,64.3,,,34.152357,-118.123714,HILL,26.8
2024-12-03 06:00:00,717642,210,W,ML,586.0,67.3,154.0,72.4,138.0,68.9,98.0,69.7,107.0,58.9,89.0,63.4,,,34.1527,-118.102255,ALTADENA,28.03
2024-12-03 06:00:00,717643,210,W,HV,122.0,59.8,122.0,59.8,,,,,,,,,,,34.1527,-118.102255,ALTADENA,28.03
2024-12-03 06:00:00,717644,210,W,ML,605.0,70.9,167.0,71.3,158.0,76.7,104.0,69.7,98.0,65.2,78.0,66.9,,,34.152727,-118.098063,SAN GABRIEL,28.27
2024-12-03 06:00:00,717645,210,W,HV,123.0,60.6,123.0,60.6,,,,,,,,,,,34.152727,-118.098063,SAN GABRIEL,28.27
2024-12-03 06:00:00,717649,210,W,ML,574.0,70.3,163.0,70.7,151.0,73.4,94.0,76.5,98.0,66.4,68.0,59.9,,,34.148074,-118.08377,SIERRA MADRE V1,29.17
2024-12-03 06:00:00,717653,210,W,ML,400.0,67.4,107.0,71.1,102.0,68.7,81.0,66.7,68.0,64.0,42.0,61.6,,,34.148737,-118.071321,ROSEMEAD 1,29.879
2024-12-03 06:00:00,761318,210,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.15195,-118.13555,LAKE 1,26.12
2024-12-03 06:00:00,761322,210,W,HV,113.0,60.3,113.0,60.3,,,,,,,,,,,34.152357,-118.123714,HILL,26.8
2024-12-03 06:00:00,761325,210,W,HV,125.0,58.9,125.0,58.9,,,,,,,,,,,34.148074,-118.08377,SIERRA MADRE V1,29.17
2024-12-03 06:00:00,761431,210,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.148737,-118.071321,ROSEMEAD 1,29.879
2024-12-03 06:00:00,764135,210,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.152092,-118.143249,MARENGO,25.68
2024-12-03 06:00:00,764137,210,W,ML,472.0,68.9,80.0,74.7,93.0,72.3,81.0,70.3,83.0,67.6,76.0,63.0,59.0,63.0,34.152092,-118.143249,MARENGO,25.68
2024-12-03 06:00:00,769807,210,W,ML,214.0,66.7,37.0,75.6,60.0,71.6,60.0,62.8,57.0,59.8,,,,,34.197068,-118.184827,FOOTHILL,20.98
2024-12-03 06:00:00,769867,210,W,ML,143.0,69.7,37.0,75.2,49.0,70.6,36.0,65.8,21.0,64.3,,,,,34.218652,-118.239558,LA CRESCENTA,17.38
2024-12-03 06:00:00,769911,210,W,ML,154.0,68.0,37.0,75.6,39.0,66.2,28.0,67.8,22.0,70.2,28.0,58.7,,,34.224897,-118.251344,PENNSYLVANIA,16.58
2024-12-03 06:00:00,769926,210,W,ML,169.0,72.6,32.0,76.5,51.0,73.5,41.0,73.3,19.0,74.3,11.0,63.1,15.0,64.6,34.214462,-118.232443,OCEAN VIEW,17.88
2024-12-03 06:00:00,769941,210,W,ML,143.0,71.2,35.0,76.4,51.0,73.4,29.0,69.6,28.0,62.4,,,,,34.207101,-118.204943,ANGELES CREST HWY SB,19.58
2024-12-03 06:00:00,769953,210,W,ML,126.0,70.7,34.0,74.4,40.0,69.7,30.0,69.6,22.0,68.2,,,,,34.206998,-118.201441,ANGELES CREST HWY NB,19.78
2024-12-03 06:00:00,769965,210,W,ML,109.0,66.3,49.0,74.3,4.0,70.7,30.0,61.7,26.0,55.8,,,,,34.232554,-118.271772,HONOLULU,15.28
2024-12-03 06:00:00,769983,210,W,ML,170.0,62.4,44.0,61.5,46.0,64.8,41.0,62.8,39.0,60.0,,,,,34.203186,-118.191671,GOULD,20.4
2024-12-03 06:00:00,770000,210,W,ML,251.0,65.0,64.0,70.4,69.0,66.9,61.0,62.3,57.0,59.5,,,,,34.19198,-118.181214,BERKSHIRE,21.39
2024-12-03 06:00:00,770129,210,W,ML,124.0,69.9,42.0,73.8,37.0,70.3,30.0,72.0,15.0,54.2,,,,,34.234984,-118.290562,LA TUNA CANYON NB,14.18
2024-12-03 06:00:00,770141,210,W,ML,85.0,65.1,20.0,71.6,33.0,67.9,8.0,66.5,24.0,55.3,,,,,34.234987,-118.294031,LA TUNA CANYON SB,13.98
2024-12-03 06:00:00,770386,210,W,ML,150.0,66.3,38.0,71.6,44.0,68.3,37.0,63.4,31.0,60.5,,,,,34.207155,-118.2137,EB/NB 2 TO EB 210 CN,19.08
2024-12-03 06:00:00,770401,210,W,ML,174.0,68.2,43.0,72.9,48.0,70.1,43.0,66.1,40.0,63.0,,,,,34.211095,-118.225948,EB/NB 2 TO WB 210 CN,18.32
2024-12-03 06:00:00,770568,210,W,ML,210.0,63.4,35.0,74.2,29.0,71.1,91.0,60.2,55.0,57.9,,,,,34.165953,-118.157943,HAMMOND ST.,23.79
2024-12-03 06:00:00,770579,210,W,ML,50.0,65.0,4.0,74.9,7.0,71.1,2.0,67.2,37.0,62.7,,,,,34.156597,-118.157944,WINONA WAY,24.442
2024-12-03 06:05:00,717615,210,W,ML,171.0,63.5,42.0,68.7,50.0,65.3,43.0,60.7,36.0,58.1,,,,,34.182539,-118.171545,ARROYO 1,22.3
2024-12-03 06:05:00,717622,210,W,ML,142.0,60.3,44.0,60.6,35.0,69.3,28.0,68.8,35.0,44.1,,,,,34.176273,-118.161942,LINCOLN 1,23.0
