Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Avg Speed (mph),Lane1 Flow (veh/5min),Lane1 Avg Speed (mph),Lane2 Flow (veh/5min),Lane2 Avg Speed (mph),Lane3 Flow (veh/5min),Lane3 Avg Speed (mph),Lane4 Flow (veh/5min),Lane4 Avg Speed (mph),Lane5 Flow (veh/5min),Lane5 Avg Speed (mph),Lane6 Flow (veh/5min),Lane6 Avg Speed (mph),Latitude,Longitude,Location,Abs_PM
2025-01-07 06:00:00,716551,134,W,ML,278.0,60.4,74.0,65.2,77.0,62.0,67.0,57.8,60.0,55.4,,,,,34.154235,-118.274159,SAN FERNANDO,5.983
2025-01-07 06:00:00,716554,134,W,ML,284.0,67.0,56.0,74.8,108.0,70.5,56.0,61.7,64.0,59.1,,,,,34.156198,-118.265345,PACIFIC,6.503
2025-01-07 06:00:00,717099,134,W,ML,333.0,62.4,83.0,69.3,80.0,65.2,77.0,60.5,93.0,55.4,,,,,34.156447,-118.245195,GLENDALE 1,7.673
2025-01-07 06:00:00,717582,134,W,ML,332.0,68.1,109.0,75.5,81.0,65.4,80.0,66.8,62.0,60.1,,,,,34.156458,-118.262159,CENTRAL,6.693
2025-01-07 06:00:00,717590,134,W,ML,106.0,64.9,22.0,70.4,32.0,66.8,29.0,63.4,23.0,59.1,,,,,34.148123,-118.229499,HARVEY,8.743
2025-01-07 06:00:00,717597,134,W,ML,312.0,71.0,83.0,78.2,84.0,75.4,74.0,66.8,71.0,61.9,,,,,34.142674,-118.184801,FIGUEROA,11.473
2025-01-07 06:00:00,717599,134,W,ML,362.0,61.7,113.0,68.9,109.0,57.1,79.0,57.4,61.0,62.0,,,,,34.142896,-118.172193,SAN RAFAEL,12.253
2025-01-07 06:00:00,717603,134,W,ML,363.0,70.6,123.0,72.6,97.0,71.3,68.0,69.2,43.0,71.0,32.0,63.2,,,34.146519,-118.162409,ORANGE GROVE,12.763
2025-01-07 06:00:00,717604,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.146519,-118.162409,ORANGE GROVE,12.763
2025-01-07 06:00:00,761035,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.148123,-118.229499,HARVEY,8.743
2025-01-07 06:00:00,761038,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.156447,-118.245195,GLENDALE 1,7.673
2025-01-07 06:00:00,761041,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.156458,-118.262159,CENTRAL,6.693
2025-01-07 06:00:00,761044,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.156198,-118.265345,PACIFIC,6.503
2025-01-07 06:00:00,763610,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.142896,-118.172193,SAN RAFAEL,12.253
2025-01-07 06:00:00,763612,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.142674,-118.184801,FIGUEROA,11.473
2025-01-07 06:00:00,773975,134,W,ML,106.0,64.9,22.0,70.4,32.0,66.8,29.0,63.4,23.0,59.1,,,,,34.14568,-118.221874,OAKVIEW,9.213
2025-01-07 06:00:00,773977,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.14568,-118.221874,OAKVIEW,9.213
2025-01-07 06:00:00,773996,134,W,ML,426.0,67.1,94.0,71.3,103.0,69.0,91.0,67.1,84.0,64.5,54.0,60.1,,,34.145076,-118.215608,FM 2 NB TO 134 EB,9.573
2025-01-07 06:00:00,773998,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.145076,-118.215608,FM 2 NB TO 134 EB,9.573
2025-01-07 06:00:00,774012,134,W,ML,426.0,66.4,89.0,72.0,129.0,68.3,114.0,64.9,94.0,60.4,,,,,34.148107,-118.197509,TOWNSEND,10.643
2025-01-07 06:00:00,774014,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.148107,-118.197509,TOWNSEND,10.643
2025-01-07 06:00:00,774032,134,W,ML,283.0,67.8,34.0,72.2,88.0,64.7,72.0,77.4,89.0,61.5,,,,,34.141843,-118.182666,COLORADO,11.623
2025-01-07 06:00:00,774034,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.141843,-118.182666,COLORADO,11.623
2025-01-07 06:00:00,774053,134,W,ML,106.0,64.9,22.0,70.4,32.0,66.8,29.0,63.4,23.0,59.1,,,,,34.15084,-118.234258,FM 2 SB TO 134,8.403
2025-01-07 06:00:00,774055,134,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.15084,-118.234258,FM 2 SB TO 134,8.403
2025-01-07 06:05:00,716551,134,W,ML,279.0,58.2,74.0,62.7,77.0,59.7,67.0,55.7,61.0,53.5,,,,,34.154235,-118.274159,SAN FERNANDO,5.983
2025-01-07 06:05:00,716554,134,W,ML,300.0,65.4,49.0,76.1,114.0,69.8,73.0,58.7,64.0,56.8,,,,,34.156198,-118.265345,PACIFIC,6.503
2025-01-07 06:05:00,717099,134,W,ML,327.0,64.6,81.0,71.6,79.0,67.4,76.0,62.6,91.0,57.7,,,,,34.156447,-118.245195,GLENDALE 1,7.673
2025-01-07 06:05:00,717582,134,W,ML,324.0,67.8,101.0,75.3,79.0,69.3,86.0,66.8,58.0,54.1,,,,,34.156458,-118.262159,CENTRAL,6.693
2025-01-07 06:05:00,717590,134,W,ML,109.0,64.8,23.0,70.2,33.0,66.7,29.0,63.3,24.0,59.0,,,,,34.148123,-118.229499,HARVEY,8.743
