Station,Freeway,Direction,Lane Type,Latitude,Longitude,Abs_PM,Location,Lanes
716551,134,W,ML,34.154235,-118.274159,5.983,SAN FERNANDO,4
716554,134,W,ML,34.156198,-118.265345,6.503,PACIFIC,4
716555,134,W,OR,34.156458,-118.262159,6.693,CENTRAL,1
716557,134,W,OR,34.156447,-118.245195,7.673,GLENDALE 1,1
716560,134,W,OR,34.148123,-118.229499,8.743,HARVEY,1
716562,134,W,OR,34.142674,-118.184801,11.473,FIGUEROA,1
716564,134,W,OR,34.142896,-118.172193,12.253,SAN RAFAEL,1
717099,134,W,ML,34.156447,-118.245195,7.673,GLENDALE 1,4
717581,134,W,FR,34.156458,-118.262159,6.693,CENTRAL,1
717582,134,W,ML,34.156458,-118.262159,6.693,CENTRAL,4
717589,134,W,FR,34.148123,-118.229499,8.743,HARVEY,1
717590,134,W,ML,34.148123,-118.229499,8.743,HARVEY,4
717596,134,W,FR,34.142674,-118.184801,11.473,FIGUEROA,1
717597,134,W,ML,34.142674,-118.184801,11.473,FIGUEROA,4
717598,134,W,FR,34.142896,-118.172193,12.253,SAN RAFAEL,1
717599,134,W,ML,34.142896,-118.172193,12.253,SAN RAFAEL,4
717603,134,W,ML,34.146519,-118.162409,12.763,ORANGE GROVE,5
717604,134,W,HV,34.146519,-118.162409,12.763,ORANGE GROVE,1
761035,134,W,HV,34.148123,-118.229499,8.743,HARVEY,1
761038,134,W,HV,34.156447,-118.245195,7.673,GLENDALE 1,1
761039,134,W,FR,34.156447,-118.245195,7.673,GLENDALE 1,2
761041,134,W,HV,34.156458,-118.262159,6.693,CENTRAL,1
761044,134,W,HV,34.156198,-118.265345,6.503,PACIFIC,1
761046,134,W,OR,34.156198,-118.265345,6.503,PACIFIC,1
761049,134,W,FR,34.156198,-118.265345,6.503,PACIFIC,1
761052,134,W,OR,34.154235,-118.274159,5.983,SAN FERNANDO,1
761056,134,W,FR,34.154235,-118.274159,5.983,SAN FERNANDO,1
763610,134,W,HV,34.142896,-118.172193,12.253,SAN RAFAEL,1
763612,134,W,HV,34.142674,-118.184801,11.473,FIGUEROA,1
773975,134,W,ML,34.14568,-118.221874,9.213,OAKVIEW,4
773977,134,W,HV,34.14568,-118.221874,9.213,OAKVIEW,1
773979,134,W,FF,34.14568,-118.221874,9.213,OAKVIEW,2
773980,134,W,FF,34.14568,-118.221874,9.213,OAKVIEW,1
773996,134,W,ML,34.145076,-118.215608,9.573,FM 2 NB TO 134 EB,5
773998,134,W,HV,34.145076,-118.215608,9.573,FM 2 NB TO 134 EB,1
774012,134,W,ML,34.148107,-118.197509,10.643,TOWNSEND,4
774014,134,W,HV,34.148107,-118.197509,10.643,TOWNSEND,1
774032,134,W,ML,34.141843,-118.182666,11.623,COLORADO,4
774034,134,W,HV,34.141843,-118.182666,11.623,COLORADO,1
774037,134,W,FR,34.141843,-118.182666,11.623,COLORADO,2
774053,134,W,ML,34.15084,-118.234258,8.403,FM 2 SB TO 134,4
774055,134,W,HV,34.15084,-118.234258,8.403,FM 2 SB TO 134,1
774057,134,W,FF,34.15084,-118.234258,8.403,FM 2 SB TO 134,1
