Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Lane1 Flow (veh/5min),Lane2 Flow (veh/5min),Lane3 Flow (veh/5min),Lane4 Flow (veh/5min),Lane5 Flow (veh/5min),Lane6 Flow (veh/5min),Latitude,Longitude,Location,Abs_PM
2025-01-07 06:00:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:00:00,769849,210,E,FF,124.0,41.0,52.0,31.0,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:00:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:00:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:00:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:00:00,776724,210,E,FF,149.0,78.0,71.0,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:05:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:05:00,769849,210,E,FF,145.0,39.0,73.0,33.0,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:05:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:05:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:05:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:05:00,776724,210,E,FF,176.0,107.0,69.0,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:10:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:10:00,769849,210,E,FF,133.0,42.0,52.0,39.0,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:10:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:10:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:10:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:10:00,776724,210,E,FF,108.0,71.0,37.0,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:15:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:15:00,769849,210,E,FF,177.0,62.0,72.0,43.0,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:15:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:15:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:15:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:15:00,776724,210,E,FF,213.0,91.0,122.0,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:20:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:20:00,769849,210,E,FF,214.0,70.0,92.0,52.0,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:20:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:20:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:20:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:20:00,776724,210,E,FF,193.0,99.0,94.0,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:25:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:25:00,769849,210,E,FF,174.0,59.0,72.0,43.0,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:25:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:25:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:25:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:25:00,776724,210,E,FF,196.0,105.0,91.0,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:30:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:30:00,769849,210,E,FF,187.0,63.0,77.0,47.0,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:30:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:30:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:30:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:30:00,776724,210,E,FF,183.0,98.0,85.0,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:35:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:35:00,769849,210,E,FF,226.0,87.0,83.0,56.0,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:35:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:35:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:35:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:35:00,776724,210,E,FF,244.0,149.0,95.0,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:40:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:40:00,769849,210,E,FF,219.0,77.0,92.0,50.0,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:40:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:40:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:40:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
