Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Avg Speed (mph),Lane1 Flow (veh/5min),Lane1 Avg Speed (mph),Lane2 Flow (veh/5min),Lane2 Avg Speed (mph),Lane3 Flow (veh/5min),Lane3 Avg Speed (mph),Lane4 Flow (veh/5min),Lane4 Avg Speed (mph),Lane5 Flow (veh/5min),Lane5 Avg Speed (mph),Lane6 Flow (veh/5min),Lane6 Avg Speed (mph),Latitude,Longitude,Location,Abs_PM
2025-01-07 06:00:00,717617,210,E,ML,106,64.9,22,70.4,32,66.8,29,63.4,23,59.1,,,,,34.179921,-118.167405,ARROYO,22.6
2025-01-07 06:00:00,717620,210,E,ML,113,64.0,22,69.8,33,66.4,30,61.8,28,59.1,,,,,34.174756,-118.160407,LINCOLN 1,23.14
2025-01-07 06:00:00,717625,210,E,ML,125,55.4,13,65.1,12,71.3,9,67.4,91,50.8,,,,,34.160546,-118.158748,MOUNTAIN 2,24.16
2025-01-07 06:00:00,717628,210,E,ML,13,65.1,13,65.1,,,,,,,,,,,34.152216,-118.156144,WALNUT,24.81
2025-01-07 06:00:00,717631,210,E,ML,106,64.9,22,70.4,32,66.8,29,63.4,23,59.1,,,,,34.15099,-118.152369,FAIR OAKS 1,25.12
2025-01-07 06:00:00,717633,210,E,ML,472,68.9,80,74.7,93,72.3,81,70.3,83,67.6,76,63.0,59,63.0,34.151691,-118.142523,MARENGO,25.72
2025-01-07 06:00:00,717635,210,E,ML,230,66.0,48,71.4,41,69.3,42,66.4,41,64.5,58,60.0,,,34.151658,-118.12944,LAKE 2,26.47
2025-01-07 06:00:00,717638,210,E,ML,258,66.8,53,72.4,69,69.5,45,71.9,43,69.3,48,49.7,,,34.152187,-118.117782,HILL 1,27.14
2025-01-07 06:00:00,717640,210,E,ML,214,67.1,6,76.5,55,72.9,69,70.5,39,67.5,45,53.2,,,34.152301,-118.109239,ALLEN,27.63
2025-01-07 06:00:00,717646,210,E,ML,248,66.8,67,74.7,75,70.7,39,67.7,31,44.2,36,62.6,,,34.151406,-118.091041,SAN GABRIEL,28.68
2025-01-07 06:00:00,717650,210,E,ML,236,67.8,72,76.1,55,69.4,49,68.2,38,52.6,22,61.7,,,34.147621,-118.079037,SIERRA MADRE V2,29.44
2025-01-07 06:00:00,761093,210,E,HV,107,64.9,107,64.9,,,,,,,,,,,34.151691,-118.142523,MARENGO,25.72
2025-01-07 06:00:00,761098,210,E,HV,107,64.9,107,64.9,,,,,,,,,,,34.151658,-118.12944,LAKE 2,26.47
2025-01-07 06:00:00,761102,210,E,HV,7,65.0,7,65.0,,,,,,,,,,,34.152187,-118.117782,HILL 1,27.14
2025-01-07 06:00:00,761105,210,E,HV,51,62.7,51,62.7,,,,,,,,,,,34.152301,-118.109239,ALLEN,27.63
2025-01-07 06:00:00,761109,210,E,HV,6,64.9,6,64.9,,,,,,,,,,,34.151406,-118.091041,SAN GABRIEL,28.68
2025-01-07 06:00:00,761112,210,E,HV,6,64.9,6,64.9,,,,,,,,,,,34.147621,-118.079037,SIERRA MADRE V2,29.44
2025-01-07 06:00:00,763614,210,E,HV,107,64.9,107,64.9,,,,,,,,,,,34.15099,-118.152369,FAIR OAKS 1,25.12
2025-01-07 06:00:00,769788,210,E,ML,212,59.9,54,64.8,59,61.6,51,57.3,48,55.0,,,,,34.189219,-118.180753,BERKSHIRE,21.58
2025-01-07 06:00:00,769806,210,E,ML,172,61.8,44,61.4,48,69.1,54,61.3,26,50.0,,,,,34.196934,-118.185042,FOOTHILL,20.98
2025-01-07 06:00:00,769819,210,E,ML,106,64.9,22,70.4,32,66.8,29,63.4,23,59.1,,,,,34.205892,-118.198234,ANGELES CREST HWY NB,19.98
2025-01-07 06:00:00,769831,210,E,ML,159,62.5,41,67.4,46,64.2,39,59.8,33,57.1,,,,,34.206745,-118.201533,ANGELES CREST HWY SB,19.78
2025-01-07 06:00:00,769847,210,E,ML,143,67.4,39,73.4,49,69.7,33,64.2,22,56.4,,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:00:00,769866,210,E,ML,278,59.2,58,72.0,58,66.5,62,53.3,100,51.2,,,,,34.218398,-118.239738,LA CRESCENTA,17.38
2025-01-07 06:00:00,769880,210,E,ML,240,60.5,68,59.6,62,66.4,55,55.8,55,59.5,,,,,34.221426,-118.245718,PENNSYLVANIA,16.98
2025-01-07 06:00:00,769895,210,E,ML,194,64.9,60,73.2,60,66.4,45,59.3,29,53.3,,,,,34.230849,-118.265101,LOWELL / HONOLULU,15.68
2025-01-07 06:00:00,769984,210,E,ML,214,59.8,54,64.7,59,61.5,52,57.4,49,55.1,,,,,34.202989,-118.191827,GOULD,20.4
2025-01-07 06:00:00,770116,210,E,ML,194,63.0,61,67.5,62,65.0,43,56.9,28,58.4,,,,,34.234317,-118.286992,LA TUNA CANYON,14.39
2025-01-07 06:00:00,770385,210,E,ML,137,66.5,39,71.1,49,63.7,18,74.5,31,60.3,,,,,34.206925,-118.21372,EB/NB 2 TO EB 210 CN,19.08
2025-01-07 06:00:00,770578,210,E,ML,37,70.8,36,71.0,1,64.9,,,,,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:05:00,717617,210,E,ML,109,64.8,23,70.2,33,66.7,29,63.3,24,59.0,,,,,34.179921,-118.167405,ARROYO,22.6
2025-01-07 06:05:00,717620,210,E,ML,167,63.5,39,68.9,47,65.5,42,61.0,39,58.3,,,,,34.174756,-118.160407,LINCOLN 1,23.14
2025-01-07 06:05:00,717625,210,E,ML,149,57.0,19,65.1,31,69.7,12,67.0,87,49.4,,,,,34.160546,-118.158748,MOUNTAIN 2,24.16
2025-01-07 06:05:00,717628,210,E,ML,19,65.1,19,65.1,,,,,,,,,,,34.152216,-118.156144,WALNUT,24.81
2025-01-07 06:05:00,717631,210,E,ML,109,64.8,23,70.2,33,66.7,29,63.3,24,59.0,,,,,34.15099,-118.152369,FAIR OAKS 1,25.12
2025-01-07 06:05:00,717633,210,E,ML,496,67.6,84,73.3,98,70.9,85,69.0,87,66.3,80,61.8,62,61.8,34.151691,-118.142523,MARENGO,25.72
2025-01-07 06:05:00,717635,210,E,ML,246,65.8,51,71.3,44,69.1,45,66.2,44,64.3,62,59.9,,,34.151658,-118.12944,LAKE 2,26.47
2025-01-07 06:05:00,717638,210,E,ML,271,66.7,65,72.3,65,68.8,52,72.1,51,69.5,38,42.2,,,34.152187,-118.117782,HILL 1,27.14
2025-01-07 06:05:00,717640,210,E,ML,248,65.0,11,76.6,64,71.6,64,71.8,53,65.7,56,46.6,,,34.152301,-118.109239,ALLEN,27.63
2025-01-07 06:05:00,717646,210,E,ML,271,64.5,63,73.7,76,69.2,52,70.3,36,40.4,44,55.9,,,34.151406,-118.091041,SAN GABRIEL,28.68
2025-01-07 06:05:00,717650,210,E,ML,259,66.6,74,76.1,67,70.2,57,69.4,43,42.8,18,62.5,,,34.147621,-118.079037,SIERRA MADRE V2,29.44
2025-01-07 06:05:00,761093,210,E,HV,110,64.8,110,64.8,,,,,,,,,,,34.151691,-118.142523,MARENGO,25.72
2025-01-07 06:05:00,761098,210,E,HV,110,64.8,110,64.8,,,,,,,,,,,34.151658,-118.12944,LAKE 2,26.47
2025-01-07 06:05:00,761102,210,E,HV,11,65.1,11,65.1,,,,,,,,,,,34.152187,-118.117782,HILL 1,27.14
2025-01-07 06:05:00,761105,210,E,HV,39,60.9,39,60.9,,,,,,,,,,,34.152301,-118.109239,ALLEN,27.63
2025-01-07 06:05:00,761109,210,E,HV,16,64.9,16,64.9,,,,,,,,,,,34.151406,-118.091041,SAN GABRIEL,28.68
2025-01-07 06:05:00,761112,210,E,HV,16,65.0,16,65.0,,,,,,,,,,,34.147621,-118.079037,SIERRA MADRE V2,29.44
2025-01-07 06:05:00,763614,210,E,HV,110,64.8,110,64.8,,,,,,,,,,,34.15099,-118.152369,FAIR OAKS 1,25.12
2025-01-07 06:05:00,769788,210,E,ML,153,61.9,39,66.8,45,63.6,38,59.1,31,56.6,,,,,34.189219,-118.180753,BERKSHIRE,21.58
2025-01-07 06:05:00,769806,210,E,ML,127,60.7,28,61.2,50,67.0,20,64.1,29,46.8,,,,,34.196934,-118.185042,FOOTHILL,20.98
2025-01-07 06:05:00,769819,210,E,ML,109,64.8,23,70.2,33,66.7,29,63.3,24,59.0,,,,,34.205892,-118.198234,ANGELES CREST HWY NB,19.98
2025-01-07 06:05:00,769831,210,E,ML,149,60.2,37,65.1,43,61.9,36,57.6,33,55.3,,,,,34.206745,-118.201533,ANGELES CREST HWY SB,19.78
2025-01-07 06:05:00,769847,210,E,ML,156,67.0,53,72.9,48,70.4,29,65.1,26,50.6,,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:05:00,769866,210,E,ML,287,55.8,59,71.1,64,67.5,77,46.8,87,44.8,,,,,34.218398,-118.239738,LA CRESCENTA,17.38
2025-01-07 06:05:00,769880,210,E,ML,256,55.4,59,49.8,71,66.1,67,46.1,59,58.7,,,,,34.221426,-118.245718,PENNSYLVANIA,16.98
2025-01-07 06:05:00,769895,210,E,ML,210,62.5,62,72.4,70,66.5,48,53.5,30,47.3,,,,,34.230849,-118.265101,LOWELL / HONOLULU,15.68
2025-01-07 06:05:00,769984,210,E,ML,155,61.9,40,66.7,45,63.5,38,59.2,32,56.7,,,,,34.202989,-118.191827,GOULD,20.4
