Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Avg Speed (mph),Lane1 Flow (veh/5min),Lane1 Avg Speed (mph),Lane2 Flow (veh/5min),Lane2 Avg Speed (mph),Lane3 Flow (veh/5min),Lane3 Avg Speed (mph),Lane4 Flow (veh/5min),Lane4 Avg Speed (mph),Lane5 Flow (veh/5min),Lane5 Avg Speed (mph),Lane6 Flow (veh/5min),Lane6 Avg Speed (mph),Latitude,Longitude,Location,Abs_PM
2025-01-07 06:00:00,717615,210,W,ML,219.0,62.0,54.0,67.1,61.0,63.9,54.0,59.4,50.0,56.9,,,,,34.182539,-118.171545,ARROYO 1,22.3
2025-01-07 06:00:00,717622,210,W,ML,206.0,66.6,50.0,74.1,49.0,72.2,49.0,64.1,58.0,57.6,,,,,34.176273,-118.161942,LINCOLN 1,23.0
2025-01-07 06:00:00,717624,210,W,ML,199.0,63.6,39.0,70.1,46.0,66.8,40.0,62.0,37.0,59.2,37.0,59.0,,,34.164368,-118.158093,MOUNTAIN 1,23.9
2025-01-07 06:00:00,717627,210,W,ML,66.0,68.1,30.0,70.0,36.0,66.5,,,,,,,,,34.15225,-118.154678,WALNUT,24.9
2025-01-07 06:00:00,717630,210,W,ML,106.0,64.9,22.0,70.4,32.0,66.8,29.0,63.4,23.0,59.1,,,,,34.152218,-118.14821,FAIR OAKS 1,25.4
2025-01-07 06:00:00,717632,210,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.152218,-118.14821,FAIR OAKS 1,25.4
2025-01-07 06:00:00,717634,210,W,ML,457.0,61.7,103.0,67.7,103.0,64.4,90.0,60.1,84.0,57.4,77.0,56.9,,,34.15195,-118.13555,LAKE 1,26.12
2025-01-07 06:00:00,717637,210,W,ML,550.0,64.5,143.0,68.6,119.0,67.4,94.0,66.0,83.0,59.2,111.0,58.7,,,34.152357,-118.123714,HILL,26.8
2025-01-07 06:00:00,717642,210,W,ML,528.0,63.8,148.0,68.3,128.0,67.8,84.0,63.7,80.0,54.0,88.0,59.5,,,34.1527,-118.102255,ALTADENA,28.03
2025-01-07 06:00:00,717643,210,W,HV,96.0,57.6,96.0,57.6,,,,,,,,,,,34.1527,-118.102255,ALTADENA,28.03
2025-01-07 06:00:00,717644,210,W,ML,560.0,67.1,162.0,69.3,137.0,68.5,99.0,69.3,89.0,64.3,73.0,60.2,,,34.152727,-118.098063,SAN GABRIEL,28.27
2025-01-07 06:00:00,717645,210,W,HV,91.0,58.5,91.0,58.5,,,,,,,,,,,34.152727,-118.098063,SAN GABRIEL,28.27
2025-01-07 06:00:00,717649,210,W,ML,511.0,66.5,155.0,69.2,135.0,68.8,80.0,63.6,81.0,62.7,60.0,63.6,,,34.148074,-118.08377,SIERRA MADRE V1,29.17
2025-01-07 06:00:00,717653,210,W,ML,338.0,64.2,91.0,66.6,87.0,64.8,69.0,64.1,57.0,62.1,34.0,60.1,,,34.148737,-118.071321,ROSEMEAD 1,29.879
2025-01-07 06:00:00,761318,210,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.15195,-118.13555,LAKE 1,26.12
2025-01-07 06:00:00,761322,210,W,HV,95.0,58.5,95.0,58.5,,,,,,,,,,,34.152357,-118.123714,HILL,26.8
2025-01-07 06:00:00,761325,210,W,HV,102.0,58.6,102.0,58.6,,,,,,,,,,,34.148074,-118.08377,SIERRA MADRE V1,29.17
2025-01-07 06:00:00,761431,210,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.148737,-118.071321,ROSEMEAD 1,29.879
2025-01-07 06:00:00,764135,210,W,HV,107.0,64.9,107.0,64.9,,,,,,,,,,,34.152092,-118.143249,MARENGO,25.68
