Timestamp,Station,Freeway,Direction,Lane Type,Latitude,Longitude,Location,Abs_PM,Total Flow (veh/5min),Lane1 Flow (veh/5min),Lane2 Flow (veh/5min),Lane3 Flow (veh/5min),Lane4 Flow (veh/5min),Lane5 Flow (veh/5min),Lane6 Flow (veh/5min)
06:00:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:00:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,130,41,59,30,,,
06:00:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:00:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:00:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:00:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,175,97,78,,,,
06:05:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:05:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,157,52,65,40,,,
06:05:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:05:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:05:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:05:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,170,97,73,,,,
06:10:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:10:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,162,53,70,38,,,
06:10:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:10:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:10:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:10:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,170,89,80,,,,
06:15:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:15:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,168,52,72,44,,,
06:15:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:15:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:15:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:15:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,195,105,91,,,,
06:20:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:20:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,184,64,73,47,,,
06:20:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:20:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:20:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:20:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,204,111,93,,,,
06:25:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:25:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,197,72,80,45,,,
06:25:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:25:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:25:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:25:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,229,124,106,,,,
06:30:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:30:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,223,82,83,58,,,
06:30:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:30:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:30:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:30:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,243,131,112,,,,
06:35:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:35:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,253,88,99,66,,,
06:35:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:35:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:35:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:35:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,261,134,128,,,,
06:40:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:40:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,247,82,103,62,,,
06:40:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:40:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:40:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:40:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,275,154,121,,,,
06:45:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:45:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,273,93,116,64,,,
06:45:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:45:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:45:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
