Timestamp,Station,Freeway,Direction,Lane Type,Latitude,Longitude,Location,Abs_PM,Total Flow (veh/5min),Avg Speed (mph),Lane1 Flow (veh/5min),Lane1 Avg Speed (mph),Lane2 Flow (veh/5min),Lane2 Avg Speed (mph),Lane3 Flow (veh/5min),Lane3 Avg Speed (mph),Lane4 Flow (veh/5min),Lane4 Avg Speed (mph),Lane5 Flow (veh/5min),Lane5 Avg Speed (mph),Lane6 Flow (veh/5min),Lane6 Avg Speed (mph)
06:00:00,716551,134,W,ML,34.154235,-118.274159,SAN FERNANDO,5.983,290,61.6,77,66.5,80,63.3,69,58.96666666666667,64,56.46666666666667,,,,
06:00:00,716554,134,W,ML,34.156198,-118.265345,PACIFIC,6.503,300,66.23333333333333,49,75.63333333333334,111,68.13333333333334,74,64.3,67,57.8,,,,
06:00:00,717099,134,W,ML,34.156447,-118.245195,GLENDALE 1,7.673,380,63.29999999999999,96,70.16666666666667,91,66.06666666666666,87,61.333333333333336,105,56.36666666666667,,,,
06:00:00,717582,134,W,ML,34.156458,-118.262159,CENTRAL,6.693,350,67.2,108,72.2,82,69.73333333333333,84,64.86666666666667,77,59.8,,,,
06:00:00,717590,134,W,ML,34.148123,-118.229499,HARVEY,8.743,106,64.9,22,70.4,32,66.8,29,63.4,23,59.1,,,,
06:00:00,717597,134,W,ML,34.142674,-118.184801,FIGUEROA,11.473,106,64.9,22,70.4,32,66.8,29,63.4,23,59.1,,,,
06:00:00,717599,134,W,ML,34.142896,-118.172193,SAN RAFAEL,12.253,419,68.10000000000001,98,71.83333333333333,128,68.16666666666667,104,69.06666666666668,89,63.93333333333334,,,,
06:00:00,717603,134,W,ML,34.146519,-118.162409,ORANGE GROVE,12.763,211,68.96666666666665,61,71.23333333333333,55,69.86666666666667,38,71.06666666666666,36,68.39999999999999,21,61.1,,
06:00:00,717604,134,W,HV,34.146519,-118.162409,ORANGE GROVE,12.763,107,64.9,107,64.9,,,,,,,,,,
06:00:00,761035,134,W,HV,34.148123,-118.229499,HARVEY,8.743,107,64.9,107,64.9,,,,,,,,,,
06:00:00,761038,134,W,HV,34.156447,-118.245195,GLENDALE 1,7.673,107,64.9,107,64.9,,,,,,,,,,
06:00:00,761041,134,W,HV,34.156458,-118.262159,CENTRAL,6.693,107,64.9,107,64.9,,,,,,,,,,
06:00:00,761044,134,W,HV,34.156198,-118.265345,PACIFIC,6.503,107,64.9,107,64.9,,,,,,,,,,
06:00:00,763610,134,W,HV,34.142896,-118.172193,SAN RAFAEL,12.253,107,64.9,107,64.9,,,,,,,,,,
06:00:00,763612,134,W,HV,34.142674,-118.184801,FIGUEROA,11.473,107,64.9,107,64.9,,,,,,,,,,
06:00:00,773975,134,W,ML,34.14568,-118.221874,OAKVIEW,9.213,106,64.9,22,70.4,32,66.8,29,63.4,23,59.1,,,,
06:00:00,773977,134,W,HV,34.14568,-118.221874,OAKVIEW,9.213,107,64.9,107,64.9,,,,,,,,,,
06:00:00,773996,134,W,ML,34.145076,-118.215608,FM 2 NB TO 134 EB,9.573,426,67.1,94,71.3,103,69.0,91,67.1,84,64.5,54,60.1,,
06:00:00,773998,134,W,HV,34.145076,-118.215608,FM 2 NB TO 134 EB,9.573,107,64.9,107,64.9,,,,,,,,,,
06:00:00,774012,134,W,ML,34.148107,-118.197509,TOWNSEND,10.643,426,66.4,89,72.0,129,68.3,114,64.9,94,60.4,,,,
06:00:00,774014,134,W,HV,34.148107,-118.197509,TOWNSEND,10.643,107,64.9,107,64.9,,,,,,,,,,
06:00:00,774032,134,W,ML,34.141843,-118.182666,COLORADO,11.623,186,65.76666666666667,30,71.9,57,68.26666666666667,54,64.46666666666665,45,59.5,,,,
06:00:00,774034,134,W,HV,34.141843,-118.182666,COLORADO,11.623,107,64.9,107,64.9,,,,,,,,,,
06:00:00,774053,134,W,ML,34.15084,-118.234258,FM 2 SB TO 134,8.403,106,64.9,22,70.4,32,66.8,29,63.4,23,59.1,,,,
06:00:00,774055,134,W,HV,34.15084,-118.234258,FM 2 SB TO 134,8.403,107,64.9,107,64.9,,,,,,,,,,
06:05:00,716551,134,W,ML,34.154235,-118.274159,SAN FERNANDO,5.983,316,60.36666666666667,85,65.13333333333334,87,61.96666666666666,75,57.73333333333333,70,55.4,,,,
06:05:00,716554,134,W,ML,34.156198,-118.265345,PACIFIC,6.503,341,65.63333333333334,57,75.66666666666667,132,67.26666666666667,80,63.7,72,56.73333333333333,,,,
06:05:00,717099,134,W,ML,34.156447,-118.245195,GLENDALE 1,7.673,362,63.03333333333333,91,69.89999999999999,87,65.8,83,61.03333333333333,100,56.0,,,,
06:05:00,717582,134,W,ML,34.156458,-118.262159,CENTRAL,6.693,376,65.73333333333333,130,70.7,84,67.89999999999999,89,64.03333333333333,73,56.6,,,,
06:05:00,717590,134,W,ML,34.148123,-118.229499,HARVEY,8.743,109,64.8,23,70.2,33,66.7,29,63.29999999999999,24,59.0,,,,
06:05:00,717597,134,W,ML,34.142674,-118.184801,FIGUEROA,11.473,109,64.8,23,70.2,33,66.7,29,63.29999999999999,24,59.0,,,,
