Timestamp,Station,Freeway,Direction,Lane Type,Latitude,Longitude,Location,Abs_PM,Total Flow (veh/5min),Lane1 Flow (veh/5min),Lane2 Flow (veh/5min),Lane3 Flow (veh/5min),Lane4 Flow (veh/5min),Lane5 Flow (veh/5min),Lane6 Flow (veh/5min)
06:00:00,716555,134,W,OR,34.156458,-118.262159,CENTRAL,6.693,,,,,,,
06:00:00,716557,134,W,OR,34.156447,-118.245195,GLENDALE 1,7.673,,,,,,,
06:00:00,716560,134,W,OR,34.148123,-118.229499,HARVEY,8.743,,,,,,,
06:00:00,716562,134,W,OR,34.142674,-118.184801,FIGUEROA,11.473,,,,,,,
06:00:00,716564,134,W,OR,34.142896,-118.172193,SAN RAFAEL,12.253,,,,,,,
06:00:00,761046,134,W,OR,34.156198,-118.265345,PACIFIC,6.503,,,,,,,
06:00:00,761052,134,W,OR,34.154235,-118.274159,SAN FERNANDO,5.983,,,,,,,
06:05:00,716555,134,W,OR,34.156458,-118.262159,CENTRAL,6.693,,,,,,,
06:05:00,716557,134,W,OR,34.156447,-118.245195,GLENDALE 1,7.673,,,,,,,
06:05:00,716560,134,W,OR,34.148123,-118.229499,HARVEY,8.743,,,,,,,
06:05:00,716562,134,W,OR,34.142674,-118.184801,FIGUEROA,11.473,,,,,,,
06:05:00,716564,134,W,OR,34.142896,-118.172193,SAN RAFAEL,12.253,,,,,,,
06:05:00,761046,134,W,OR,34.156198,-118.265345,PACIFIC,6.503,,,,,,,
06:05:00,761052,134,W,OR,34.154235,-118.274159,SAN FERNANDO,5.983,,,,,,,
06:10:00,716555,134,W,OR,34.156458,-118.262159,CENTRAL,6.693,,,,,,,
06:10:00,716557,134,W,OR,34.156447,-118.245195,GLENDALE 1,7.673,,,,,,,
06:10:00,716560,134,W,OR,34.148123,-118.229499,HARVEY,8.743,,,,,,,
06:10:00,716562,134,W,OR,34.142674,-118.184801,FIGUEROA,11.473,,,,,,,
06:10:00,716564,134,W,OR,34.142896,-118.172193,SAN RAFAEL,12.253,,,,,,,
06:10:00,761046,134,W,OR,34.156198,-118.265345,PACIFIC,6.503,,,,,,,
06:10:00,761052,134,W,OR,34.154235,-118.274159,SAN FERNANDO,5.983,,,,,,,
06:15:00,716555,134,W,OR,34.156458,-118.262159,CENTRAL,6.693,,,,,,,
06:15:00,716557,134,W,OR,34.156447,-118.245195,GLENDALE 1,7.673,,,,,,,
06:15:00,716560,134,W,OR,34.148123,-118.229499,HARVEY,8.743,,,,,,,
06:15:00,716562,134,W,OR,34.142674,-118.184801,FIGUEROA,11.473,,,,,,,
06:15:00,716564,134,W,OR,34.142896,-118.172193,SAN RAFAEL,12.253,,,,,,,
06:15:00,761046,134,W,OR,34.156198,-118.265345,PACIFIC,6.503,,,,,,,
06:15:00,761052,134,W,OR,34.154235,-118.274159,SAN FERNANDO,5.983,,,,,,,
06:20:00,716555,134,W,OR,34.156458,-118.262159,CENTRAL,6.693,,,,,,,
06:20:00,716557,134,W,OR,34.156447,-118.245195,GLENDALE 1,7.673,,,,,,,
06:20:00,716560,134,W,OR,34.148123,-118.229499,HARVEY,8.743,,,,,,,
06:20:00,716562,134,W,OR,34.142674,-118.184801,FIGUEROA,11.473,,,,,,,
06:20:00,716564,134,W,OR,34.142896,-118.172193,SAN RAFAEL,12.253,,,,,,,
06:20:00,761046,134,W,OR,34.156198,-118.265345,PACIFIC,6.503,,,,,,,
06:20:00,761052,134,W,OR,34.154235,-118.274159,SAN FERNANDO,5.983,,,,,,,
06:25:00,716555,134,W,OR,34.156458,-118.262159,CENTRAL,6.693,,,,,,,
06:25:00,716557,134,W,OR,34.156447,-118.245195,GLENDALE 1,7.673,,,,,,,
06:25:00,716560,134,W,OR,34.148123,-118.229499,HARVEY,8.743,,,,,,,
06:25:00,716562,134,W,OR,34.142674,-118.184801,FIGUEROA,11.473,,,,,,,
06:25:00,716564,134,W,OR,34.142896,-118.172193,SAN RAFAEL,12.253,,,,,,,
06:25:00,761046,134,W,OR,34.156198,-118.265345,PACIFIC,6.503,,,,,,,
