Timestamp,Station,Freeway,Direction,Lane Type,Latitude,Longitude,Location,Abs_PM,Total Flow (veh/5min),Lane1 Flow (veh/5min),Lane2 Flow (veh/5min),Lane3 Flow (veh/5min),Lane4 Flow (veh/5min),Lane5 Flow (veh/5min),Lane6 Flow (veh/5min)
06:00:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:00:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,130.33333333333334,41.333333333333336,59.333333333333336,29.666666666666668,,,
06:00:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:00:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:00:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:00:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,175.33333333333334,97.33333333333333,78.0,,,,
06:05:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:05:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,157.33333333333334,52.333333333333336,65.0,40.0,,,
06:05:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:05:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:05:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:05:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,170.0,97.33333333333333,72.66666666666667,,,,
06:10:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:10:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,161.66666666666666,53.333333333333336,70.0,38.333333333333336,,,
06:10:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:10:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:10:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:10:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,169.66666666666666,89.33333333333333,80.33333333333333,,,,
06:15:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:15:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,168.0,51.666666666666664,72.33333333333333,44.0,,,
06:15:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:15:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:15:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:15:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,195.33333333333334,104.66666666666667,90.66666666666667,,,,
06:20:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:20:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,184.0,64.33333333333333,73.0,46.666666666666664,,,
06:20:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:20:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:20:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:20:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,203.66666666666666,111.0,92.66666666666667,,,,
06:25:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:25:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,197.0,71.66666666666667,80.0,45.333333333333336,,,
06:25:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:25:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:25:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:25:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,229.33333333333334,123.66666666666667,105.66666666666667,,,,
06:30:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:30:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,223.0,81.66666666666667,83.33333333333333,58.0,,,
06:30:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:30:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:30:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:30:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,243.0,131.33333333333334,111.66666666666667,,,,
06:35:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:35:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,252.66666666666666,88.0,99.0,65.66666666666667,,,
06:35:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:35:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:35:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:35:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,261.3333333333333,133.66666666666666,127.66666666666667,,,,
06:40:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:40:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,246.66666666666666,81.66666666666667,103.33333333333333,61.666666666666664,,,
06:40:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:40:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:40:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:40:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,274.6666666666667,153.66666666666666,121.0,,,,
06:45:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:45:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,273.0,93.0,116.0,64.0,,,
06:45:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:45:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:45:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:45:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,277.6666666666667,146.33333333333334,131.33333333333334,,,,
06:50:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:50:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,278.6666666666667,99.0,111.33333333333333,68.33333333333333,,,
06:50:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:50:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
06:50:00,775729,210,E,FF,34.155812,-118.158089,EB 210 CON,24.49,,,,,,,
06:50:00,776724,210,E,FF,34.156489,-118.158295,WINONA WAY,24.442,291.0,165.33333333333334,125.66666666666667,,,,
06:55:00,768916,210,E,FF,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12,,,,,,,
06:55:00,769849,210,E,FF,34.211728,-118.228265,OCEAN VIEW,18.18,278.3333333333333,106.0,109.33333333333333,63.0,,,
06:55:00,770170,210,E,FF,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49,,,,,,,
06:55:00,773131,210,E,FF,34.15154,-118.146708,FAIR OAKS OFF,25.48,,,,,,,
