Station,Freeway,Direction,Lane Type,Latitude,Longitude,Abs_PM,Location,Lanes
716551,134,W,ML,34.154235,-118.274159,5.983,SAN FERNANDO,4
716554,134,W,ML,34.156198,-118.265345,6.503,PACIFIC,4
716555,134,W,OR,34.156458,-118.262159,6.693,CENTRAL,1
716557,134,W,OR,34.156447,-118.245195,7.673,GLENDALE 1,1
716560,134,W,OR,34.148123,-118.229499,8.743,HARVEY,1
716562,134,W,OR,34.142674,-118.184801,11.473,FIGUEROA,1
716564,134,W,OR,34.142896,-118.172193,12.253,SAN RAFAEL,1
716575,210,W,OR,34.182539,-118.171545,22.3,ARROYO 1,1
716576,210,E,OR,34.179921,-118.167405,22.6,ARROYO,1
716577,210,E,OR,34.174756,-118.160407,23.14,LINCOLN 1,1
716578,210,W,OR,34.176273,-118.161942,23.0,LINCOLN 1,1
716579,210,W,OR,34.164368,-118.158093,23.9,MOUNTAIN 1,1
716580,210,E,OR,34.160546,-118.158748,24.16,MOUNTAIN 2,1
716582,210,W,OR,34.15225,-118.154678,24.9,WALNUT,1
716583,210,W,OR,34.152218,-118.14821,25.4,FAIR OAKS 1,1
716585,210,E,OR,34.151691,-118.142523,25.72,MARENGO,1
716586,210,W,OR,34.15195,-118.13555,26.12,LAKE 1,1
716587,210,E,OR,34.151658,-118.12944,26.47,LAKE NB,1
716588,210,W,OR,34.152357,-118.123714,26.8,HILL,1
716589,210,E,OR,34.152187,-118.117782,27.14,HILL NB,1
716590,210,E,OR,34.152301,-118.109239,27.63,ALLEN,1
716591,210,W,OR,34.1527,-118.102255,28.03,ALTADENA,1
716592,210,W,OR,34.152727,-118.098063,28.27,SAN GABRIEL,1
716593,210,E,OR,34.151406,-118.091041,28.68,SAN GABRIEL,1
716594,210,W,OR,34.148074,-118.08377,29.17,SIERRA MADRE V1,1
716595,210,E,OR,34.147621,-118.079037,29.44,SIERRA MADRE V2,1
716596,210,W,OR,34.148737,-118.071321,29.879,ROSEMEAD 1,1
717099,134,W,ML,34.156447,-118.245195,7.673,GLENDALE 1,4
717581,134,W,FR,34.156458,-118.262159,6.693,CENTRAL,1
717582,134,W,ML,34.156458,-118.262159,6.693,CENTRAL,4
717589,134,W,FR,34.148123,-118.229499,8.743,HARVEY,1
717590,134,W,ML,34.148123,-118.229499,8.743,HARVEY,4
717596,134,W,FR,34.142674,-118.184801,11.473,FIGUEROA,1
717597,134,W,ML,34.142674,-118.184801,11.473,FIGUEROA,4
717598,134,W,FR,34.142896,-118.172193,12.253,SAN RAFAEL,1
717599,134,W,ML,34.142896,-118.172193,12.253,SAN RAFAEL,4
717603,134,W,ML,34.146519,-118.162409,12.763,ORANGE GROVE,5
717604,134,W,HV,34.146519,-118.162409,12.763,ORANGE GROVE,1
717615,210,W,ML,34.182539,-118.171545,22.3,ARROYO 1,4
717616,210,E,FR,34.179921,-118.167405,22.6,ARROYO,2
717617,210,E,ML,34.179921,-118.167405,22.6,ARROYO,4
717619,210,E,FR,34.174756,-118.160407,23.14,LINCOLN 1,2
717620,210,E,ML,34.174756,-118.160407,23.14,LINCOLN 1,4
717622,210,W,ML,34.176273,-118.161942,23.0,LINCOLN 1,4
717623,210,W,FR,34.164368,-118.158093,23.9,MOUNTAIN 1,2
717624,210,W,ML,34.164368,-118.158093,23.9,MOUNTAIN 1,5
717625,210,E,ML,34.160546,-118.158748,24.16,MOUNTAIN 2,4
717627,210,W,ML,34.15225,-118.154678,24.9,WALNUT,2
717628,210,E,ML,34.152216,-118.156144,24.81,WALNUT,1
717630,210,W,ML,34.152218,-118.14821,25.4,FAIR OAKS 1,4
717631,210,E,ML,34.15099,-118.152369,25.12,FAIR OAKS 1,4
717632,210,W,HV,34.152218,-118.14821,25.4,FAIR OAKS 1,1
717633,210,E,ML,34.151691,-118.142523,25.72,MARENGO,6
717634,210,W,ML,34.15195,-118.13555,26.12,LAKE 1,5
717635,210,E,ML,34.151658,-118.12944,26.47,LAKE 2,5
717636,210,W,FR,34.152357,-118.123714,26.8,HILL,1
717637,210,W,ML,34.152357,-118.123714,26.8,HILL,5
717638,210,E,ML,34.152187,-118.117782,27.14,HILL 1,5
717640,210,E,ML,34.152301,-118.109239,27.63,ALLEN,5
717642,210,W,ML,34.1527,-118.102255,28.03,ALTADENA,5
717643,210,W,HV,34.1527,-118.102255,28.03,ALTADENA,1
717644,210,W,ML,34.152727,-118.098063,28.27,SAN GABRIEL,5
717645,210,W,HV,34.152727,-118.098063,28.27,SAN GABRIEL,1
717646,210,E,ML,34.151406,-118.091041,28.68,SAN GABRIEL,5
717648,210,W,FR,34.148074,-118.08377,29.17,SIERRA MADRE V1,3
717649,210,W,ML,34.148074,-118.08377,29.17,SIERRA MADRE V1,5
717650,210,E,ML,34.147621,-118.079037,29.44,SIERRA MADRE V2,5
