Sheet,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
Astar,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,ICORE2026,A*,none,view,4606,1.0,5.0
Astar,ACM Conference on Computer and Communications Security,CCS,ICORE2026,A*,none,view,4604,0.0,N/A
Astar,ACM Conference on Economics and Computation,EC,ICORE2026,A*,none,view,4602,2.0,5.0
Astar,ACM International Conference on Knowledge Discovery and Data Mining,KDD,ICORE2026,A*,none,view,4605,1.0,N/A
Astar,ACM International Conference on Mobile Computing and Networking,MOBICOM,ICORE2026,A*,none,view,4606,0.0,N/A
Astar,ACM International Conference on Research and Development in Information Retrieval,SIGIR,ICORE2026,A*,none,view,4605,0.0,N/A
Astar,"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,ICORE2026,A*,none,view,4612,6.0,5.0
Astar,ACM International Symposium on Computer Architecture,ISCA,ICORE2026,A*,none,view,CSE,0.0,N/A
Astar,ACM Multimedia,ACMMM,ICORE2026,A*,none,view,4603,3.0,5.0
Astar,ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,ICORE2026,A*,none,view,4607,1.0,5.0
Astar,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,ICORE2026,A*,none,view,4605,0.0,N/A
Astar,ACM SIGOPS Symposium on Operating Systems Principles,SOSP,ICORE2026,A*,none,view,4606,0.0,N/A
Astar,ACM Special Interest Group on Management of Data Conference,SIGMOD,ICORE2026,A*,none,view,4605,0.0,N/A
Astar,ACM Symposium on Principles of Distributed Computing,PODC,ICORE2026,A*,none,view,4606,0.0,N/A
Astar,ACM Symposium on Theory of Computing,STOC,ICORE2026,A*,none,view,4613,1.0,5.0
Astar,ACM Symposium on User Interface Software and Technology,UIST,ICORE2026,A*,none,view,4608,1.0,5.0
Astar,ACM-SIGACT Symposium on Principles of Programming Languages,POPL,ICORE2026,A*,none,view,4612,0.0,N/A
Astar,ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,ICORE2026,A*,none,view,4612,0.0,N/A
Astar,ACM/IEEE International Conference on Human-Robot Interaction,HRI,ICORE2026,A*,none,view,4608,0.0,N/A
Astar,ACM/SIAM Symposium on Discrete Algorithms,SODA,ICORE2026,A*,none,view,4613,0.0,N/A
Astar,Advances in Cryptology,CRYPTO,ICORE2026,A*,none,view,4604,1.0,5.0
Astar,Advances in Neural Information Processing Systems (was NIPS),NeurIPS,ICORE2026,A*,none,view,4611,0.0,N/A
Astar,Architectural Support for Programming Languages and Operating Systems,ASPLOS,ICORE2026,A*,none,view,4612,0.0,N/A
Astar,Association for Computational Linguistics,ACL,ICORE2026,A*,none,view,4602,0.0,N/A
Astar,Automated Software Engineering Conference,ASE,ICORE2026,A*,none,view,4612,2.0,5.0
Astar,Computer Aided Verification,CAV,ICORE2026,A*,none,view,4612,0.0,N/A
Astar,Conference on Learning Theory,COLT,ICORE2026,A*,none,view,4611,2.0,5.0
Astar,Design Automation Conf,DAC,ICORE2026,A*,none,view,CSE,2.0,5.0
Astar,Empirical Methods in Natural Language Processing,EMNLP,ICORE2026,A*,none,view,4602,2.0,5.0
Astar,European Conference on Computer Vision,ECCV,ICORE2026,A*,none,view,4603,4.0,5.0
Astar,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,ICORE2026,A*,none,view,4603,1.0,5.0
Astar,IEEE Conference on Virtual Reality and 3D User Interfaces,VR,ICORE2026,A*,none,view,4607,0.0,N/A
Astar,IEEE International Conference on Computer Communications,INFOCOM,ICORE2026,A*,none,view,4606,8.0,4.9
Astar,IEEE International Conference on Computer Vision,ICCV,ICORE2026,A*,none,view,4603,3.0,5.0
Astar,IEEE International Conference on Data Mining,ICDM,ICORE2026,A*,none,view,4605,1.0,5.0
