x0 = VectorD(7.00000,	-7.00000,	1.50000,	3.00000,	7.50000,	4.00000)
T1 = 24, T2 = 25, execution time = 57.677773230999996
T1 = 25, T2 = 26, execution time = 44.310004832
T1 = 26, T2 = 27, execution time = 47.525480449999996
T1 = 27, T2 = 28, execution time = 45.09559992
T1 = 28, T2 = 29, execution time = 45.895572972
T1 = 29, T2 = 30, execution time = 52.624062282
T1 = 30, T2 = 31, execution time = 48.397654296
T1 = 31, T2 = 32, execution time = 49.441802316
T1 = 32, T2 = 33, execution time = 50.677839164999995
T1 = 33, T2 = 34, execution time = 52.931924176
T1 = 34, T2 = 35, execution time = 58.105796984
T1 = 35, T2 = 36, execution time = 57.138128089
T1 = 36, T2 = 37, execution time = 58.039699644
T1 = 37, T2 = 38, execution time = 60.12767076
T1 = 38, T2 = 39, execution time = 59.649812868
T1 = 39, T2 = 40, execution time = 60.870900324999994
T1 = 40, T2 = 41, execution time = 62.801796636
T1 = 41, T2 = 42, execution time = 59.750472456999994
T1 = 42, T2 = 43, execution time = 56.842593678
T1 = 43, T2 = 44, execution time = 63.429355054
T1 = 44, T2 = 45, execution time = 53.553649664999995
T1 = 45, T2 = 46, execution time = 57.68574523
T1 = 46, T2 = 47, execution time = 52.879636596
T1 = 47, T2 = 48, execution time = 54.958158743
T1 = 48, T2 = 49, execution time = 50.41585424
T1 = 49, T2 = 50, execution time = 51.555469452
T1 = 50, T2 = 51, execution time = 54.307198604
T1 = 51, T2 = 52, execution time = 52.749414955
T1 = 52, T2 = 53, execution time = 51.030607022
T1 = 53, T2 = 54, execution time = 50.127344242999996
T1 = 54, T2 = 55, execution time = 48.90654795
T1 = 55, T2 = 56, execution time = 48.900758596
T1 = 56, T2 = 57, execution time = 49.590285073
T1 = 57, T2 = 58, execution time = 49.837142993
T1 = 58, T2 = 59, execution time = 49.45745633599999
T1 = 59, T2 = 60, execution time = 47.054882462
T1 = 60, T2 = 61, execution time = 47.742082467
T1 = 61, T2 = 62, execution time = 52.864885165
T1 = 62, T2 = 63, execution time = 54.170611195999996
T1 = 63, T2 = 64, execution time = 50.157902259
T1 = 64, T2 = 65, execution time = 50.376229718999994
T1 = 65, T2 = 66, execution time = 49.957764084
T1 = 66, T2 = 67, execution time = 52.335487691
T1 = 67, T2 = 68, execution time = 51.829247884999994
T1 = 68, T2 = 69, execution time = 53.372571666
T1 = 69, T2 = 70, execution time = 54.509406268999996
T1 = 70, T2 = 71, execution time = 54.496902326999994
T1 = 71, T2 = 72, execution time = 48.319881165
