Acronym,Title,CORE_Rank,Sheet,Tags,Average_Rating,Comments,Quick_Publish_Score
MASCOTS,Symposium Model Analysis and Simulation of Computer and Telecommunications Systems,B,B,simulation,5.0,36.0,11.00
CEC,IEEE Congress on Evolutionary Computation,B,B,optimization,4.8,6.0,8.40
EuroPar,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),B,B,systems,5.0,2.0,8.20
SRDS,Symposium on Reliable Distributed Systems,B,B,systems,5.0,2.0,8.20
EvoApplications,International Conference on Applications of Evolutionary Computation,B,B,optimization,5.0,1.0,8.10
SPAA,Symposium on Parallelism in Algorithms and Architectures,B,B,systems,5.0,1.0,8.10
VTC,IEEE Vehicular Technology Conference,B,B,transport,5.0,1.0,8.10
PACT,International Conference on Parallel Architecture and Compilation Techniques,B,B,systems,4.0,1.0,7.10
PADS,ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),B,B,"simulation,systems",N/A,0.0,6.00
WiOpt,"International Symposium on Modelling and Optimization in Mobile, Ad Hoc, and Wireless Networks",B,B,"simulation,optimization",N/A,0.0,6.00
Automotive_UI,International ACM Conference on Automotive User Interfaces and Interactive Vehicular Applications,B,B,transport,N/A,0.0,3.00
CPAIOR,International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,B,B,optimization,N/A,0.0,3.00
DCOSS,IEEE International Conference on Distributed Computing in Sensor Systems,B,B,systems,N/A,0.0,3.00
ECMFA,European Conference on Modelling Foundations and Applications,B,B,simulation,N/A,0.0,3.00
EDOC,IEEE International Enterprise Distributed Object Computing Conference,B,B,systems,N/A,0.0,3.00
EvoCOP,European Conference on Evolutionary Computation in Combinatorial Optimisation,B,B,optimization,N/A,0.0,3.00
ICPADS,International Conference on Parallel and Distributed Systems,B,B,systems,N/A,0.0,3.00
ICPE,ACM/SPEC International Conference on Performance Engineering,B,B,systems,N/A,0.0,3.00
ICPP,International Conference on Parallel Processing,B,B,systems,N/A,0.0,3.00
IEEE-IV,Intelligent Vehicles Conference,B,B,transport,N/A,0.0,3.00
IPCO,Conference on Integer Programming and Combinatorial Optimization,B,B,optimization,N/A,0.0,3.00
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,B,B,systems,N/A,0.0,3.00
MDAI,International Conference on Modelling Decisions for Artificial Intelligence,B,B,simulation,N/A,0.0,3.00
MMM,International Conference on Multimedia Modelling,B,B,simulation,N/A,0.0,3.00
OPODIS,International Conference on Principles of Distributed Systems,B,B,systems,N/A,0.0,3.00
PPoPP,Principles and Practice of Parallel Programming,B,B,systems,N/A,0.0,3.00
VMCAI,"Verification, Model Checking and Abstract Interpretation",B,B,simulation,N/A,0.0,3.00
