Acronym,Title,CORE_Rank,Sheet,Tags,Average_Rating,Comments,Quick_Publish_Score
ATMOS,"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",C,C,"simulation,optimization,transport",N/A,0.0,9.00
ISCO,International Symposium on Combinatorial Optimisation,C,C,optimization,5.0,1.0,8.10
SNPD,"International Conference on Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",C,C,systems,5.0,1.0,8.10
HPCC,IEEE International Conference on High Performance Computing and Communications,C,C,systems,4.0,1.0,7.10
IWOCA,International Workshop on Combinatorial Algorithm,C,C,optimization,4.0,1.0,7.10
SACMAT,"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",C,C,simulation,4.0,1.0,7.10
WCO,Workshop on Computational Optimization,C,C,optimization,4.0,1.0,7.10
DS-RT,International Symposium on Distributed Simulation and Real Time Applications,C,C,"simulation,systems",N/A,0.0,6.00
HIPS,International Workshop on High-Level Parallel Programming Models and Supportive Environments,C,C,"simulation,systems",N/A,0.0,6.00
PEMWN,IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,C,C,"simulation,systems",N/A,0.0,6.00
COCOA,Conference on Combinatorial Optimization and Applications,C,C,optimization,N/A,1.0,3.10
ALIFE,International Conference on the Simulation and Synthesis of Living Systems,C,C,simulation,N/A,0.0,3.00
AofA,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",C,C,optimization,N/A,0.0,3.00
COMMA,International Conference on Computational Models of Argument,C,C,simulation,N/A,0.0,3.00
CTW,Cologne-Twente Workshop on Graphs and Combinatorial Optimization,C,C,optimization,N/A,0.0,3.00
Coordination,International Conference on Coordination Models and Languages,C,C,simulation,N/A,0.0,3.00
DAIS,IFIP International Conference on Distributed Applications and Interoperable Systems,C,C,systems,N/A,0.0,3.00
DSM,Workshop on Domain Specific Modelling,C,C,simulation,N/A,0.0,3.00
ECCO,European Chapter on Combinatorial Optimization,C,C,optimization,N/A,0.0,3.00
ECMS,International Conference on Modelling and Simulation,C,C,simulation,N/A,0.0,3.00
EGPGV,Eurographics Symposium on Parallel Graphics and Visualization,C,C,systems,N/A,0.0,3.00
EJC,European-Japanese Conference on Information Modelling and Knowledge Bases,C,C,simulation,N/A,0.0,3.00
EMMSAD,Exploring Modelling Methods in Systems Analysis and Design,C,C,simulation,N/A,0.0,3.00
EMO,International Conference on Evolutionary Multi-Criterion Optimization,C,C,optimization,N/A,0.0,3.00
EOMAS,International Workshop on Enterprise and Organizational Modelling and Simulation,C,C,simulation,N/A,0.0,3.00
EURO,European Conference on Operations Research,C,C,optimization,N/A,0.0,3.00
GMP,Geometry Modeling and Processing,C,C,simulation,N/A,0.0,3.00
HLPP,International workshop on High-Level Parallel Programming and Applications,C,C,systems,N/A,0.0,3.00
HOTCHIPS (HCS),Symposium on High Performance Chips,C,C,systems,N/A,0.0,3.00
HPC Asia,International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,C,C,systems,N/A,0.0,3.00
HPSR,IEEE Workshop on High Performance Switching and Routing,C,C,systems,N/A,0.0,3.00
ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,C,C,systems,N/A,0.0,3.00
ICORES,International Conference on Operations Research and Enterprise Systems,C,C,optimization,N/A,0.0,3.00
ICOTA,International Conference on Optimization: Techniques And Applications,C,C,optimization,N/A,0.0,3.00
IES,Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on  Intelligent and Evolutionary Systems),C,C,optimization,N/A,0.0,3.00
INOC,International Network Optimization Conference,C,C,optimization,N/A,0.0,3.00
IPCCC,IEEE International Performance Computing and Communications Conference,C,C,systems,N/A,0.0,3.00
ISAGA,Conference for the International Simulation and Gaming Association,C,C,simulation,N/A,0.0,3.00
ISC,Industrial Simulation Conference,C,C,simulation,N/A,0.0,3.00
ISORC,IEEE International Symposium on Real-Time Distributed Computing,C,C,systems,N/A,0.0,3.00
ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,C,C,systems,N/A,0.0,3.00
ISPDC,International Symposium on Parallel and Distributed Computing,C,C,systems,N/A,0.0,3.00
IWCIA,International Workshop on Combinatorial Image Analysis: Theory and Applications,C,C,optimization,N/A,0.0,3.00
JSSPP,Workshop on Job Scheduling Strategies for Parallel Processing,C,C,systems,N/A,0.0,3.00
LAGOS,"Latin-American Algorithms, Graphs and Optimization Symposium",C,C,optimization,N/A,0.0,3.00
MABS,International Workshop on MultiAgent Based Simulation,C,C,simulation,N/A,0.0,3.00
MEDI,International Conference on Model and Data Engineering,C,C,simulation,N/A,0.0,3.00
MEMOCODE,International Conference on Formal Methods and Models for Co-Design,C,C,simulation,N/A,0.0,3.00
MISE,International Workshop on Modelling in Software Engineering,C,C,simulation,N/A,0.0,3.00
MODELSWARD,International Conference on Model-Driven Engineering and Software Development,C,C,simulation,N/A,0.0,3.00
NPC,IFIP International Conference on Network and Parallel Computing,C,C,systems,N/A,0.0,3.00
OP,SIAM Conference on Optimization,C,C,optimization,N/A,0.0,3.00
PDCAT,"International Conference on Parallel and Distributed Computing, Applications and Technologies",C,C,systems,N/A,0.0,3.00
PDP,"Euromicro International Conference on Parallel, Distributed and Network Based Processing",C,C,systems,N/A,0.0,3.00
SASHIMI,Simulation and Synthesis in Medical Imaging,C,C,simulation,N/A,0.0,3.00
SBAC-PAD,International Symposium on Computer Architecture and High Performance Computing,C,C,systems,N/A,0.0,3.00
SIMULTECH,"International Conference on Simulation and Modeling Methodologies, Technologies and Applications",C,C,simulation,N/A,0.0,3.00
SPM,ACM Symposium on Solid and Physical Modelling,C,C,simulation,N/A,0.0,3.00
SSS,"Symposium on Stabilization, Safety, and Security of Distributed Systems",C,C,systems,N/A,0.0,3.00
TAMC,Conference on Theory and Applications of Models of Computation,C,C,simulation,N/A,0.0,3.00
VEHITS,International Conference on Vehicle Technology and Intelligent Transport Systems,C,C,transport,N/A,0.0,3.00
WAW,Workshop on Algorithms And Models For The Web Graph,C,C,simulation,N/A,0.0,3.00
iEMSs,Intenational Environmental Modelling and Software Society,C,C,simulation,N/A,0.0,3.00
