S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,135,73,33.36,30.24,27.23,27.23,33.36,30.22,27.26,27.21,33.36,29.95,27.36,27.48,33.36,29.78,27.70,27.47,33.36,30.76,27.93,27.40
43,248,183,96,43,246,183,106,43,244,183,106,42,244,180,110,42,247,180,110,33.30,29.03,27.13,27.60,33.30,29.11,27.11,27.94,33.30,29.18,27.30,27.91,33.37,29.05,27.76,28.01,33.37,30.03,27.89,27.86
65,336,211,119,64,336,210,144,62,335,208,144,62,333,206,141,62,328,202,141,33.18,27.39,25.53,27.02,33.17,27.41,25.46,26.94,33.17,27.25,25.93,27.32,33.32,28.15,25.61,26.94,33.32,29.37,26.89,26.91
86,373,267,128,88,370,268,172,89,370,269,169,90,371,268,169,90,371,268,167,32.84,26.66,25.34,27.41,32.73,26.90,25.38,27.39,32.83,26.70,26.25,27.66,32.94,26.75,26.16,27.71,33.06,28.73,27.30,26.96
102,423,272,163,107,415,274,195,106,417,273,195,103,413,275,197,103,409,277,197,33.50,24.99,25.58,21.82,33.04,25.29,25.34,21.69,33.19,25.47,26.37,22.62,33.33,25.54,26.34,22.93,33.26,27.50,27.38,23.13
165,506,349,200,165,503,345,252,168,499,343,251,170,497,341,263,169,494,338,263,33.58,21.90,23.59,20.98,33.33,23.18,23.55,21.28,33.58,23.09,23.61,20.69,33.33,22.71,23.67,21.57,33.41,24.16,26.14,22.14
257,544,389,256,261,547,380,337,259,547,377,333,261,545,374,350,257,543,372,346,32.23,19.80,19.93,18.87,31.86,19.21,19.95,16.73,32.08,20.74,20.44,17.04,32.06,21.58,20.79,19.05,32.77,23.58,23.72,21.45
356,451,373,312,361,444,373,380,357,439,375,377,354,436,375,406,355,441,374,402,26.44,11.70,12.86,11.67,26.53,13.12,13.07,11.27,26.41,14.77,14.31,13.16,26.73,15.44,14.60,16.17,27.97,19.01,18.74,18.38
348,398,356,320,348,401,356,388,352,398,350,395,350,400,346,418,352,401,350,420,24.49,10.97,10.86,10.61,24.15,11.81,13.42,11.08,24.46,12.61,14.02,13.13,24.63,14.14,14.12,15.57,26.41,14.84,15.51,16.25
336,398,345,333,335,394,350,409,334,400,351,400,335,402,348,430,332,399,343,429,21.75,9.98,9.94,9.99,21.86,10.60,10.62,9.57,21.61,11.21,11.23,11.53,22.31,12.25,11.90,12.84,24.62,12.18,12.59,13.14
