Time,Observed_Flow,Erlang_Flow,Poisson_Flow,Erlang_AbsError,Poisson_AbsError
2025-11-04 06:00:00,439,429,444,10,5
2025-11-04 06:15:00,564,570,539,6,25
2025-11-04 06:30:00,742,731,802,11,60
2025-11-04 06:45:00,882,854,831,28,51
2025-11-04 07:00:00,971,960,956,11,15
2025-11-04 07:15:00,1203,1221,1164,18,39
2025-11-04 07:30:00,1462,1446,1406,16,56
2025-11-04 07:45:00,1510,1482,1502,28,8
2025-11-04 08:00:00,1441,1434,1483,7,42
2025-11-04 08:15:00,1393,1417,1410,24,17
2025-11-04 08:30:00,1367,1338,1308,29,59
2025-11-04 08:45:00,1303,1324,1338,21,35
2025-11-04 09:00:00,1220,1253,1256,33,36
2025-11-04 09:15:00,1063,1099,1104,36,41
2025-11-04 09:30:00,1037,1045,1059,8,22
2025-11-04 09:45:00,1086,1102,1094,16,8
2025-11-04 10:00:00,981,991,970,10,11
2025-11-04 10:15:00,1022,1030,1064,8,42
2025-11-04 10:30:00,1004,1003,1072,1,68
2025-11-04 10:45:00,1019,1032,974,13,45
2025-11-04 11:00:00,1016,989,1022,27,6
2025-11-04 11:15:00,1044,1046,1033,2,11
2025-11-04 11:30:00,1055,1034,1103,21,48
2025-11-04 11:45:00,1080,1091,1079,11,1
2025-11-04 12:00:00,1081,1082,1074,1,7
2025-11-04 12:15:00,1151,1167,1172,16,21
2025-11-04 12:30:00,1088,1126,1059,38,29
2025-11-04 12:45:00,1221,1223,1208,2,13
2025-11-04 13:00:00,1180,1165,1152,15,28
2025-11-04 13:15:00,1279,1299,1263,20,16
2025-11-04 13:30:00,1262,1293,1319,31,57
2025-11-04 13:45:00,1348,1322,1312,26,36
2025-11-04 14:00:00,1429,1397,1464,32,35
2025-11-04 14:15:00,1424,1402,1424,22,0
2025-11-04 14:30:00,1394,1376,1404,18,10
2025-11-04 14:45:00,1335,1342,1299,7,36
2025-11-04 15:00:00,1326,1331,1324,5,2
2025-11-04 15:15:00,1321,1276,1325,45,4
2025-11-04 15:30:00,1316,1338,1279,22,37
2025-11-04 15:45:00,1278,1252,1276,26,2
2025-11-04 16:00:00,1216,1236,1217,20,1
2025-11-04 16:15:00,1297,1312,1240,15,57
2025-11-04 16:30:00,1190,1219,1229,29,39
2025-11-04 16:45:00,1209,1225,1203,16,6
2025-11-04 17:00:00,1255,1236,1311,19,56
2025-11-04 17:15:00,1229,1300,1215,71,14
2025-11-04 17:30:00,1220,1205,1254,15,34
2025-11-04 17:45:00,1149,956,826,193,323
