S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,135,73,33.36,30.24,27.21,27.23,33.36,30.22,27.28,27.21,33.36,29.96,27.36,27.48,33.36,29.79,27.70,27.47,33.36,30.78,27.93,27.39
43,248,183,96,43,246,183,106,43,244,183,106,42,244,180,110,42,247,180,110,33.30,29.11,27.12,27.61,33.30,29.11,27.12,27.90,33.30,29.18,27.28,27.88,33.37,28.94,27.76,27.98,33.37,30.04,27.90,27.87
65,336,211,119,64,336,210,144,62,335,208,144,62,333,206,141,62,328,202,141,33.18,27.54,25.53,27.03,33.18,27.59,25.45,26.95,33.17,27.41,25.68,27.31,33.32,28.35,25.61,26.89,33.32,29.58,26.92,26.87
86,373,267,128,88,370,268,172,89,371,269,170,90,372,268,169,90,371,268,167,32.86,26.76,25.48,27.41,32.73,27.01,25.23,27.39,32.82,26.81,26.15,27.66,32.98,27.04,26.19,27.68,33.08,28.98,27.21,26.93
102,423,272,163,100,422,274,195,101,420,273,194,100,421,275,197,100,414,277,197,33.51,25.41,25.61,21.77,33.48,25.00,25.43,21.61,33.46,25.48,26.35,22.57,33.49,25.57,26.36,22.95,33.59,27.55,27.28,23.11
165,507,349,200,164,504,346,252,164,505,344,251,168,491,342,263,167,494,339,263,33.57,22.05,23.89,20.98,33.42,22.36,24.19,21.09,33.72,22.99,23.91,20.69,33.40,23.38,23.77,21.77,33.54,24.90,26.66,22.10
257,544,389,256,262,542,384,337,260,540,383,332,262,537,376,351,254,537,376,349,32.23,19.64,20.56,18.93,31.83,18.75,20.61,16.14,31.97,20.69,20.83,17.69,31.80,20.95,21.10,19.25,32.64,23.42,23.69,21.69
356,445,369,312,362,442,371,375,360,437,372,374,356,440,376,402,361,442,374,396,26.85,11.60,11.74,11.38,26.58,13.95,12.19,10.84,26.27,15.45,15.45,11.97,26.34,16.75,15.42,15.98,27.41,19.22,19.00,18.58
348,404,360,322,348,405,368,379,350,407,365,384,349,404,358,408,351,402,359,407,24.84,10.75,11.50,11.45,24.63,11.83,11.81,10.56,25.05,13.48,12.99,12.30,25.23,14.16,13.31,14.73,27.26,14.87,15.57,16.18
336,401,347,333,335,398,353,410,334,393,348,403,334,399,352,433,331,400,348,435,22.16,10.19,10.13,10.41,22.38,10.71,10.65,9.86,22.44,11.42,11.06,11.24,22.27,11.82,11.49,12.73,25.22,12.15,12.71,12.99
345,375,317,301,342,382,332,370,340,391,333,376,338,385,331,394,341,382,327,392,20.18,9.43,9.81,9.66,20.81,9.91,10.05,9.06,20.13,10.35,10.51,10.36,19.88,10.30,10.90,11.18,23.65,11.23,11.66,11.69
293,377,344,310,292,376,346,363,293,370,350,364,295,377,347,391,294,377,349,392,22.81,9.58,9.73,9.94,22.83,10.09,9.98,9.61,23.16,10.73,10.42,10.73,22.90,10.14,11.03,11.30,25.11,11.05,11.46,11.91
208,418,340,287,216,414,341,352,219,415,336,348,222,419,342,356,223,427,350,358,27.16,11.14,11.46,11.21,26.86,13.05,13.35,9.86,25.82,14.50,15.58,11.28,26.10,15.92,12.52,13.39,26.98,16.47,16.06,16.00
129,433,324,213,131,437,331,260,133,437,342,267,138,434,348,286,138,429,346,292,32.01,20.80,21.96,20.75,31.85,20.28,21.76,19.41,31.67,21.61,21.63,20.14,31.35,20.23,21.10,20.69,31.53,22.84,23.89,21.40
106,427,316,196,107,426,315,250,106,433,313,247,106,432,313,257,109,434,318,258,33.89,26.52,27.46,23.75,33.93,26.82,27.43,23.59,34.01,26.47,27.39,23.56,33.74,25.71,27.58,24.58,33.91,27.01,28.71,24.93
122,454,329,197,120,456,330,249,120,455,328,253,122,451,328,265,119,451,324,263,34.36,27.34,26.63,24.27,34.54,26.68,27.23,23.73,34.35,26.97,27.23,23.38,34.26,26.53,27.50,24.45,34.55,28.42,28.82,25.05
105,409,295,182,106,409,294,237,105,410,296,237,105,408,298,251,106,412,299,251,33.44,26.87,25.77,24.34,33.55,26.63,25.50,23.63,33.56,26.69,25.96,23.95,33.58,25.99,26.17,24.59,33.79,28.07,27.57,24.86
