S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
32,199,150,63,32,199,148,77,32,197,146,77,31,192,143,81,31,190,143,79,32.89,29.27,26.48,26.91,32.88,29.41,26.80,26.89,32.88,28.94,27.00,27.16,32.97,28.85,27.68,26.53,33.25,30.45,27.93,27.07
45,231,167,96,43,228,166,105,42,229,164,104,43,234,163,102,42,233,162,104,32.95,28.32,26.35,26.74,32.97,28.42,26.37,26.96,33.00,28.85,26.72,27.36,33.30,28.47,27.11,27.84,33.33,29.92,27.76,27.82
81,344,247,130,81,343,246,147,82,342,246,146,81,335,244,145,80,337,240,142,32.37,26.29,24.32,26.07,32.41,26.88,24.30,26.53,32.50,26.52,24.61,26.66,32.77,27.05,24.65,26.21,33.17,28.34,26.65,26.96
78,358,246,149,79,358,246,193,80,348,245,189,80,348,247,193,81,344,249,196,32.64,26.09,24.72,26.65,32.56,26.50,24.82,26.27,32.54,26.81,25.58,26.51,32.92,26.65,25.90,26.93,33.06,28.98,27.09,26.99
104,434,250,168,105,433,252,210,104,437,255,208,105,436,254,202,104,436,254,197,32.87,24.61,24.93,21.38,32.76,25.08,24.90,21.00,32.52,24.87,25.71,22.35,32.70,25.02,25.82,22.57,33.29,26.81,27.20,23.01
149,467,348,200,153,462,347,259,152,460,340,262,153,455,337,260,152,454,335,262,33.08,22.89,23.03,19.92,32.42,23.78,22.94,19.28,32.94,23.92,23.36,19.85,32.99,24.47,23.15,20.64,33.24,26.15,25.46,22.17
258,507,386,255,265,500,381,329,265,499,384,324,259,493,384,334,256,495,382,329,31.57,20.21,20.23,18.35,31.14,19.76,20.55,16.07,31.46,21.19,20.84,17.04,31.70,21.55,21.00,19.10,32.54,23.96,24.08,21.68
373,450,356,323,370,455,352,399,357,460,350,402,355,463,349,428,357,449,351,428,25.02,10.87,11.93,11.36,25.48,13.69,12.12,10.64,25.77,16.01,14.75,12.61,26.05,16.92,15.20,16.76,27.13,18.98,18.97,18.85
325,413,410,335,333,409,413,396,345,403,412,397,347,402,417,416,343,411,417,410,24.33,11.30,11.39,11.41,24.60,11.82,12.38,10.78,24.65,13.30,13.53,12.58,24.71,14.08,13.54,14.50,26.79,14.67,15.47,15.97
352,381,357,320,347,383,369,386,346,381,367,386,347,381,360,417,349,381,350,420,21.40,10.21,10.08,10.20,21.87,10.76,10.50,9.72,21.70,11.28,10.85,11.14,21.17,11.74,11.25,12.70,24.67,12.36,12.48,13.03
