S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
32,199,150,63,32,199,148,77,32,197,146,77,31,192,143,81,31,190,143,79,32.89,29.13,26.42,26.93,32.87,29.48,26.84,26.96,32.87,29.06,27.05,27.20,33.16,28.86,27.67,26.53,33.28,30.46,27.93,27.02
45,231,167,96,43,228,166,105,42,229,164,104,43,234,163,102,42,233,162,104,32.97,28.15,26.17,26.72,32.96,28.73,26.30,27.13,32.97,28.85,26.67,27.38,33.30,28.54,26.92,27.95,33.35,29.94,27.75,27.88
81,344,247,130,83,341,246,147,84,340,246,146,86,330,243,145,85,332,240,142,32.45,25.71,23.90,26.03,32.19,26.53,24.32,26.55,32.00,26.22,25.23,26.79,32.60,26.85,24.82,26.42,32.98,28.17,26.73,26.97
78,358,246,149,79,358,245,193,79,350,244,189,79,348,247,193,80,345,248,196,32.61,25.89,24.66,26.50,32.59,26.10,24.95,26.15,32.59,26.34,25.91,26.48,32.88,26.36,26.16,26.92,33.08,28.36,27.19,26.93
104,433,250,168,108,428,252,209,106,434,255,208,106,437,255,202,105,434,254,197,32.87,24.39,24.73,21.34,32.47,25.17,25.08,21.30,32.67,24.62,25.81,22.22,32.79,24.96,25.83,22.68,33.45,26.51,27.40,23.02
149,468,348,200,148,470,342,260,147,465,339,263,151,458,336,260,150,456,335,261,33.10,22.87,22.53,19.83,32.83,23.14,22.54,19.69,33.33,23.66,23.29,19.93,33.17,24.21,23.34,20.62,33.53,25.56,26.06,22.24
258,506,386,257,262,500,390,327,261,499,390,325,256,491,387,336,256,494,385,335,31.43,20.10,19.80,18.00,31.20,20.08,19.63,17.25,31.57,21.09,21.10,17.96,31.68,21.68,21.36,19.05,32.54,24.15,23.62,21.62
373,456,352,325,362,454,354,405,354,459,354,405,350,462,350,433,347,454,352,432,25.05,11.71,12.99,12.35,25.49,13.12,13.39,10.79,25.84,15.12,14.73,13.23,26.26,15.65,15.06,15.77,27.77,19.04,19.04,18.74
325,406,412,329,337,403,414,395,345,397,410,396,348,401,411,417,347,407,406,409,24.02,10.98,10.99,10.86,24.14,11.80,13.47,10.70,24.33,12.79,14.50,12.84,25.12,14.52,14.18,14.65,26.49,14.72,15.34,16.15
351,381,357,320,344,389,354,397,343,390,352,396,346,378,344,427,343,380,343,422,20.70,10.01,9.93,9.94,21.26,10.72,10.63,9.77,21.15,11.05,11.12,11.51,21.58,12.13,11.79,12.58,24.08,12.37,12.45,13.15
335,374,318,282,335,378,318,342,335,374,324,335,336,380,332,347,341,378,329,360,19.52,9.20,9.47,9.31,20.36,9.71,10.01,8.76,19.66,10.41,10.65,10.30,19.81,10.20,11.38,11.12,22.90,11.11,11.66,11.69
288,352,373,329,285,352,380,377,286,358,376,378,289,362,375,390,291,360,380,385,21.29,9.29,9.37,9.80,21.91,10.19,10.11,9.73,22.05,11.06,10.82,10.76,22.50,9.85,11.31,11.35,24.75,11.14,11.34,11.84
218,453,345,255,232,442,343,327,232,444,348,333,233,441,354,355,234,441,358,361,25.96,10.15,10.31,10.20,26.22,11.86,12.92,10.49,25.34,13.77,12.98,11.54,26.14,13.58,12.55,13.47,26.40,16.23,16.17,15.88
136,392,344,216,146,390,347,271,148,393,347,271,149,400,351,294,151,402,349,296,31.27,20.70,20.49,19.65,30.74,20.99,21.04,18.92,30.69,22.05,21.23,20.03,30.79,21.28,21.28,20.30,31.36,23.84,23.92,21.82
115,427,318,202,116,430,317,248,117,426,317,250,120,426,319,263,120,430,321,261,33.15,25.28,25.70,23.21,33.47,25.59,26.23,23.30,33.71,26.36,26.06,22.68,33.68,25.75,26.20,23.77,33.90,27.30,27.49,24.89
137,427,350,179,137,426,345,235,138,422,335,235,136,423,332,246,134,421,332,246,33.63,26.48,25.26,23.73,33.98,26.74,26.01,23.71,33.82,26.73,25.89,23.53,33.69,26.52,27.12,24.48,34.31,28.18,28.39,25.16
97,400,264,210,98,405,271,286,99,405,283,283,98,404,285,295,96,407,287,295,32.93,25.55,24.81,22.87,32.99,26.18,24.89,22.33,33.16,26.23,25.29,21.74,33.15,25.89,25.86,23.46,33.69,28.07,27.01,24.69
114,416,311,224,115,412,308,281,114,413,306,285,116,409,302,305,120,402,301,308,32.30,25.07,24.89,20.96,32.10,25.71,26.15,21.27,32.29,26.27,25.10,20.68,32.61,25.65,26.63,21.79,33.12,27.87,27.35,23.38
115,447,320,189,117,447,322,261,116,451,323,261,116,455,324,270,113,460,324,269,32.34,25.04,24.77,22.18,32.14,25.06,25.87,21.68,31.90,25.14,24.86,21.67,32.64,24.53,26.45,22.39,33.10,26.69,27.39,23.51
90,393,281,211,91,389,283,293,93,390,281,292,93,390,280,300,96,391,281,299,32.49,25.65,26.01,21.76,32.19,26.20,27.07,22.12,32.30,26.47,26.49,21.42,32.84,25.87,27.30,22.48,33.14,27.65,28.42,23.63
86,413,312,210,85,416,309,262,85,415,311,263,87,413,310,276,87,413,308,273,32.61,25.78,25.57,21.93,32.50,26.24,27.12,22.26,32.53,26.29,26.47,21.38,32.89,26.08,27.23,22.73,33.07,28.10,28.12,23.95
125,415,309,184,129,410,310,250,128,407,308,250,123,404,309,265,122,404,308,270,32.22,25.30,24.77,22.58,32.10,26.20,26.07,22.32,32.27,26.21,25.49,22.34,32.70,25.84,26.63,23.40,33.23,28.19,27.74,24.29
117,431,337,218,117,433,335,288,118,433,338,291,122,436,337,306,121,434,335,304,32.45,25.45,23.76,22.03,32.36,25.78,23.93,22.12,32.38,25.49,24.11,21.00,32.81,25.15,25.28,22.25,33.01,27.32,26.21,23.85
98,439,341,199,98,436,342,250,98,440,340,246,99,441,343,273,99,445,345,275,32.64,24.70,24.50,22.00,32.51,24.90,25.49,22.11,32.59,25.19,24.75,21.74,33.07,25.14,25.94,23.03,33.02,26.17,26.88,24.11
