S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
32,199,150,63,32,199,148,77,32,197,146,77,31,192,143,81,31,190,143,79,32.89,29.19,26.14,26.96,32.87,29.44,26.65,26.89,32.87,28.96,26.92,27.24,32.97,28.87,27.69,27.15,33.24,30.42,27.93,27.15
45,231,167,96,43,228,166,105,42,229,164,104,43,234,163,102,42,233,162,104,32.97,28.28,25.98,26.74,32.96,28.55,26.33,27.21,33.00,28.45,26.47,27.00,33.30,28.12,27.00,27.62,33.33,29.98,27.76,27.71
81,344,247,130,81,343,246,147,82,342,246,146,81,335,243,145,80,337,240,142,32.49,25.86,24.01,25.89,32.42,26.34,24.20,26.63,32.51,26.71,25.02,26.76,32.58,25.91,24.75,26.46,33.12,28.37,26.84,27.00
78,358,246,149,80,356,246,193,80,350,245,189,81,345,248,193,82,342,249,196,32.64,25.93,24.50,26.64,32.50,26.22,24.77,26.28,32.54,26.84,25.44,26.40,32.74,26.29,25.75,26.97,32.98,28.38,27.12,26.93
104,434,250,168,105,433,252,210,103,435,255,208,105,438,254,202,105,434,254,198,32.87,24.49,24.64,21.54,32.74,24.70,24.90,21.09,33.24,25.07,25.67,22.40,33.16,25.07,25.84,22.64,33.28,26.70,27.30,23.02
149,467,348,200,148,470,340,259,148,467,337,264,150,461,335,262,148,459,333,261,33.11,23.09,22.58,19.90,33.43,23.38,23.10,19.46,33.46,23.69,23.72,20.19,33.36,23.82,23.32,21.34,33.78,25.25,25.79,22.12
258,506,386,257,261,501,387,329,259,500,387,321,253,491,388,334,254,496,387,331,31.41,20.02,19.81,18.14,31.28,20.14,19.87,17.31,31.48,20.97,20.99,17.81,31.57,21.16,21.03,19.36,32.80,23.78,23.77,21.53
373,456,354,325,369,452,354,404,362,457,353,405,352,462,351,436,348,453,351,438,25.14,11.80,13.17,12.73,25.27,12.69,13.70,10.84,25.49,15.60,14.45,13.44,26.56,15.19,14.79,16.53,27.84,18.95,19.01,18.82
325,405,411,330,333,407,417,396,340,404,413,400,350,401,412,415,347,407,410,407,24.16,11.07,10.94,10.70,24.50,11.60,12.42,10.60,24.39,13.33,14.60,13.22,25.33,14.38,14.16,15.55,26.51,14.52,15.38,15.99
351,384,358,322,348,384,358,393,346,378,359,393,347,381,351,418,345,379,348,420,20.84,9.96,9.81,9.92,21.27,10.65,10.63,9.66,21.60,11.13,11.03,11.43,21.73,11.73,11.52,12.71,24.28,12.33,12.45,13.07
335,376,323,282,334,375,320,355,336,376,319,346,334,378,329,353,340,377,329,354,19.57,9.19,9.47,9.20,20.15,9.71,9.96,9.12,20.01,9.99,10.60,10.34,19.93,10.36,11.11,11.28,23.11,11.15,11.56,11.64
288,353,369,325,287,352,377,368,287,355,381,375,290,358,376,395,292,362,376,391,21.43,9.23,9.37,9.69,21.99,9.99,9.93,9.67,21.85,10.89,10.93,10.66,22.47,10.59,11.24,11.16,24.59,11.00,11.31,11.84
218,448,342,256,227,449,336,331,227,453,335,330,226,451,339,358,227,448,344,367,25.77,10.72,10.52,10.03,26.36,11.59,12.29,10.51,25.12,13.37,13.01,11.58,26.13,13.61,12.40,13.14,27.09,16.23,16.36,15.77
136,393,344,216,144,388,344,272,147,390,347,275,148,397,350,297,150,400,351,300,31.29,20.72,20.57,19.59,30.58,21.16,21.30,18.83,30.39,21.98,21.32,19.71,30.66,21.01,21.42,20.67,31.15,23.76,23.82,21.85
115,426,318,202,116,430,318,248,117,425,318,250,120,425,323,262,120,427,325,260,33.14,25.16,25.90,23.30,33.58,25.67,26.48,23.20,33.68,26.22,25.74,22.49,33.64,25.71,26.30,23.33,34.00,27.77,27.56,24.59
137,427,351,179,137,425,344,235,137,423,336,235,135,424,332,247,133,423,331,246,33.46,26.45,25.37,23.76,34.03,26.63,25.98,23.41,33.67,26.59,26.07,23.37,34.06,26.75,26.59,24.42,34.42,28.42,28.36,25.19
97,400,263,210,97,407,272,286,98,406,282,283,100,402,286,293,98,404,288,294,33.07,25.80,24.73,22.98,32.91,26.13,25.12,22.57,33.27,26.29,24.84,22.01,33.20,25.93,25.61,23.00,33.44,27.81,27.19,24.62
114,416,311,224,113,414,309,281,113,415,306,285,114,410,302,305,118,406,301,308,32.37,25.23,24.95,21.10,32.14,25.69,26.20,21.13,32.39,25.83,24.86,20.83,32.55,25.94,26.54,21.45,33.11,27.60,27.50,23.39
115,447,320,189,119,444,321,261,117,449,323,261,118,452,325,270,115,455,325,269,32.31,25.20,24.78,22.16,31.96,25.21,26.21,21.92,31.97,25.17,25.18,21.70,32.57,24.77,26.06,22.60,32.99,26.88,27.20,23.58
