S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,134,73,33.44,30.31,27.36,27.56,33.44,30.68,27.82,27.50,33.44,30.73,27.52,27.40,33.44,30.76,27.46,27.48,33.44,30.51,27.63,27.49
43,248,183,96,43,245,183,106,43,244,183,106,42,244,179,110,42,246,179,109,33.42,29.91,27.26,27.91,33.45,29.94,27.77,28.07,33.45,29.96,27.33,27.97,33.45,30.03,27.28,27.90,33.45,30.00,27.55,27.83
65,335,211,119,64,337,210,144,63,336,207,144,62,333,206,140,62,330,204,142,33.40,29.50,26.88,27.36,33.40,29.51,26.07,27.44,33.40,29.49,26.79,27.29,33.40,29.53,26.32,27.18,33.40,29.53,26.91,27.12
86,373,267,128,87,372,268,172,87,372,270,169,89,374,269,170,89,371,267,166,32.94,29.41,27.12,27.50,33.13,29.41,26.99,27.80,33.17,29.38,26.69,27.57,33.20,29.29,26.25,27.52,33.21,29.36,27.12,27.41
102,424,272,162,100,422,274,195,100,423,273,195,99,423,275,196,99,422,278,198,33.67,29.13,27.18,22.80,33.70,28.95,27.17,22.77,33.70,28.77,26.54,22.88,33.76,28.53,26.17,23.40,33.75,28.71,27.15,23.40
165,513,349,200,165,509,346,252,164,507,344,251,163,501,341,264,162,501,339,262,33.99,27.39,26.62,22.54,33.95,26.71,25.04,22.14,33.95,26.60,26.33,21.49,34.00,25.97,25.21,22.37,33.98,26.64,26.63,22.04
260,544,389,257,255,544,388,336,255,542,387,336,254,544,386,356,250,541,385,350,33.23,23.50,23.73,21.13,33.13,22.39,23.32,21.32,32.92,23.63,23.66,20.12,33.09,23.05,23.59,21.46,33.24,24.30,24.18,21.50
352,451,381,314,355,450,380,387,352,449,381,387,349,444,381,411,348,446,379,413,27.98,14.66,16.77,17.14,28.71,14.65,16.02,17.46,28.81,15.46,16.98,16.96,27.80,15.61,17.13,17.59,28.96,16.41,17.95,18.03
348,405,356,331,348,404,355,397,349,399,352,394,349,400,348,425,352,398,347,421,26.37,11.21,12.73,13.89,26.45,11.10,13.01,14.84,26.60,11.56,13.01,14.18,26.19,11.89,13.05,14.86,26.79,12.54,13.96,15.40
337,398,346,332,336,394,344,417,335,397,341,414,335,395,340,438,334,394,336,441,25.14,7.83,9.59,10.80,23.76,8.55,10.02,11.95,24.29,9.10,10.23,11.67,24.03,8.67,10.48,11.54,24.75,10.03,11.19,12.34
345,378,320,303,351,377,320,382,350,373,321,382,347,368,320,405,348,366,321,405,22.86,6.38,10.05,10.24,22.44,8.65,9.85,10.96,23.32,8.76,10.20,10.71,23.02,9.10,10.12,10.55,23.45,9.75,10.82,11.32
293,373,344,313,290,368,345,372,291,371,343,372,294,375,343,393,294,378,343,393,24.13,7.41,9.00,10.46,23.97,5.18,9.09,11.29,24.38,7.21,9.34,10.81,24.18,8.90,9.35,10.70,24.63,9.61,10.16,11.41
208,422,343,278,211,431,342,345,214,434,349,348,216,440,351,360,218,446,355,364,28.07,13.94,14.61,15.35,27.90,13.19,14.40,15.41,27.22,14.19,14.52,15.23,27.11,13.86,13.87,14.95,27.55,14.37,15.04,15.50
129,420,311,207,130,424,316,256,132,427,319,260,132,429,324,280,133,428,326,284,32.35,25.69,24.67,22.22,32.21,23.13,23.12,22.00,31.93,24.30,23.55,21.80,31.98,23.42,22.76,21.71,31.97,24.67,23.68,21.70
106,427,316,196,107,427,314,250,105,428,313,249,107,429,315,258,107,429,318,257,34.12,29.09,27.99,25.53,34.08,29.59,28.64,24.75,34.08,29.71,28.69,24.74,34.04,29.42,27.86,24.99,34.03,29.30,28.66,25.24
122,454,329,197,120,456,332,248,121,454,331,252,122,454,329,265,120,455,324,262,34.61,30.70,27.99,25.71,34.56,30.16,28.71,25.06,34.56,30.19,28.76,24.78,34.56,30.63,28.06,24.78,34.56,29.66,28.96,25.25
105,409,296,181,106,408,292,238,105,410,292,237,105,410,296,251,105,410,299,252,33.77,30.02,26.62,24.95,33.80,29.77,26.99,24.84,33.82,29.81,26.68,24.72,33.89,29.73,26.42,25.01,33.90,29.65,27.34,25.14
106,425,296,203,105,425,299,257,106,423,299,254,105,426,298,261,107,424,299,261,33.44,29.33,27.91,23.45,33.44,29.34,27.77,23.38,33.46,29.33,26.70,23.33,33.47,29.15,26.65,23.73,33.49,29.29,27.28,23.82
105,408,313,177,105,407,313,236,105,408,314,239,105,406,312,252,105,408,313,252,33.36,29.49,28.22,23.81,33.40,29.54,28.09,23.82,33.42,29.53,27.71,23.71,33.42,29.47,26.84,23.96,33.42,29.51,27.66,23.59
95,416,324,197,96,417,325,267,97,420,326,263,97,418,327,273,95,418,326,275,33.33,29.91,27.76,24.44,33.39,29.65,28.25,23.79,33.40,29.68,28.07,23.53,33.40,29.50,27.04,23.75,33.40,29.66,28.02,23.67
78,409,304,198,78,407,303,244,77,407,301,249,78,408,300,259,80,407,303,258,33.33,29.46,28.28,24.47,33.34,29.45,28.19,23.83,33.36,29.40,27.91,23.31,33.37,29.33,27.03,24.00,33.37,29.42,27.87,24.01
108,435,300,204,108,435,301,273,107,434,302,270,107,435,300,288,107,438,295,285,33.47,29.80,28.07,24.70,33.47,29.52,28.03,24.16,33.46,29.47,27.05,23.80,33.52,29.12,27.03,24.25,33.52,29.32,27.66,24.09
110,434,309,179,111,434,307,243,111,435,304,243,109,435,305,251,109,430,307,256,33.37,29.52,26.72,24.71,33.39,29.50,26.96,24.22,33.41,29.46,26.59,23.91,33.43,29.28,26.36,24.36,33.43,29.44,26.91,24.06
103,469,334,186,101,471,333,237,102,468,334,236,103,465,335,254,102,467,336,250,32.96,29.17,27.84,24.80,33.25,29.15,27.64,24.23,33.31,29.15,26.51,23.92,33.34,28.73,26.43,24.36,33.34,28.95,27.11,24.08
109,441,335,199,110,440,334,261,110,439,334,262,110,441,335,285,110,439,331,286,33.40,29.42,26.75,24.55,33.47,29.40,26.10,24.43,33.46,29.36,26.38,24.21,33.47,29.27,25.73,24.66,33.47,29.35,27.10,24.44
109,461,371,225,109,461,372,278,108,462,371,277,109,462,371,297,110,464,373,297,33.31,29.14,26.27,24.24,33.34,29.18,26.16,24.05,33.36,29.14,26.24,23.80,33.42,28.73,25.80,24.36,33.43,28.96,26.49,24.17
126,460,334,205,125,459,338,262,126,462,338,264,126,464,337,276,126,463,338,279,32.97,29.63,27.86,25.71,33.21,29.67,28.38,24.97,33.27,29.71,28.16,24.88,33.31,29.39,27.40,25.02,33.31,29.33,28.30,25.41
150,474,357,242,150,474,354,304,150,471,357,303,147,468,356,318,147,468,357,314,32.51,27.67,26.39,25.72,32.78,28.30,26.35,24.78,32.85,28.28,26.46,24.80,32.92,27.25,26.07,24.65,32.95,27.91,26.76,25.18
