S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,134,73,33.44,30.89,27.89,27.57,33.44,30.77,27.86,27.52,33.44,30.84,27.64,27.45,33.44,30.90,27.66,27.50,33.44,30.73,27.82,27.53
43,248,183,96,43,245,183,106,43,244,183,106,42,244,179,110,42,246,179,109,33.44,29.75,27.86,28.10,33.43,29.79,27.81,28.08,33.43,30.06,27.57,28.00,33.45,30.13,27.59,27.95,33.45,30.12,27.79,27.93
64,335,210,119,64,336,209,144,62,335,207,143,62,333,205,140,62,329,204,142,33.40,29.36,26.71,27.31,33.40,29.34,26.41,27.42,33.40,29.70,26.86,27.43,33.40,29.73,26.72,27.35,33.40,29.78,27.03,27.21
87,373,268,128,87,372,269,172,88,373,270,171,89,374,270,170,89,371,267,166,33.17,29.32,27.40,27.80,33.16,29.22,27.12,27.81,33.20,29.62,26.97,27.64,33.21,29.59,26.84,27.63,33.22,29.63,27.32,27.50
102,424,272,162,100,422,274,195,100,423,273,194,99,422,275,196,99,422,277,198,33.73,29.01,27.45,23.32,33.70,28.82,27.22,22.92,33.71,29.13,26.99,23.18,33.73,28.62,26.90,23.40,33.71,28.99,27.36,23.50
165,513,349,200,164,511,346,252,164,507,343,250,162,500,340,262,162,502,338,262,33.81,28.22,26.45,22.45,33.78,27.59,25.69,22.26,34.01,26.70,26.48,22.25,34.08,26.23,26.05,22.48,34.04,26.63,26.82,22.36
259,544,389,257,256,543,388,336,254,542,388,337,254,546,387,358,250,541,387,349,33.42,24.76,25.06,21.96,33.19,23.66,23.97,21.53,33.15,24.52,24.77,21.31,33.30,23.94,24.45,21.21,33.39,24.77,25.00,21.60
353,451,381,313,355,449,380,386,353,449,381,387,350,444,382,410,349,446,378,414,29.30,17.16,18.04,18.04,29.05,16.43,17.43,17.85,29.19,17.63,18.38,17.64,28.93,16.80,18.05,17.92,29.29,18.07,18.99,18.49
348,405,356,332,348,405,355,398,350,400,351,394,349,401,347,426,351,398,348,420,27.75,13.00,14.03,14.74,27.46,12.27,13.92,14.92,27.10,12.97,14.02,14.87,27.19,13.35,14.40,15.23,27.36,13.86,14.76,15.75
336,398,346,332,334,395,345,417,333,397,341,414,334,396,339,439,332,397,339,442,25.19,10.39,10.77,11.48,24.77,10.49,10.95,12.10,25.13,10.49,10.88,11.95,24.97,11.02,11.21,11.99,25.43,11.21,11.80,12.66
346,378,320,303,352,377,319,381,350,378,322,381,347,376,321,405,349,371,319,405,23.70,9.27,10.28,10.25,23.18,9.37,10.67,11.18,24.03,9.49,10.19,10.73,23.60,9.60,10.72,10.83,24.15,10.16,11.10,11.36
293,373,344,313,290,374,345,373,291,371,343,373,294,374,343,392,294,375,342,393,24.91,9.45,9.88,10.84,24.70,9.46,10.00,11.44,24.93,9.57,9.84,10.98,24.76,9.72,10.17,11.10,25.10,10.12,10.66,11.66
207,422,343,278,211,425,342,345,214,429,349,348,216,432,351,359,217,442,355,364,27.97,16.12,16.11,16.37,27.94,15.52,15.22,15.60,27.75,15.89,15.84,15.81,27.66,14.95,15.20,15.25,27.86,15.66,15.76,15.87
130,420,311,207,130,423,316,256,132,427,319,260,132,428,324,281,134,427,326,284,32.38,25.61,24.67,22.73,32.22,24.20,24.04,22.29,32.05,25.10,24.34,22.32,32.05,24.26,23.61,21.92,32.02,25.24,24.12,21.90
106,427,316,195,106,428,314,249,105,428,313,249,107,430,315,257,107,430,319,255,34.04,30.43,29.16,25.33,34.01,29.87,28.93,25.05,34.12,30.12,29.00,25.05,34.10,30.01,28.68,24.54,34.07,29.86,28.93,25.23
122,454,329,198,121,455,332,249,121,454,331,251,122,453,328,265,120,455,324,263,34.68,31.25,29.20,25.53,34.63,29.77,29.00,25.38,34.62,30.43,29.07,25.28,34.66,30.98,28.93,24.96,34.63,30.39,29.13,25.26
105,409,295,181,105,408,293,238,105,410,292,238,104,411,297,252,105,410,297,253,33.81,30.49,27.60,25.30,33.78,30.14,27.47,25.08,33.83,30.21,27.21,25.07,33.87,30.35,27.19,24.96,33.88,30.13,27.62,25.00
106,425,296,203,106,425,298,256,106,422,299,253,106,425,298,261,107,423,299,261,33.44,29.41,27.70,24.14,33.42,29.26,27.46,23.77,33.44,29.69,27.38,23.71,33.47,29.44,27.47,23.81,33.48,29.52,27.79,23.66
105,407,313,177,105,408,313,237,105,409,314,240,105,407,312,252,105,409,314,253,33.39,29.50,28.04,24.24,33.36,29.37,27.94,24.06,33.37,29.77,28.04,24.02,33.43,29.70,27.79,23.95,33.43,29.59,28.12,23.86
95,417,325,197,96,417,325,267,97,420,326,263,97,418,327,273,95,418,326,273,33.37,30.34,28.93,24.28,33.38,29.96,28.73,24.14,33.40,30.06,28.55,24.13,33.40,29.99,28.03,23.94,33.40,29.82,28.38,23.97
78,409,304,198,78,407,303,244,77,407,301,248,78,408,300,258,80,407,302,259,33.36,30.11,28.72,24.28,33.32,29.72,28.51,24.12,33.38,29.66,28.26,24.23,33.37,29.75,27.73,24.16,33.38,29.53,28.03,24.16
108,435,299,203,108,435,300,273,107,434,302,271,107,435,300,288,107,438,296,285,33.51,30.22,27.95,24.59,33.47,29.78,27.97,24.42,33.47,29.80,27.81,24.36,33.52,29.77,27.88,24.16,33.52,29.23,28.11,24.23
110,434,310,180,111,434,308,243,111,434,304,243,109,435,306,252,109,431,307,255,33.39,30.16,27.83,24.57,33.34,29.76,27.59,24.38,33.37,29.86,27.30,24.37,33.40,29.85,27.39,24.28,33.40,29.83,27.51,24.11
103,469,333,186,101,470,332,237,102,469,333,236,103,465,333,253,102,463,335,251,33.30,29.41,27.66,24.60,33.31,29.11,27.35,24.47,33.34,29.49,27.22,24.37,33.34,29.15,27.28,24.37,33.34,29.00,27.48,24.07
109,441,336,199,109,441,336,261,110,439,336,261,110,438,337,285,110,442,331,286,33.44,30.01,27.38,25.13,33.40,29.66,26.91,24.66,33.42,29.70,26.77,24.47,33.47,29.69,26.62,24.44,33.47,29.40,27.34,24.48
109,460,370,225,110,461,371,278,108,462,371,278,108,465,371,298,110,464,374,296,33.36,29.28,27.63,24.87,33.27,29.05,27.23,24.44,33.30,29.52,26.88,24.14,33.36,29.00,26.88,24.04,33.38,29.08,27.13,24.40
126,461,335,205,125,459,338,261,126,462,339,263,127,464,336,276,126,463,338,280,33.27,30.28,29.05,25.55,33.26,29.82,28.84,25.23,33.29,30.03,28.85,25.30,33.31,29.94,28.44,25.02,33.31,29.68,28.56,25.48
150,474,356,242,150,474,354,305,150,471,355,304,147,468,357,317,147,468,357,312,32.93,29.03,27.77,25.52,32.92,28.62,27.42,25.20,32.94,28.70,27.04,25.34,32.91,28.06,26.98,24.56,32.96,28.45,27.29,25.18
