S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,134,73,33.44,30.26,27.34,27.56,33.44,30.62,27.70,27.52,33.44,30.70,27.56,27.34,33.44,30.72,27.42,27.43,33.44,30.52,27.72,27.52
43,248,183,96,43,245,183,106,43,244,183,106,42,244,179,110,42,246,179,109,33.42,29.90,27.18,27.91,33.45,29.89,27.65,28.04,33.45,29.94,27.40,27.99,33.45,29.99,27.24,27.90,33.45,29.96,27.75,27.93
65,335,211,119,64,337,210,144,63,336,207,144,62,333,206,140,62,330,204,142,33.40,29.62,26.88,27.36,33.40,29.45,26.00,27.38,33.40,29.44,26.72,27.34,33.40,29.51,26.30,27.24,33.40,29.51,26.91,27.31
86,373,267,128,87,372,268,172,87,372,270,169,89,373,269,169,89,371,267,166,32.93,29.50,27.11,27.39,33.11,29.31,26.87,27.79,33.16,29.34,26.53,27.57,33.19,29.31,26.06,27.53,33.21,29.30,27.22,27.56
102,424,272,162,100,422,274,195,100,423,273,195,99,423,275,197,99,422,277,198,33.69,29.06,27.16,22.71,33.69,28.60,27.08,22.68,33.68,28.46,26.35,22.97,33.75,27.72,25.97,23.32,33.75,28.37,27.28,23.44
165,513,349,200,165,509,346,252,164,506,344,251,163,501,340,264,162,499,339,262,33.96,27.22,26.53,22.51,33.95,26.54,24.86,22.07,33.95,26.26,26.02,22.05,33.98,25.38,25.21,22.47,33.96,26.54,26.53,22.23
260,544,389,257,255,544,388,336,255,543,387,336,254,540,387,356,249,541,385,351,33.23,23.04,23.88,21.04,33.12,21.41,22.97,21.18,32.85,22.50,23.25,21.14,33.01,22.58,23.37,21.19,33.23,23.58,24.15,21.54
352,446,381,313,364,435,380,387,361,432,381,387,358,434,379,410,359,433,378,412,27.98,9.79,16.28,17.02,28.05,12.72,13.83,17.06,28.25,15.63,16.24,16.46,27.38,15.81,15.77,16.81,28.53,17.80,17.65,18.02
348,391,355,330,351,391,345,397,352,396,341,393,352,389,340,422,354,390,339,418,26.44,5.71,7.42,11.30,26.01,11.43,10.90,14.10,26.54,12.08,11.90,13.87,25.96,12.27,12.79,14.20,26.54,14.12,14.18,15.45
337,390,334,333,342,387,342,414,341,380,340,412,341,384,328,437,340,376,322,439,25.22,5.25,5.95,6.27,23.17,10.83,9.89,11.76,23.73,10.92,10.09,11.45,23.72,10.94,10.62,11.74,24.38,12.29,12.02,12.86
345,386,326,302,353,370,324,383,352,371,318,380,349,375,323,402,350,382,330,402,23.07,5.15,5.26,5.23,22.09,9.47,8.92,10.87,23.23,9.60,10.01,10.43,22.70,9.79,10.14,10.58,23.38,11.01,11.39,11.61
293,358,341,312,290,369,340,372,291,373,348,376,294,373,349,400,294,364,349,395,24.20,4.95,4.85,6.06,23.87,9.45,9.85,11.06,24.13,9.72,9.90,10.82,23.93,9.75,9.90,10.46,24.59,10.98,11.18,11.72
