S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,134,73,33.44,30.26,27.34,27.56,33.44,30.62,27.70,27.52,33.44,30.70,27.56,27.34,33.44,30.72,27.42,27.42,33.44,30.52,27.72,27.52
43,248,183,96,43,245,183,106,43,244,183,106,42,244,179,110,42,246,179,109,33.42,29.90,27.18,27.91,33.45,29.89,27.65,28.04,33.45,29.94,27.40,27.99,33.45,29.99,27.24,27.90,33.45,29.96,27.75,27.93
65,335,211,119,64,337,210,144,63,336,207,144,62,333,206,140,62,330,204,142,33.40,29.62,26.88,27.36,33.40,29.45,26.00,27.38,33.40,29.44,26.72,27.34,33.40,29.51,26.30,27.24,33.40,29.51,26.91,27.31
86,373,267,128,87,372,268,172,87,372,270,169,89,373,269,169,89,371,267,166,32.93,29.50,27.11,27.39,33.11,29.31,26.87,27.79,33.16,29.33,26.52,27.57,33.19,29.31,26.06,27.53,33.21,29.31,27.22,27.56
102,424,272,162,100,422,274,195,100,423,273,195,99,423,275,197,99,422,277,198,33.69,29.06,27.16,22.70,33.69,28.60,27.08,22.68,33.68,28.46,26.33,22.97,33.75,27.72,25.98,23.32,33.75,28.40,27.27,23.44
165,513,349,200,165,509,346,252,164,506,344,251,163,501,340,264,162,499,339,262,33.96,27.20,26.53,22.52,33.95,26.53,24.86,22.07,33.95,26.24,26.02,22.05,33.98,25.40,25.21,22.47,33.96,26.53,26.54,22.23
260,544,389,257,255,544,388,336,255,543,387,336,254,540,387,356,249,541,385,351,33.23,23.06,23.88,21.04,33.12,21.37,22.97,21.17,32.85,22.56,23.24,21.14,33.01,22.45,23.37,21.19,33.23,23.29,24.15,21.54
352,445,381,313,360,439,380,387,357,437,381,387,354,438,379,410,355,436,378,412,27.99,9.86,16.33,17.01,28.20,12.60,13.78,17.08,28.38,15.44,16.05,16.49,27.44,15.65,15.82,16.82,28.67,17.89,17.70,18.03
348,388,355,330,351,388,341,397,352,392,335,393,352,395,333,420,354,391,333,417,26.43,5.39,7.42,11.24,26.05,12.39,11.31,14.08,26.55,12.89,11.78,13.77,26.00,12.60,12.80,14.39,26.60,14.24,14.11,15.52
337,402,331,332,337,400,337,415,336,388,337,412,335,383,329,439,334,389,322,439,25.23,5.29,5.76,6.14,23.34,10.76,10.18,11.73,23.97,10.94,10.25,11.62,24.05,10.95,10.68,12.03,24.70,12.33,12.21,12.97
345,358,324,299,349,355,314,379,348,357,319,381,346,357,329,404,347,357,332,404,23.07,5.05,4.96,5.34,22.22,9.49,9.84,10.83,23.39,9.62,10.05,10.45,22.80,9.90,10.20,10.46,23.58,11.04,11.41,11.60
293,399,336,316,290,411,342,376,291,417,341,376,294,404,341,399,294,389,342,395,24.20,4.98,4.86,5.87,23.87,9.43,9.98,10.99,24.13,9.75,10.16,10.53,23.92,9.75,10.19,10.35,24.59,10.96,11.31,11.69
208,433,362,281,220,422,363,346,223,425,362,349,225,443,362,359,227,457,365,368,28.10,10.43,13.50,14.38,27.46,10.84,12.88,14.85,26.77,13.07,14.24,14.89,26.69,12.91,13.42,14.44,26.96,14.49,15.23,15.49
129,422,312,207,130,426,316,256,132,427,322,259,132,430,324,281,133,432,326,285,32.37,25.62,24.62,22.13,32.18,22.51,22.62,21.90,31.83,23.84,23.08,21.88,31.95,22.80,22.61,21.53,31.98,24.27,23.53,21.68
106,427,316,196,107,427,314,250,105,428,313,249,107,428,315,258,107,430,318,257,34.10,29.16,28.02,25.52,34.10,29.32,28.43,24.70,34.10,29.47,28.60,24.95,34.04,29.25,27.76,24.94,34.03,29.14,28.63,25.21
122,454,329,197,120,456,332,248,121,454,331,252,122,455,327,265,120,455,324,261,34.61,30.76,27.93,25.74,34.57,29.90,28.44,25.02,34.57,30.07,28.24,25.29,34.59,30.22,27.75,25.13,34.59,29.68,28.70,25.45
105,409,296,181,106,407,292,238,105,410,292,237,105,410,298,251,105,410,298,253,33.81,29.83,26.42,25.00,33.81,29.75,26.44,24.85,33.81,29.77,26.90,25.05,33.89,29.76,26.24,24.98,33.90,29.43,27.44,25.22
106,425,296,203,105,426,299,257,106,423,299,254,105,426,298,261,107,424,300,262,33.44,29.29,27.87,23.34,33.44,29.13,27.70,23.27,33.45,29.18,26.67,23.87,33.47,29.03,26.64,23.68,33.48,29.11,27.23,23.92
