S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
32,199,150,63,32,199,148,77,32,197,146,77,31,192,143,81,31,190,142,79,33.24,30.02,27.16,27.36,33.36,30.29,27.35,27.38,33.40,30.35,27.17,27.33,33.44,30.39,27.02,27.15,33.44,30.16,27.33,27.27
45,231,167,96,43,228,166,105,42,229,164,104,43,233,163,102,42,233,162,104,33.31,29.45,27.14,27.52,33.44,29.50,27.15,27.80,33.45,29.45,27.10,27.61,33.45,29.61,26.89,27.54,33.45,29.62,27.20,27.65
81,345,247,130,82,343,247,147,82,341,245,146,82,336,243,145,81,337,241,142,33.06,28.91,26.37,26.99,33.15,28.92,24.97,27.02,33.19,28.79,26.07,27.09,33.32,28.76,25.47,26.84,33.35,28.97,26.46,27.06
78,357,246,149,78,358,245,192,79,356,246,189,78,354,248,193,79,348,248,195,32.75,28.98,26.58,27.27,32.97,29.01,26.37,27.21,33.08,28.98,26.50,26.91,33.16,28.79,26.02,26.59,33.17,29.02,26.90,27.08
104,435,249,168,105,435,252,211,103,437,255,211,103,433,254,202,102,436,254,199,33.33,28.67,26.61,22.50,33.50,28.50,26.29,22.59,33.55,28.39,26.49,22.52,33.69,27.95,25.98,23.17,33.69,28.32,26.91,23.21
149,468,349,200,147,466,347,259,146,464,345,260,147,469,338,260,145,464,335,261,33.82,27.12,25.79,21.91,33.45,26.53,24.68,21.65,33.55,26.72,25.82,21.36,33.75,26.09,24.98,22.10,33.72,26.89,26.27,21.72
258,512,387,257,259,509,385,335,260,506,383,329,250,499,388,338,253,497,389,339,33.00,23.46,23.13,20.76,32.54,22.83,22.87,20.91,32.45,23.70,23.48,20.62,32.76,23.46,23.41,21.51,32.88,24.46,23.83,21.43
373,451,361,329,369,455,358,408,366,455,361,411,361,455,355,441,352,453,355,436,27.92,14.51,16.68,16.40,28.12,14.42,16.34,17.15,28.13,15.41,16.91,16.37,27.47,15.47,17.30,17.28,28.60,16.37,18.02,17.86
325,414,409,333,328,408,409,403,327,407,407,398,335,403,407,425,341,402,404,423,26.65,10.59,10.73,13.27,26.19,10.56,12.03,14.47,26.53,11.06,12.02,14.15,26.15,11.35,12.52,14.80,26.76,11.98,13.16,15.32
353,383,361,324,352,382,357,399,352,378,350,401,354,382,343,425,353,384,340,425,24.38,7.03,7.61,9.99,23.51,9.32,9.82,11.55,24.02,9.83,10.20,11.43,23.77,9.80,10.77,11.46,24.42,10.48,11.22,12.25
333,368,325,283,334,368,321,351,335,370,322,348,335,366,329,353,336,366,334,356,22.73,6.07,8.57,9.64,22.23,8.54,9.55,10.82,23.20,8.48,10.02,10.92,22.98,9.12,9.85,10.80,23.30,9.75,10.52,11.48
290,361,366,319,286,361,370,376,288,362,375,376,290,363,374,393,291,362,371,387,24.16,6.30,6.04,9.37,23.76,8.65,8.96,10.70,24.10,8.87,9.21,10.57,23.93,9.10,9.32,10.65,24.33,9.82,10.06,11.33
216,444,341,255,219,447,342,321,218,447,342,327,217,454,344,361,218,455,346,367,27.60,13.24,13.94,14.72,27.26,13.00,14.09,15.15,26.82,13.11,14.20,14.95,26.69,13.50,13.95,14.46,27.23,13.90,14.75,14.72
