S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
32,199,150,63,32,199,149,77,32,197,146,77,31,192,143,81,31,190,142,79,33.37,30.65,27.69,27.52,33.20,30.40,27.59,27.41,33.24,30.58,27.46,27.36,33.39,30.65,27.47,27.27,33.41,30.52,27.73,27.25
45,231,167,96,43,228,165,105,42,229,164,105,43,233,163,102,42,232,162,104,33.38,29.74,27.66,27.93,33.34,29.51,27.53,27.91,33.36,29.76,27.28,27.79,33.45,29.61,27.30,27.79,33.45,29.86,27.37,27.84
81,345,247,130,81,343,247,147,82,341,245,145,81,335,242,144,80,337,241,142,33.23,29.30,26.53,27.09,32.95,28.96,25.69,27.03,33.12,29.05,26.36,27.23,33.29,28.84,26.11,27.11,33.32,29.05,26.78,27.25
78,356,246,149,79,357,244,192,79,356,245,189,79,353,249,194,80,347,248,195,33.08,29.43,27.18,27.58,33.10,29.07,26.67,27.46,33.18,29.31,26.86,27.43,33.21,29.04,26.76,27.34,33.22,29.44,27.23,27.39
104,435,249,168,105,436,253,211,103,436,256,211,103,434,254,202,102,438,254,199,33.61,29.00,27.19,23.18,33.42,28.54,26.56,22.78,33.55,28.50,26.81,23.07,33.64,28.18,26.82,23.21,33.63,28.56,27.24,23.15
149,468,349,200,147,466,346,258,146,465,345,260,147,468,337,259,145,461,334,260,33.77,28.10,26.26,22.17,33.48,27.44,25.42,22.05,33.73,26.27,26.24,22.10,33.90,26.40,25.80,22.24,33.96,26.37,26.69,22.03
258,512,386,257,258,508,386,336,260,506,383,329,250,500,389,339,252,499,390,340,33.27,24.71,24.29,21.69,32.67,23.92,23.92,21.43,32.81,24.59,24.51,21.60,33.03,24.37,24.15,21.49,33.15,25.15,24.71,21.78
373,452,361,328,370,456,358,408,364,455,361,410,361,458,355,441,352,454,355,436,29.00,17.20,17.97,17.72,28.52,16.47,17.55,17.61,28.66,17.54,18.37,17.53,28.48,16.93,18.10,17.49,29.04,18.19,19.04,18.47
325,414,410,334,328,408,409,403,329,407,408,399,335,404,406,425,342,405,404,423,27.54,12.88,13.65,14.58,27.01,12.11,13.61,14.66,27.07,12.78,13.85,14.86,26.97,13.23,14.23,15.32,27.13,13.73,14.61,15.65
353,383,361,324,350,382,360,399,350,381,355,401,352,378,349,425,350,380,345,425,25.13,10.61,10.73,11.53,24.38,10.76,10.79,11.89,24.98,10.75,10.74,11.93,24.67,11.11,11.18,11.98,25.27,11.48,11.66,12.63
333,373,325,279,334,374,320,349,335,371,319,347,335,374,327,353,336,373,332,357,23.47,9.51,10.25,10.49,23.12,9.61,10.59,11.16,23.96,9.57,10.30,10.95,23.57,9.70,10.66,10.99,24.18,10.30,10.97,11.53
290,357,366,323,286,354,371,377,288,356,375,377,289,356,374,393,292,362,374,385,24.79,9.71,9.83,10.69,24.52,9.71,10.06,11.27,24.82,9.79,9.95,11.04,24.61,9.84,10.20,11.15,24.98,10.39,10.59,11.70
215,443,341,255,218,449,339,322,218,448,340,327,219,454,341,361,219,449,341,368,27.98,16.03,15.61,16.08,27.39,15.20,14.99,15.59,27.18,15.88,15.78,15.87,27.19,15.03,15.35,15.16,27.44,15.68,15.78,15.68
137,390,341,213,141,391,342,272,145,396,341,271,144,393,350,289,145,402,353,291,32.31,25.18,24.33,22.56,31.55,23.93,23.41,22.08,31.56,24.66,23.76,22.07,31.76,23.95,23.07,22.10,31.76,24.56,23.64,22.19
115,425,314,202,115,429,317,246,115,428,319,250,119,429,320,263,120,425,322,262,33.87,30.12,28.82,25.25,33.60,29.40,28.36,25.03,33.86,29.67,28.48,24.97,33.89,29.25,28.37,24.75,33.88,28.99,28.66,24.93
137,427,351,178,138,426,352,235,137,426,349,236,134,424,339,245,133,423,331,245,34.53,31.03,28.82,25.59,34.30,29.62,28.37,25.11,34.28,30.13,28.33,25.36,34.48,30.69,28.26,24.94,34.44,30.35,28.67,25.46
97,397,264,211,97,399,264,287,98,402,269,283,98,404,278,294,95,407,286,295,33.75,30.30,27.43,24.95,33.61,29.85,27.09,24.64,33.67,30.00,27.17,24.57,33.75,29.91,26.96,24.29,33.79,29.74,27.45,24.85
