S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
32,199,150,63,32,199,148,77,32,197,146,77,31,192,143,81,31,190,142,79,33.24,30.10,27.21,27.38,33.33,30.12,27.13,27.35,33.41,30.25,27.32,27.21,33.44,30.05,26.98,27.05,33.44,30.10,27.44,27.41
45,231,167,96,43,228,166,105,42,229,164,103,43,233,163,102,42,233,162,104,33.31,29.55,26.96,27.58,33.43,29.42,27.16,27.65,33.45,29.41,27.13,27.67,33.45,29.55,26.81,27.47,33.45,29.65,27.49,27.69
81,345,247,130,82,343,247,147,82,341,245,147,82,336,243,145,81,337,241,142,33.02,29.00,26.34,27.04,33.06,28.59,24.86,27.04,33.17,28.55,25.88,27.00,33.32,28.59,25.48,26.86,33.34,28.78,26.40,27.21
78,357,246,149,78,358,244,192,79,356,246,189,78,352,248,193,79,345,248,195,32.73,29.17,26.62,27.03,32.94,28.68,26.27,27.14,33.04,28.63,26.37,27.15,33.12,28.57,25.86,26.89,33.14,28.88,26.97,27.26
104,435,249,168,105,435,253,211,103,436,255,211,103,434,254,202,102,439,254,199,33.46,28.57,26.69,22.51,33.40,27.97,26.13,22.55,33.39,27.89,26.30,22.87,33.63,27.55,25.81,23.16,33.68,28.27,27.03,23.24
149,468,349,200,147,466,347,259,146,465,344,260,147,469,338,260,145,464,335,261,33.64,27.32,25.74,21.92,33.47,26.46,24.40,21.49,33.58,26.00,25.44,21.66,33.74,25.59,24.88,22.20,33.74,26.81,26.23,21.74
258,509,387,257,259,508,385,335,260,506,384,330,251,497,388,338,253,496,389,339,32.96,23.57,23.55,20.84,32.46,22.10,22.40,20.78,32.61,23.15,22.96,21.12,32.62,22.90,23.23,21.35,32.88,24.15,23.85,21.45
373,454,360,328,373,455,354,408,368,454,355,409,363,455,350,441,354,450,351,433,27.95,12.18,15.34,15.89,27.45,12.85,14.63,16.58,27.79,15.72,16.79,16.41,27.29,15.77,16.59,16.78,28.50,17.87,18.15,18.18
325,382,410,333,330,378,408,396,331,380,405,392,338,389,405,414,345,396,402,416,26.76,5.77,8.21,9.53,25.84,11.53,10.36,13.54,26.50,12.18,11.64,13.82,25.94,12.16,12.26,14.42,26.44,14.06,14.09,15.38
353,411,347,325,349,414,334,397,350,412,327,400,352,397,325,424,351,395,325,421,24.52,5.62,6.16,6.85,23.20,10.53,10.23,11.59,23.81,10.75,10.54,11.24,23.86,10.99,10.76,11.54,24.43,12.37,11.99,12.72
333,365,331,275,335,363,345,348,335,363,351,345,335,369,349,358,336,358,343,363,23.13,4.89,6.08,6.90,21.86,9.55,9.71,10.58,22.89,9.78,9.71,10.26,22.77,9.74,9.84,10.19,23.33,11.00,11.32,11.55
290,356,373,327,286,362,371,368,288,361,371,364,290,362,360,382,291,374,353,379,24.40,5.13,5.16,6.01,23.47,9.40,9.78,10.56,23.89,9.60,9.91,10.30,23.85,9.85,10.07,10.51,24.33,10.95,11.24,11.74
216,453,341,254,225,446,344,334,224,444,346,343,223,448,361,372,224,447,375,375,27.67,10.61,12.54,14.09,27.23,12.35,12.21,14.71,26.57,14.31,13.71,14.51,26.35,13.93,12.77,13.77,26.70,15.34,14.87,14.98
136,391,342,214,140,394,342,272,144,397,342,272,144,397,350,289,145,404,353,291,32.12,24.06,23.37,21.88,31.38,22.21,22.14,21.46,31.32,23.26,22.84,21.79,31.54,22.63,22.30,21.82,31.44,23.83,23.11,22.19
115,427,314,202,116,428,316,246,115,429,319,249,119,429,320,263,120,424,322,262,33.80,29.21,28.14,25.18,33.73,28.86,27.69,24.39,33.77,28.87,27.91,24.55,33.79,28.54,27.52,24.62,33.78,28.79,28.47,24.91
137,427,352,179,137,427,352,235,137,426,347,236,134,425,338,245,133,424,330,246,34.30,30.30,27.86,25.43,33.89,29.66,27.55,24.64,34.03,29.94,27.49,24.99,34.28,29.75,27.22,24.92,34.28,29.62,28.14,25.39
97,397,263,210,97,398,264,287,98,402,271,283,98,403,279,294,95,406,287,294,33.65,29.54,26.60,24.57,33.56,29.31,26.28,24.07,33.55,29.40,26.60,24.25,33.69,29.34,26.06,24.47,33.76,29.25,27.08,24.78
114,416,314,225,113,417,311,281,112,417,306,285,114,418,303,307,118,414,302,309,33.09,28.73,27.28,22.79,33.08,28.38,27.04,22.51,33.19,28.48,26.48,23.38,33.25,28.19,26.38,23.23,33.32,28.52,27.05,23.70
115,449,316,188,116,445,319,261,115,446,323,262,115,448,324,269,112,454,325,269,33.04,28.82,27.56,23.62,33.03,28.43,27.29,23.08,33.14,28.47,26.84,23.68,33.25,28.13,26.33,23.45,33.32,28.68,27.19,23.81
