Experiment,Arrival,Integrator,Fitness,Avg_Flow_NRMSE,Avg_Speed_NRMSE,Avg_Flow_R2,Avg_Speed_R2,Avg_Flow_SMAPE,Avg_Speed_SMAPE,Duration_sec,Duration_min,S0_CountNRMSE,S0_SpeedNRMSE,S0_CountR2,S0_SpeedR2,S1_CountNRMSE,S1_SpeedNRMSE,S1_CountR2,S1_SpeedR2,S2_CountNRMSE,S2_SpeedNRMSE,S2_CountR2,S2_SpeedR2,S3_CountNRMSE,S3_SpeedNRMSE,S3_CountR2,S3_SpeedR2,S4_CountNRMSE,S4_SpeedNRMSE,S4_CountR2,S4_SpeedR2
erlang2s_ballistic,Erlang2S,Ballistic,0.156666,0.076201,0.237131,0.8367,0.4846,6.6839,17.7402,1050.61,17.5,0.0414,0.2102,0.9549,0.6519,0.0649,0.2397,0.8697,0.5399,0.0814,0.2351,0.8258,0.4986,0.0917,0.2479,0.7787,0.4078,0.1016,0.2527,0.7543,0.3249
erlang2s_rk2,Erlang2S,RK2,0.157453,0.075608,0.239298,0.8391,0.4764,6.6270,17.9080,2902.76,48.4,0.0423,0.2207,0.9532,0.6166,0.0632,0.2323,0.8755,0.5683,0.0805,0.2378,0.8291,0.4890,0.0910,0.2494,0.7814,0.4009,0.1010,0.2563,0.7564,0.3068
erlang2s_rk3,Erlang2S,RK3,0.157357,0.075886,0.238828,0.8376,0.4782,6.6425,17.8655,2882.72,48.0,0.0423,0.2210,0.9529,0.6155,0.0636,0.2323,0.8731,0.5682,0.0809,0.2363,0.8273,0.4960,0.0913,0.2472,0.7796,0.4098,0.1013,0.2574,0.7548,0.3014
erlang2s_rk4,Erlang2S,RK4,0.157180,0.075796,0.238564,0.8384,0.4795,6.6425,17.8558,3055.28,50.9,0.0423,0.2210,0.9527,0.6153,0.0636,0.2319,0.8746,0.5698,0.0807,0.2359,0.8288,0.4971,0.0911,0.2476,0.7810,0.4090,0.1013,0.2565,0.7549,0.3062
erlang2s_dopri5,Erlang2S,DOPRI5,0.158221,0.076587,0.239856,0.8341,0.4741,6.7086,17.9537,3065.98,51.1,0.0425,0.2216,0.9519,0.6140,0.0647,0.2334,0.8669,0.5648,0.0818,0.2398,0.8224,0.4811,0.0920,0.2474,0.7767,0.4072,0.1019,0.2571,0.7524,0.3034
erlang2s_euler,Erlang2S,Euler,0.157860,0.076928,0.238791,0.8331,0.4778,6.7269,17.8459,2655.41,44.3,0.0422,0.2212,0.9533,0.6151,0.0654,0.2324,0.8650,0.5684,0.0822,0.2357,0.8210,0.4974,0.0926,0.2478,0.7739,0.4045,0.1022,0.2569,0.7525,0.3037
erlang2s_heun,Erlang2S,Heun,0.157787,0.075977,0.239597,0.8372,0.4752,6.6413,17.9353,2688.86,44.8,0.0422,0.2210,0.9528,0.6154,0.0640,0.2330,0.8724,0.5655,0.0811,0.2374,0.8266,0.4912,0.0913,0.2500,0.7797,0.3978,0.1013,0.2566,0.7543,0.3063
erlang2s_butcher,Erlang2S,Butcher,0.199833,0.164838,0.234828,0.1841,0.4757,10.6705,18.3343,1198.64,20.0,0.1567,0.1860,0.1796,0.7237,0.1649,0.2090,0.1904,0.6494,0.1641,0.2431,0.2170,0.4576,0.1655,0.2614,0.1707,0.3278,0.1730,0.2747,0.1626,0.2198
poisson_ballistic,Poisson,Ballistic,0.175926,0.105143,0.246710,0.7341,0.4465,8.5404,18.8802,594.49,9.9,0.0788,0.2288,0.8657,0.5875,0.0967,0.2479,0.7729,0.5068,0.1085,0.2457,0.7141,0.4525,0.1169,0.2580,0.6694,0.3638,0.1249,0.2532,0.6486,0.3217
poisson_rk2,Poisson,RK2,0.175381,0.105413,0.245348,0.7341,0.4527,8.5246,18.7628,2921.87,48.7,0.0788,0.2341,0.8659,0.5676,0.0962,0.2405,0.7783,0.5378,0.1088,0.2418,0.7137,0.4708,0.1175,0.2543,0.6674,0.3793,0.1258,0.2560,0.6452,0.3078
poisson_rk3,Poisson,RK3,0.175555,0.105717,0.245393,0.7318,0.4528,8.5500,18.7769,3131.77,52.2,0.0791,0.2341,0.8649,0.5678,0.0965,0.2411,0.7765,0.5352,0.1091,0.2416,0.7117,0.4718,0.1179,0.2543,0.6638,0.3801,0.1261,0.2559,0.6419,0.3091
poisson_rk4,Poisson,RK4,0.175602,0.105697,0.245507,0.7316,0.4523,8.5505,18.7690,3100.82,51.7,0.0789,0.2340,0.8655,0.5680,0.0966,0.2414,0.7755,0.5339,0.1090,0.2416,0.7119,0.4720,0.1180,0.2545,0.6633,0.3793,0.1261,0.2560,0.6419,0.3083
poisson_dopri5,Poisson,DOPRI5,0.176473,0.106228,0.246717,0.7295,0.4483,8.6222,18.8684,3611.48,60.2,0.0798,0.2362,0.8617,0.5602,0.0977,0.2435,0.7696,0.5255,0.1097,0.2451,0.7095,0.4583,0.1181,0.2521,0.6632,0.3914,0.1259,0.2566,0.6435,0.3060
poisson_euler,Poisson,Euler,0.176074,0.105797,0.246351,0.7320,0.4500,8.5628,18.8366,2623.28,43.7,0.0785,0.2370,0.8674,0.5574,0.0972,0.2420,0.7735,0.5320,0.1094,0.2436,0.7113,0.4652,0.1179,0.2530,0.6643,0.3872,0.1260,0.2563,0.6437,0.3080
poisson_heun,Poisson,Heun,0.175539,0.105626,0.245452,0.7332,0.4523,8.5421,18.7857,3451.57,57.5,0.0790,0.2341,0.8652,0.5677,0.0968,0.2408,0.7756,0.5362,0.1092,0.2419,0.7120,0.4706,0.1176,0.2545,0.6673,0.3781,0.1256,0.2559,0.6461,0.3089
poisson_butcher,Poisson,Butcher,0.205491,0.180771,0.230211,0.0989,0.4952,12.0502,18.1844,1156.61,19.3,0.1776,0.1878,0.1127,0.7176,0.1771,0.2047,0.1179,0.6639,0.1777,0.2339,0.1163,0.4947,0.1816,0.2556,0.0816,0.3533,0.1898,0.2691,0.0662,0.2467

