S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,135,73,33.36,30.21,27.27,27.50,33.36,30.56,27.64,27.43,33.36,30.35,27.21,27.52,33.36,30.08,27.86,27.26,33.36,30.76,27.93,27.36
43,248,183,96,43,245,183,106,43,244,183,106,42,244,180,110,42,246,179,110,33.33,29.15,27.16,27.98,33.33,29.41,27.56,28.07,33.33,29.74,27.23,27.80,33.37,29.19,27.83,28.02,33.37,30.12,27.87,27.83
65,335,211,119,64,335,210,144,62,335,208,144,62,333,205,141,62,329,203,141,33.24,28.57,26.18,27.16,33.25,28.36,25.89,27.01,33.24,28.14,26.60,27.36,33.32,28.39,26.16,27.05,33.32,29.27,26.93,26.90
86,373,267,128,87,373,268,172,88,373,267,169,89,371,268,169,89,372,268,166,32.97,27.68,26.09,27.43,32.96,27.67,26.66,27.40,33.00,27.44,26.86,27.67,33.06,27.42,26.71,27.72,33.12,28.48,27.17,26.90
102,423,272,163,100,422,274,195,100,423,275,196,99,419,276,197,100,419,277,198,33.58,26.63,26.51,22.48,33.56,26.22,26.89,22.35,33.58,26.27,26.61,22.75,33.64,26.49,26.80,23.23,33.43,27.08,27.33,23.18
165,509,349,199,164,510,343,252,164,503,341,250,164,505,339,264,162,497,335,263,33.93,24.24,24.71,21.47,33.77,24.31,24.84,21.40,33.88,24.27,24.71,21.21,33.84,24.48,24.36,22.26,34.04,24.80,25.77,22.12
256,543,389,257,256,544,384,336,254,543,384,331,256,542,384,345,253,539,386,345,32.83,22.12,21.76,20.09,32.64,21.40,21.88,19.20,32.88,21.90,22.14,19.10,32.86,21.15,21.84,20.31,33.18,22.54,22.63,21.01
356,448,380,310,360,456,373,379,358,457,373,378,351,450,371,395,354,454,369,391,27.09,14.85,14.59,14.52,27.58,15.23,14.57,14.06,27.50,16.44,16.12,14.52,27.53,17.48,17.16,16.58,27.78,18.81,18.61,18.50
348,402,349,328,350,408,342,390,351,411,342,389,356,409,343,420,354,404,342,414,25.98,9.51,10.07,11.25,26.12,10.40,11.05,10.31,25.36,11.28,11.65,11.80,26.10,12.62,12.07,13.94,26.15,14.94,15.26,16.13
336,351,329,328,402,307,354,360,395,302,343,364,387,304,342,391,381,301,343,387,23.31,8.55,8.98,9.00,21.36,9.29,9.68,8.38,20.82,9.45,9.77,9.98,21.86,10.02,10.04,11.60,23.03,12.88,12.48,13.40
