S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,135,73,33.36,30.24,27.23,27.23,33.36,30.22,27.26,27.21,33.36,29.95,27.36,27.48,33.36,29.78,27.70,27.47,33.36,30.76,27.93,27.39
43,248,183,96,43,246,183,106,43,244,183,106,42,244,180,110,42,247,180,110,33.30,29.03,27.13,27.60,33.30,29.11,27.11,27.94,33.30,29.18,27.31,27.91,33.37,29.05,27.76,28.01,33.37,30.03,27.89,27.86
65,336,211,119,64,336,210,144,62,335,208,144,62,333,206,141,62,328,202,141,33.18,27.39,25.53,27.02,33.17,27.41,25.47,26.94,33.17,27.25,25.93,27.32,33.32,28.12,25.61,26.94,33.32,29.42,26.89,26.91
86,373,267,128,87,371,268,172,88,371,269,169,89,372,268,169,89,372,268,167,32.84,26.66,25.34,27.41,32.83,26.85,25.38,27.39,32.86,26.72,26.25,27.66,32.97,26.70,26.16,27.71,33.10,28.69,27.30,26.95
102,423,272,163,108,414,274,195,107,416,273,195,104,412,275,197,104,408,277,197,33.50,25.00,25.58,21.82,32.96,25.30,25.34,21.69,33.16,25.43,26.37,22.62,33.30,25.76,26.34,22.93,33.21,27.33,27.38,23.12
165,506,349,200,165,503,345,252,166,501,343,251,167,501,341,263,166,497,338,263,33.58,21.96,23.59,20.98,33.33,22.99,23.54,21.27,33.63,22.96,23.62,20.67,33.54,22.56,23.82,21.54,33.62,24.31,26.23,22.13
257,544,389,256,261,544,383,336,259,544,380,332,261,542,377,349,257,540,373,346,32.23,19.71,19.86,18.87,31.84,18.91,19.85,16.70,31.86,20.67,20.54,17.04,31.85,21.86,20.62,19.38,32.50,23.82,23.40,21.62
356,451,375,312,361,444,376,378,357,440,380,377,354,437,377,403,355,443,381,403,26.44,11.88,12.97,12.16,26.53,12.78,13.10,10.80,26.65,14.97,14.47,12.27,26.65,15.70,14.64,15.97,27.47,19.06,18.92,18.48
348,393,350,320,348,399,354,384,352,404,353,387,350,401,350,410,352,401,348,404,24.49,10.94,10.80,10.92,24.17,11.79,13.51,10.80,24.45,12.61,13.46,12.38,24.66,14.27,13.84,14.96,26.46,14.83,15.59,16.17
336,400,349,331,335,403,352,400,334,398,346,395,335,399,348,434,332,395,344,436,21.81,9.96,9.99,9.99,21.66,10.50,10.66,9.69,21.58,11.02,11.34,11.31,22.67,11.92,11.94,12.83,24.83,12.27,12.57,13.10
345,381,318,302,342,384,326,380,341,384,328,385,340,379,323,403,339,380,321,403,20.05,9.27,9.48,9.50,20.27,9.81,9.88,8.88,20.11,10.18,10.60,10.42,20.01,10.26,11.30,11.22,23.50,11.14,11.68,11.60
293,371,346,316,294,371,351,369,294,370,350,365,295,379,348,387,298,375,351,385,22.70,9.32,9.40,9.65,22.77,10.08,10.14,9.31,22.88,10.81,10.96,10.67,22.74,9.77,11.28,11.51,24.82,10.98,11.33,11.90
208,430,345,281,221,433,334,350,224,437,332,351,226,435,338,364,227,440,343,371,27.17,10.47,10.21,10.30,26.65,12.38,11.16,10.88,25.91,13.76,12.01,11.86,26.18,13.77,11.91,13.81,26.63,16.15,15.81,15.98
129,427,318,216,134,425,321,263,136,422,331,270,141,429,336,286,141,430,336,288,32.01,20.52,22.03,20.51,31.59,20.02,21.85,19.69,31.41,21.57,21.58,19.86,30.97,20.55,21.37,20.86,30.77,22.74,23.74,21.69
106,428,316,196,108,425,315,250,107,432,313,247,106,432,314,257,110,436,318,258,33.89,26.37,27.29,23.69,33.88,26.65,27.53,23.70,34.01,25.93,27.39,23.63,33.96,25.17,27.39,24.52,33.76,27.00,28.57,24.93
122,454,329,197,120,457,331,249,120,455,327,253,122,450,327,264,119,449,324,263,34.36,26.67,26.45,24.27,34.52,26.28,27.64,23.80,34.51,26.61,27.04,23.32,34.43,26.22,27.80,24.33,34.58,27.78,28.77,24.91
