S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
32,199,150,63,32,199,148,77,32,197,146,77,31,192,143,81,31,190,143,78,33.14,29.68,27.01,27.31,33.14,29.95,27.63,27.23,33.16,29.74,26.81,27.39,33.25,29.46,27.78,26.78,33.32,30.46,27.89,27.09
45,231,167,96,43,228,166,105,42,229,164,104,43,234,163,102,42,233,162,105,33.16,28.66,26.51,27.73,33.22,29.11,27.13,27.67,33.22,29.53,26.93,27.38,33.33,28.76,27.56,27.81,33.36,30.00,27.83,27.72
81,344,247,130,81,343,246,147,82,340,246,146,81,335,243,145,80,337,240,142,32.98,27.18,24.98,26.57,33.13,27.08,25.10,26.96,33.15,27.14,26.07,27.09,33.13,27.19,25.35,26.73,33.26,27.90,26.69,27.00
78,358,245,149,79,357,246,192,79,353,245,189,79,345,248,193,80,342,249,196,32.85,27.07,25.88,27.02,32.83,27.27,26.58,27.04,32.88,27.45,26.55,26.76,33.03,27.35,26.41,27.32,33.11,28.35,26.89,26.86
104,433,251,168,105,435,252,210,103,437,255,208,103,441,254,202,102,441,254,197,33.26,26.26,25.51,22.28,33.17,26.17,26.51,22.26,33.28,26.16,26.49,22.71,33.46,25.87,26.67,22.92,33.61,26.78,26.97,23.07
149,467,348,200,147,467,345,260,146,464,339,262,147,463,336,260,146,462,334,261,33.66,25.28,24.09,21.03,33.57,25.17,24.05,20.81,33.79,25.07,24.44,20.31,33.81,25.51,24.07,21.42,34.01,25.61,25.62,22.11
258,509,386,256,262,501,384,330,260,501,388,324,256,490,391,337,257,484,392,332,32.07,22.29,22.36,19.96,31.73,21.98,22.46,19.13,32.32,23.09,23.00,19.23,32.16,22.75,22.83,19.95,32.40,23.90,23.57,20.85
372,453,358,326,370,452,362,398,366,456,359,399,354,461,354,424,352,460,351,427,26.10,15.18,15.31,15.06,26.70,15.45,15.44,14.64,27.01,16.58,16.51,15.20,27.41,17.10,17.69,16.90,27.77,18.82,18.98,18.56
326,410,410,332,334,418,405,398,338,413,404,398,348,412,408,417,349,414,405,410,25.42,9.45,10.62,11.34,25.45,10.75,11.33,11.22,25.54,11.10,12.06,12.25,26.02,12.70,12.24,13.76,25.92,14.63,15.27,15.96
351,379,351,320,355,377,356,378,356,374,347,382,353,374,342,409,352,371,339,406,22.57,8.83,8.96,8.90,22.54,9.50,9.51,8.90,22.82,9.70,9.85,10.32,23.19,10.22,10.04,11.78,23.97,12.51,12.58,13.23
335,208,211,206,336,211,231,265,335,217,239,262,338,221,248,270,338,226,255,280,21.16,8.05,8.03,8.24,21.72,8.84,8.55,7.35,21.55,8.92,9.05,9.11,21.23,9.11,8.90,10.42,22.62,11.52,11.89,11.78
287,363,194,405,434,210,225,414,435,204,227,414,432,206,238,418,432,202,236,407,23.09,7.87,7.49,8.70,18.98,8.69,8.71,8.53,17.84,8.67,9.04,9.47,19.26,9.09,9.28,10.23,20.53,11.03,11.72,12.02
218,597,504,251,248,591,480,322,248,591,475,325,285,571,443,352,288,561,441,360,26.56,11.82,11.32,13.19,25.86,12.46,12.24,12.87,25.13,12.53,12.50,12.76,24.45,12.77,12.02,13.98,23.98,14.86,14.71,15.88
