S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
32,199,150,63,32,199,148,77,32,197,146,77,31,192,143,81,31,190,143,79,32.89,29.13,26.41,26.93,32.87,29.49,26.84,26.96,32.87,29.04,27.05,27.20,33.16,28.86,27.67,26.53,33.28,30.47,27.93,27.01
45,231,167,96,43,228,166,105,42,229,164,104,43,234,163,102,42,233,162,104,32.97,28.14,26.17,26.72,32.96,28.73,26.30,27.13,32.97,28.85,26.67,27.38,33.30,28.52,26.92,27.95,33.35,29.95,27.75,27.88
81,344,247,130,81,343,246,147,82,342,246,146,81,335,243,145,80,337,240,142,32.45,25.68,23.91,26.03,32.42,26.47,24.29,26.55,32.51,26.26,25.26,26.79,32.84,26.87,24.80,26.42,33.19,27.86,26.73,26.97
78,358,246,149,79,358,245,193,79,350,244,189,79,348,247,193,80,345,248,196,32.61,25.86,24.61,26.50,32.59,26.20,25.02,26.15,32.59,26.45,25.78,26.47,32.88,26.15,26.26,26.91,33.08,28.33,27.17,26.94
104,433,250,168,109,427,252,209,107,433,255,208,107,436,255,202,106,433,254,197,32.87,24.37,24.72,21.35,32.40,25.08,25.07,21.30,32.62,24.72,25.85,22.24,32.72,25.11,25.86,22.69,33.33,26.42,27.40,23.02
149,468,348,200,149,469,342,260,148,464,339,263,149,460,336,260,150,456,335,261,33.10,22.84,22.58,19.83,32.67,23.38,22.53,19.69,33.27,23.76,23.28,19.90,33.31,23.89,23.28,20.63,33.59,25.56,25.86,22.23
258,507,386,257,262,502,388,327,261,499,388,325,258,491,385,335,257,495,383,333,31.43,20.07,19.73,18.02,31.17,19.93,19.91,17.02,31.46,21.49,21.25,18.01,31.53,21.49,20.91,18.83,32.46,23.84,23.52,21.51
373,455,356,325,364,454,348,408,357,461,348,405,350,464,345,437,347,453,347,438,25.04,11.51,12.85,12.46,25.54,12.96,12.77,10.88,25.82,15.27,14.92,13.12,26.28,15.80,14.81,16.03,27.59,18.98,19.11,18.85
325,407,408,329,336,409,415,394,343,406,411,397,349,404,411,415,346,412,408,408,24.06,11.04,11.13,10.97,24.13,11.85,13.13,10.99,24.26,12.44,14.18,13.27,25.17,14.68,14.51,15.29,26.48,14.60,15.40,16.06
351,381,359,321,347,381,356,398,346,380,355,399,347,377,348,426,347,376,344,422,20.71,9.99,9.94,9.98,21.26,10.67,10.78,10.02,21.16,11.08,11.09,11.37,21.60,11.87,11.97,12.25,24.13,12.35,12.46,13.08
335,372,324,284,335,378,320,348,335,374,324,338,336,382,326,355,341,379,329,359,19.56,9.15,9.41,9.39,20.11,9.71,9.89,8.59,19.75,10.39,10.52,10.38,19.86,10.21,11.08,11.20,23.20,11.18,11.56,11.73
288,358,368,323,286,354,380,373,287,360,378,378,290,357,376,382,292,362,379,381,21.30,9.32,9.39,9.74,21.92,10.19,10.19,9.70,22.08,11.03,10.95,10.80,22.49,9.79,11.35,11.35,24.65,10.97,11.35,11.84
218,448,342,258,224,448,338,323,224,451,342,326,226,450,352,357,227,446,353,366,25.96,10.79,10.40,9.82,26.42,11.72,12.39,10.61,25.38,13.80,13.38,12.07,25.85,13.77,12.60,14.18,26.40,16.22,16.28,15.81
136,393,344,216,145,390,349,272,150,388,349,273,151,394,352,297,154,398,350,298,31.27,20.73,20.36,19.70,30.70,21.23,21.13,18.94,30.33,22.49,20.93,19.85,30.29,21.39,21.04,20.19,30.63,23.82,23.83,21.82
115,426,318,202,116,430,317,248,116,427,317,250,120,426,319,263,120,428,321,261,33.15,25.30,25.70,23.22,33.47,25.82,26.25,23.30,33.77,26.25,26.11,22.69,33.71,25.65,26.17,23.76,33.83,27.01,27.64,24.86
137,427,350,179,137,426,345,235,138,422,335,235,136,423,332,246,134,421,332,246,33.63,26.49,25.24,23.76,33.98,26.78,26.04,23.69,33.82,26.80,25.80,23.53,33.69,26.44,27.03,24.47,34.31,28.25,28.36,25.17
97,400,264,210,98,405,271,286,99,405,283,283,98,404,285,295,97,406,287,293,32.93,25.63,24.80,22.87,32.99,26.20,24.90,22.33,33.16,26.18,25.20,21.70,33.15,25.65,25.68,23.14,33.66,28.21,27.10,24.59
114,416,311,224,115,412,308,281,114,413,306,285,116,408,302,305,120,403,301,310,32.30,25.07,24.91,20.96,32.10,25.64,26.37,21.32,32.29,26.41,25.19,20.62,32.61,25.68,26.50,21.75,33.12,27.79,27.29,23.35
115,447,320,189,117,447,322,261,116,451,323,261,116,456,324,270,113,459,324,269,32.34,25.11,24.79,22.18,32.14,25.08,25.84,21.69,31.90,25.19,24.93,21.71,32.64,24.75,26.45,22.31,33.10,26.49,27.36,23.50
90,393,281,211,90,390,283,293,96,387,281,292,96,387,280,300,99,388,281,299,32.49,25.65,26.00,21.75,32.31,26.12,27.08,22.24,31.78,26.45,26.52,21.56,32.65,25.96,27.31,22.51,33.03,27.70,28.43,23.57
86,413,312,210,85,416,309,262,85,415,311,263,86,414,310,276,86,413,308,273,32.61,25.70,25.61,21.89,32.50,26.09,27.11,22.21,32.53,26.31,26.46,21.31,32.93,26.26,27.20,22.68,33.10,28.13,28.17,23.84
125,415,309,184,129,410,310,250,128,407,308,249,123,404,309,265,122,405,308,270,32.22,25.23,24.77,22.64,32.10,26.18,26.04,22.24,32.27,26.28,25.42,22.30,32.70,26.02,26.59,23.27,33.23,28.22,27.65,24.24
117,431,337,218,117,433,335,288,118,433,338,291,122,437,336,306,124,432,335,304,32.45,25.45,23.76,22.03,32.36,25.79,23.93,22.11,32.38,25.55,24.20,21.05,32.81,25.25,25.48,22.33,32.71,27.72,26.32,23.90
98,439,341,199,97,437,342,250,97,441,340,247,100,440,343,273,100,444,344,275,32.64,24.79,24.53,22.01,32.61,24.92,25.54,22.10,32.61,25.44,24.75,21.64,32.98,24.84,25.88,23.08,32.95,26.86,26.91,24.12
122,460,291,202,122,463,289,252,120,460,288,246,118,457,288,269,120,456,290,269,32.35,24.32,23.94,22.68,32.18,25.14,23.97,22.09,32.25,25.37,24.81,22.10,32.52,24.84,25.45,23.24,33.14,26.91,26.54,24.54
124,492,353,201,124,487,352,259,127,484,352,265,130,483,351,279,128,482,349,277,32.43,23.77,23.27,22.54,32.23,23.86,23.64,22.22,32.30,24.67,23.96,22.57,32.59,24.16,24.49,23.19,32.92,26.31,26.05,24.29
117,456,288,200,119,460,289,251,120,461,288,251,122,454,287,260,123,449,289,262,32.27,25.39,26.40,23.00,32.17,25.34,26.99,23.38,32.30,25.17,26.28,22.89,32.62,24.94,27.29,23.67,33.04,26.85,28.47,25.11
171,432,382,224,171,434,382,271,170,436,383,272,168,440,381,288,168,446,374,287,31.49,24.43,23.39,23.19,31.55,24.44,23.53,23.41,31.24,24.51,23.85,22.90,31.76,24.89,24.73,24.13,32.43,26.49,26.20,25.06
142,455,359,195,143,446,356,261,141,445,351,258,145,447,354,273,144,446,358,270,32.45,24.94,24.15,23.53,32.29,25.00,25.41,23.08,32.52,25.20,24.62,22.20,32.56,25.03,25.92,24.00,33.34,27.32,26.51,25.15
