S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,30,184,136,75,29,181,135,73,33.4,30.2,27.2,27.2,33.4,30.2,27.3,27.2,33.4,30.0,27.4,27.5,33.4,29.8,27.7,27.5,33.4,30.8,27.9,27.4
43,248,183,96,43,246,183,106,43,244,183,106,42,244,180,110,42,247,180,110,33.3,29.0,27.1,27.6,33.3,29.1,27.1,27.9,33.3,29.2,27.3,27.9,33.4,29.1,27.8,28.0,33.4,30.0,27.9,27.9
65,336,211,119,64,336,210,144,62,335,208,144,62,333,206,141,62,328,202,141,33.2,27.4,25.5,27.0,33.2,27.4,25.5,26.9,33.2,27.3,25.9,27.3,33.3,28.1,25.6,26.9,33.3,29.4,26.9,26.9
86,373,267,128,87,371,268,172,88,371,269,169,89,372,268,169,89,372,268,167,32.8,26.7,25.3,27.4,32.8,26.9,25.4,27.4,32.9,26.7,26.2,27.7,33.0,26.7,26.2,27.7,33.1,28.7,27.3,27.0
102,423,272,163,108,414,274,195,107,416,273,195,104,412,275,197,104,408,277,197,33.5,25.0,25.6,21.8,33.0,25.3,25.3,21.7,33.2,25.4,26.4,22.6,33.3,25.8,26.3,22.9,33.2,27.3,27.4,23.1
165,506,349,200,165,503,345,252,166,501,343,251,167,501,341,263,166,497,338,263,33.6,22.0,23.6,21.0,33.3,23.0,23.5,21.3,33.6,23.0,23.6,20.7,33.5,22.6,23.8,21.5,33.6,24.3,26.2,22.1
257,544,389,256,261,544,383,336,259,544,380,332,261,542,377,349,257,540,373,346,32.2,19.7,19.9,18.9,31.8,18.9,19.9,16.7,31.9,20.7,20.5,17.0,31.9,21.9,20.6,19.4,32.5,23.8,23.4,21.6
356,451,375,312,361,444,376,378,357,440,380,377,354,437,377,403,355,443,381,403,26.4,11.9,13.0,12.2,26.5,12.8,13.1,10.8,26.7,15.0,14.5,12.3,26.7,15.7,14.6,16.0,27.5,19.1,18.9,18.5
348,393,350,320,348,399,354,384,352,404,353,387,350,401,350,410,352,401,348,404,24.5,10.9,10.8,10.9,24.2,11.8,13.5,10.8,24.4,12.6,13.5,12.4,24.7,14.3,13.8,15.0,26.5,14.8,15.6,16.2
336,400,349,331,335,403,352,400,334,398,346,395,335,399,348,434,332,395,344,436,21.8,10.0,10.0,10.0,21.7,10.5,10.7,9.7,21.6,11.0,11.3,11.3,22.7,11.9,11.9,12.8,24.8,12.3,12.6,13.1
