S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,65,30,192,138,75,30,189,137,74,29,184,136,75,29,181,134,73,33.4,30.7,27.1,27.3,33.4,30.0,26.9,27.1,33.4,30.0,27.1,27.3,33.4,30.0,27.7,27.2,33.4,30.4,27.7,27.3
43,248,183,96,43,245,182,106,42,244,183,106,43,244,179,110,42,246,180,109,33.3,29.0,27.0,27.8,33.3,28.9,26.8,27.7,33.4,29.7,27.0,27.8,33.3,29.3,27.8,27.9,33.4,30.0,27.7,27.6
64,335,211,119,64,336,211,144,63,336,208,143,62,333,206,140,62,329,203,142,33.1,27.9,26.0,27.2,33.1,27.8,25.6,26.8,33.3,29.4,26.2,27.0,33.1,29.0,26.0,26.6,33.3,29.3,26.9,26.9
87,373,267,128,87,373,268,172,88,372,268,171,89,372,269,170,89,372,268,166,32.7,27.7,26.0,27.3,32.6,27.6,25.5,27.1,33.0,29.1,25.9,27.3,32.9,28.1,26.6,27.7,33.1,29.3,27.0,27.0
102,424,272,163,100,421,274,195,100,423,274,194,99,421,275,197,99,421,277,198,33.4,26.7,26.1,22.3,33.3,25.6,25.6,21.8,33.6,28.0,26.0,22.7,33.3,27.2,27.0,23.2,33.6,28.1,27.0,23.1
165,512,350,200,164,508,346,252,164,501,345,251,163,501,341,263,163,496,338,263,33.9,24.1,26.3,21.1,33.1,22.9,23.7,21.1,33.9,24.5,25.2,21.8,33.3,25.3,24.6,22.3,33.8,25.8,26.4,22.1
258,541,388,256,260,537,388,337,259,540,387,334,261,531,386,350,255,530,385,348,31.9,20.4,22.7,20.4,31.1,20.1,20.5,18.8,32.8,20.7,21.9,18.7,31.6,20.7,21.9,19.3,32.7,22.2,23.8,21.3
355,450,382,313,363,452,359,385,360,447,358,384,355,450,354,411,357,451,352,407,28.2,13.8,13.7,14.2,26.4,12.9,13.3,11.5,28.1,16.4,15.4,14.0,28.2,18.0,17.0,16.6,28.6,18.2,18.8,18.3
347,397,348,319,354,396,351,380,357,401,352,378,356,402,351,408,357,404,352,404,25.8,9.9,9.4,10.3,24.7,10.6,11.8,10.1,25.5,13.2,12.7,11.7,26.5,14.3,12.4,13.3,26.1,14.9,15.5,16.1
336,398,343,336,336,398,370,397,333,397,363,397,334,398,360,426,333,393,359,430,23.5,9.4,9.4,9.4,22.7,9.7,9.6,9.4,23.5,9.9,10.0,10.6,23.8,11.4,10.7,11.6,24.8,12.1,12.5,13.1
346,378,320,300,350,382,330,367,348,381,333,368,345,375,339,388,346,373,335,385,21.7,8.8,9.0,8.9,20.9,9.3,9.5,8.6,20.6,10.2,10.1,9.9,21.6,10.9,10.4,10.9,23.3,10.9,11.5,11.7
293,375,348,316,289,374,355,364,291,370,353,360,294,377,352,382,295,381,352,380,23.8,8.9,8.9,9.3,23.0,9.7,9.7,8.9,23.5,10.0,9.9,10.2,23.5,10.2,10.2,10.9,24.8,10.9,11.3,11.9
208,421,338,287,220,417,349,345,222,421,352,350,225,424,354,358,225,429,359,365,27.9,12.5,12.3,12.7,26.1,9.8,9.7,10.0,26.1,14.6,13.4,11.2,26.5,14.6,13.5,12.4,26.1,16.2,15.8,15.8
129,432,322,207,130,435,324,258,133,438,330,264,134,439,333,287,135,437,335,292,32.3,23.0,22.9,21.6,31.6,21.5,22.4,20.2,31.8,22.0,22.4,20.3,31.5,21.6,22.2,20.6,31.7,23.1,23.7,21.5
