S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
30,193,141,64,30,190,140,75,30,184,136,75,29,181,136,75,29,177,134,74,66.9,57.4,56.6,62.9,66.3,56.1,53.5,63.4,65.5,56.0,53.5,62.6,61.2,53.4,49.7,61.0,63.6,54.7,51.6,61.2
43,247,183,97,43,245,182,106,42,246,181,105,43,247,181,107,42,246,179,108,64.8,52.8,55.8,58.1,62.5,51.9,52.8,57.8,62.2,54.1,54.8,57.0,57.3,51.5,49.8,53.2,60.7,54.2,52.9,56.3
64,335,209,118,63,337,209,146,63,335,208,143,63,326,201,145,62,326,201,140,66.7,51.6,57.0,61.7,66.2,49.6,53.4,60.0,64.5,54.5,55.9,61.4,62.2,50.6,51.5,55.1,61.0,54.0,55.4,58.7
87,373,268,128,87,369,266,170,89,371,270,171,88,371,268,168,90,370,269,172,62.6,47.8,51.0,59.4,59.4,47.4,49.3,57.1,60.4,52.0,53.9,57.3,57.4,48.5,47.6,54.1,58.3,53.1,52.4,55.6
100,424,274,164,101,425,276,196,100,422,274,194,98,419,276,196,94,416,272,194,62.0,47.6,53.6,57.4,58.1,45.6,49.7,56.3,58.9,50.7,53.2,56.3,55.3,48.0,50.3,55.5,57.3,53.0,53.9,56.6
166,510,347,200,169,500,344,253,168,504,346,251,168,494,342,263,169,499,341,266,58.6,46.5,50.3,54.0,52.9,45.9,46.6,54.7,55.6,51.5,51.9,55.1,50.8,48.4,47.5,51.4,54.9,52.2,53.4,54.9
258,547,392,258,255,549,389,336,250,542,387,339,246,549,384,357,242,544,384,354,53.3,48.0,48.6,53.1,49.8,44.7,47.0,53.4,53.8,51.8,50.1,55.2,48.9,49.3,48.9,52.7,53.5,52.2,54.2,56.0
354,457,383,314,350,460,385,390,352,460,381,391,352,473,390,426,351,472,394,413,49.4,49.0,48.4,54.3,48.3,46.2,45.1,50.8,53.2,51.1,50.9,54.1,50.0,48.6,47.7,53.9,53.0,52.0,52.0,56.5
348,405,359,333,354,408,357,402,353,411,361,401,354,403,357,427,358,405,354,440,49.3,50.7,50.5,51.1,46.6,47.5,48.5,50.9,52.0,51.7,52.0,52.8,48.9,48.6,50.2,52.1,53.1,53.8,53.5,56.3
337,397,351,335,334,393,353,422,334,400,351,420,333,401,347,448,330,401,350,445,49.4,50.3,51.4,50.5,49.6,45.8,47.7,50.4,52.5,52.3,52.0,52.3,48.6,49.2,47.7,51.2,54.6,52.1,53.0,55.7
348,380,312,307,350,385,313,385,351,378,315,388,347,380,321,406,345,384,316,406,49.8,51.9,51.2,50.7,48.3,49.3,50.1,50.8,52.0,53.2,52.5,51.9,47.2,50.6,49.5,50.4,52.9,53.2,53.0,54.8
292,371,346,311,291,367,344,370,289,370,345,366,293,371,346,390,299,369,347,385,53.3,50.9,52.4,50.0,49.9,48.5,47.4,50.4,53.7,51.5,51.8,51.5,50.5,48.7,49.0,48.9,56.0,53.3,53.2,52.8
206,423,341,273,212,419,342,333,215,418,337,338,218,415,335,344,217,414,339,353,53.7,49.4,51.7,53.6,51.2,47.9,48.5,52.8,54.3,51.5,52.1,54.1,49.0,47.9,49.6,52.8,53.5,52.0,53.3,55.0
130,413,309,204,129,416,308,254,134,414,315,254,134,417,314,272,135,411,313,271,57.5,49.1,51.0,55.1,55.2,46.6,49.3,55.9,55.3,51.9,51.8,54.7,50.6,48.5,49.0,51.1,53.6,53.6,52.8,56.8
106,428,310,194,107,424,311,245,105,427,311,244,105,426,313,256,104,431,314,255,60.8,48.9,51.1,53.9,59.3,47.6,49.8,54.4,58.1,52.3,52.0,53.5,55.3,49.6,49.3,50.5,57.3,53.3,53.4,54.5
120,455,331,199,121,452,332,253,121,450,328,252,120,453,323,259,121,449,321,258,59.3,48.6,50.8,53.2,56.4,46.9,48.8,54.5,57.6,52.9,51.6,53.7,53.8,48.4,49.0,51.1,55.8,53.8,53.5,54.5
105,406,295,179,104,414,294,237,106,414,296,240,107,410,306,256,109,411,311,254,60.5,48.1,53.7,57.4,58.0,47.1,51.8,57.7,59.3,52.7,53.7,57.7,53.8,48.7,49.2,54.8,58.5,53.9,54.4,57.8
107,424,299,206,107,424,297,254,105,418,296,251,108,422,292,261,109,422,291,267,62.2,48.1,53.6,56.8,58.9,47.1,50.2,55.7,59.6,52.9,54.2,55.3,55.7,48.7,50.2,51.2,56.9,54.0,53.4,55.1
106,409,310,176,105,408,313,240,105,412,315,241,106,406,316,253,103,410,315,249,62.1,47.3,50.3,57.9,59.4,45.7,49.1,56.2,59.3,51.6,52.1,57.0,55.6,47.0,49.5,54.1,57.0,52.5,53.2,58.1
95,419,326,196,96,415,326,264,98,414,328,263,92,418,322,274,93,420,323,271,56.9,48.4,50.2,53.9,57.2,48.0,48.2,54.4,56.8,52.7,51.6,55.3,50.4,48.7,48.0,52.2,53.8,54.0,53.9,54.9
78,403,304,200,77,408,302,245,77,409,300,249,83,409,305,262,84,408,303,267,60.9,47.5,49.4,57.3,58.3,47.1,47.9,56.4,57.6,52.8,50.6,56.6,53.7,49.5,47.5,53.2,54.7,53.6,52.7,56.8
108,435,299,201,109,437,304,272,106,440,301,272,105,437,295,287,102,438,297,278,61.3,48.0,51.0,55.7,57.3,47.5,49.2,55.1,59.5,53.3,53.7,58.2,53.6,49.4,48.5,54.3,56.8,54.0,55.1,56.8
110,437,311,180,110,432,305,244,113,431,306,240,109,430,315,251,112,426,311,258,58.2,47.0,50.8,55.9,53.4,46.7,50.0,56.1,54.3,51.0,54.1,55.7,52.0,48.3,50.0,52.6,53.5,53.2,53.3,56.8
103,472,332,187,103,469,331,236,103,465,330,235,104,461,331,248,105,460,333,251,59.1,47.4,49.1,58.6,55.8,47.7,48.0,56.6,56.3,52.7,51.4,56.9,54.4,49.5,48.6,54.3,55.6,54.0,54.4,59.0
108,438,334,199,110,438,337,263,110,438,337,262,112,438,327,284,109,445,325,280,60.2,47.4,49.1,53.9,57.6,47.3,47.0,54.3,59.2,52.0,50.9,53.7,54.3,49.1,47.6,52.3,56.4,53.4,52.5,55.0
108,466,372,224,109,461,371,275,111,466,368,276,107,473,376,300,109,461,374,301,59.2,46.3,49.8,52.5,56.9,48.0,47.3,52.6,56.5,52.7,51.9,54.5,52.8,48.4,49.5,52.8,55.8,53.9,52.5,55.3
127,456,335,206,127,460,334,263,124,456,339,265,129,456,335,275,127,462,341,275,57.2,46.2,49.8,54.0,54.8,47.1,46.5,53.9,53.2,51.3,51.7,54.1,48.0,48.8,48.0,52.0,54.0,53.3,52.7,55.3
150,476,358,241,151,475,360,303,150,473,355,305,149,479,360,318,152,475,353,317,58.2,48.5,50.0,54.4,54.4,46.8,48.3,54.3,56.2,52.8,51.7,54.8,53.1,50.6,48.7,52.7,53.0,53.3,53.5,56.5
130,468,357,207,130,468,356,275,132,469,363,270,132,459,351,282,135,461,353,288,58.3,47.3,51.4,53.3,55.7,46.2,49.8,53.7,55.9,51.3,52.3,53.2,52.9,49.4,49.9,51.8,55.6,53.7,54.1,56.1
166,514,363,250,165,520,365,315,165,520,359,315,164,517,368,333,160,513,365,331,58.6,47.2,50.9,54.1,55.2,47.2,47.6,52.7,56.4,52.4,52.9,54.5,50.4,49.6,48.0,51.3,53.4,54.0,52.7,54.1
193,502,365,243,190,498,359,317,192,494,361,318,190,501,365,339,189,506,368,328,56.9,45.9,50.2,54.0,51.9,47.0,48.4,53.4,55.3,50.8,54.4,53.0,50.5,49.4,49.4,50.6,53.6,53.6,54.4,55.9
226,512,332,256,227,511,334,313,221,508,335,316,220,505,330,337,220,507,333,344,54.3,48.2,50.0,54.4,52.0,46.0,47.6,54.3,53.7,52.1,51.4,53.7,50.7,49.0,48.5,53.5,52.9,53.2,52.0,56.8
264,490,356,290,264,488,360,376,268,489,358,369,265,494,356,391,263,484,355,389,50.0,47.6,49.6,51.1,50.8,45.8,46.4,50.4,51.5,51.0,51.4,53.3,48.7,47.8,48.2,50.8,53.3,51.9,53.9,54.5
273,469,378,296,273,472,379,363,269,477,374,366,276,471,376,375,280,475,377,380,50.9,47.3,48.6,49.5,50.3,44.1,46.0,52.3,53.6,50.0,51.7,53.0,48.5,47.9,47.2,50.6,52.8,52.6,52.7,53.9
334,416,344,313,330,415,342,381,329,418,350,384,321,419,346,411,312,424,340,412,51.4,51.1,49.8,51.1,49.4,48.8,47.3,51.7,53.3,52.7,51.3,52.5,49.8,47.8,48.0,52.4,54.4,53.3,52.2,54.7
314,389,339,305,311,391,340,371,317,389,337,370,324,394,340,400,327,390,345,397,49.0,51.2,49.8,51.3,49.1,48.5,45.3,50.8,51.6,52.6,52.8,52.6,48.1,50.1,47.9,50.0,54.1,53.2,51.5,54.9
338,375,330,290,339,378,329,353,332,374,332,354,333,378,332,384,333,375,331,382,49.3,50.7,50.2,52.0,46.7,47.4,47.6,51.4,51.7,52.0,51.9,52.8,47.7,49.3,48.8,53.2,52.1,52.4,52.6,56.8
318,361,323,270,324,360,325,359,325,365,321,355,322,359,322,387,327,368,323,389,52.5,50.4,51.4,52.0,49.2,48.0,48.5,52.3,53.5,51.8,52.3,52.5,48.8,46.2,49.5,52.5,54.9,53.4,53.5,56.2
337,388,342,284,334,382,346,365,339,380,348,368,337,382,346,401,334,383,348,402,50.7,51.3,51.2,51.8,46.8,47.6,47.1,51.7,52.3,52.1,51.5,53.3,47.6,48.1,47.2,52.4,54.4,53.2,53.1,55.9
326,347,316,271,327,354,308,338,321,355,307,333,320,356,311,368,321,353,307,360,49.2,50.5,50.9,52.3,45.8,49.5,47.8,52.1,51.3,51.6,52.3,52.5,45.8,48.5,47.7,51.1,52.4,53.3,52.3,55.8
281,360,312,279,281,358,315,332,282,355,316,336,282,353,316,363,286,358,316,371,54.2,52.1,51.0,52.6,51.6,46.9,48.9,51.5,56.3,53.6,51.1,53.8,51.3,50.6,47.6,52.8,55.2,53.9,51.8,56.1
311,365,322,306,314,362,321,369,316,368,320,369,317,366,317,386,316,360,315,375,50.5,50.4,51.8,53.2,47.3,48.0,48.1,50.8,51.5,50.3,51.2,52.9,47.8,47.7,47.7,53.7,52.7,53.5,53.2,55.2
292,361,305,258,290,363,307,308,291,367,309,309,288,370,310,332,287,374,309,345,51.2,52.0,50.5,52.1,49.3,49.2,47.8,51.7,51.5,52.0,52.7,52.9,48.3,48.8,47.7,51.0,52.2,52.7,52.6,55.5
288,360,308,253,287,356,308,297,289,352,311,295,294,351,317,327,291,350,317,323,50.9,50.0,52.1,54.7,48.2,47.5,49.3,54.1,51.6,52.0,53.7,55.4,48.5,49.3,49.5,53.1,51.7,53.1,53.7,56.9
255,392,331,260,259,394,332,317,259,394,327,320,260,388,328,336,259,388,333,336,52.9,49.8,50.4,52.8,51.6,47.9,49.2,51.8,52.9,51.3,52.9,53.8,50.3,49.3,49.1,52.8,54.2,53.6,53.2,53.0
290,387,337,271,290,393,332,320,285,385,336,318,282,392,335,351,285,392,340,351,52.4,49.1,49.1,53.4,51.2,47.8,49.9,53.9,53.9,52.1,51.4,54.6,50.2,48.9,50.2,53.9,54.9,53.3,52.8,57.3
263,376,325,255,261,368,328,309,268,377,322,308,266,373,316,329,268,373,315,328,53.0,49.8,50.0,55.0,51.1,46.4,48.6,53.1,53.9,52.8,53.0,54.0,50.5,48.6,49.3,53.2,54.7,53.9,53.3,56.2
171,282,237,223,177,290,242,280,177,293,250,286,185,305,262,304,188,309,263,302,53.6,48.8,51.4,55.4,52.1,46.0,48.8,53.7,53.0,50.0,54.3,55.1,49.6,47.3,47.5,52.9,53.5,51.8,53.9,56.4
