UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Gate.lN.22 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Gate.lE.24 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Gate.lS.26 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Gate.lW.28 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 starts 	 UGABusRoutesModel.UGABusRoutes.1 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sN.4 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sE.6 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sS.8 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Source.sW.10 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 starts 	 Gate.lN.22 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Gate.lN.22 	 at time 0.0.
Gate.lN.22 	 resumes 	 Source.sW.10 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 0.0.
Source.sW.10 	 resumes 	 Gate.lE.24 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Gate.lE.24 	 at time 0.0.
Gate.lE.24 	 resumes 	 Gate.lW.28 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Gate.lW.28 	 at time 0.0.
Gate.lW.28 	 resumes 	 Bus.b.53 	 at time 0.0.
Transport.ra3.49 	 moves for 2915.026044100523 	 Bus.b.53 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 0.0.
Bus.b.53 	 resumes 	 Source.sN.4 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 0.0.
Source.sN.4 	 resumes 	 Gate.lS.26 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Gate.lS.26 	 at time 0.0.
Gate.lS.26 	 resumes 	 Bus.b.54 	 at time 0.0.
Transport.ra0.36 	 moves for 2998.4192670322955 	 Bus.b.54 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 0.0.
Bus.b.54 	 resumes 	 Source.sE.6 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 0.0.
Source.sE.6 	 resumes 	 Source.sS.8 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 0.0.
Source.sS.8 	 resumes 	 Bus.b.55 	 at time 0.0.
Transport.ra1.41 	 moves for 2936.4281904883683 	 Bus.b.55 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 0.0.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 0.0.
Transport.ra2.45 	 moves for 2964.7024424746633 	 Bus.b.56 	 at time 0.0.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 0.0.
Bus.b.56 	 resumes 	 Bus.b.53 	 at time 121.45941850418846.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 121.45941850418846.
Bus.b.53 	 resumes 	 Bus.b.54 	 at time 124.93413612634565.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 124.93413612634565.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 139.82991383277945.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 139.82991383277945.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 141.17630678450777.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 141.17630678450777.
Bus.b.56 	 resumes 	 Bus.b.53 	 at time 242.91883700837693.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 242.91883700837693.
Bus.b.53 	 resumes 	 Bus.b.54 	 at time 249.8682722526913.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 249.8682722526913.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 279.6598276655589.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 279.6598276655589.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 282.35261356901555.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 282.35261356901555.
Bus.b.56 	 resumes 	 Bus.b.53 	 at time 364.3782555125654.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 364.3782555125654.
Bus.b.53 	 resumes 	 Bus.b.54 	 at time 374.80240837903693.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 374.80240837903693.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 419.4897414983384.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 419.4897414983384.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 423.5289203535233.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 423.5289203535233.
Bus.b.56 	 resumes 	 Bus.b.53 	 at time 485.83767401675385.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 485.83767401675385.
Bus.b.53 	 resumes 	 Bus.b.54 	 at time 499.7365445053826.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 499.7365445053826.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 559.3196553311178.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 559.3196553311178.
Bus.b.55 	 resumes 	 Bus.b.56 	 at time 564.7052271380311.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.56 	 at time 564.7052271380311.
Bus.b.56 	 resumes 	 Bus.b.53 	 at time 607.2970925209423.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.53 	 at time 607.2970925209423.
Bus.b.53 	 resumes 	 Bus.b.54 	 at time 624.6706806317283.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.54 	 at time 624.6706806317283.
Bus.b.54 	 resumes 	 Bus.b.55 	 at time 699.1495691638972.
UGABusRoutesModel.UGABusRoutes.1 	 schedules agent 	 Bus.b.55 	 at time 699.1495691638972.
