S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,131,80,33,190,129,80,33,185,128,81,31,183,126,80,33.45,30.38,27.64,27.51,33.45,30.57,27.59,27.43,33.45,30.35,27.80,27.46,33.45,30.31,27.80,27.45,33.45,30.46,27.89,27.39
41,256,179,92,40,255,180,100,39,256,181,99,39,256,179,102,40,255,179,102,33.46,29.87,27.46,27.91,33.46,29.81,27.36,27.91,33.45,29.58,27.39,27.99,33.45,29.28,27.49,27.97,33.45,29.89,27.50,27.83
67,347,208,109,68,345,210,132,68,342,206,130,67,339,204,137,67,337,202,136,33.32,29.50,26.89,27.37,33.29,29.17,26.48,27.22,33.28,28.99,26.67,27.26,33.31,28.66,26.65,27.29,33.29,29.44,26.77,27.16
82,383,259,128,81,382,258,170,81,384,260,171,81,385,261,172,82,382,258,172,33.16,29.31,26.73,27.63,33.16,28.72,26.46,27.56,33.15,28.86,26.55,27.58,33.17,28.48,26.65,27.63,33.17,29.32,26.73,27.37
101,423,285,150,102,421,285,184,101,422,285,184,101,419,281,188,100,421,282,185,33.70,28.89,26.75,23.09,33.67,27.58,26.49,23.13,33.66,28.49,26.58,23.31,33.67,27.87,26.73,23.21,33.62,28.86,26.76,23.29
166,518,350,197,164,518,347,252,164,513,348,248,162,510,347,261,162,508,346,264,33.79,26.88,26.57,22.25,33.94,25.92,25.76,22.47,33.97,26.55,25.84,22.30,34.01,26.22,25.94,22.38,33.87,27.03,26.23,22.47
270,525,410,243,268,524,411,323,268,523,407,324,268,523,409,343,267,521,407,338,33.18,23.97,23.70,21.56,33.05,23.03,23.28,21.54,33.03,24.24,23.84,21.40,33.06,24.64,24.62,21.55,33.01,25.03,24.35,21.77
362,462,366,310,362,460,362,383,362,458,363,380,359,456,363,412,357,455,365,409,28.99,15.47,16.94,17.62,27.68,15.42,16.62,17.68,28.40,16.00,17.45,17.91,27.92,16.11,17.14,17.79,28.92,16.96,18.08,18.47
333,411,377,326,330,408,377,395,327,407,376,397,327,408,368,416,328,409,365,415,26.87,11.42,12.94,14.18,26.62,11.77,12.78,15.24,26.93,11.77,13.06,15.03,26.85,11.47,13.60,15.01,27.20,12.79,14.02,15.53
334,404,368,305,344,403,361,380,340,402,356,376,338,401,357,404,337,394,354,403,25.20,7.77,8.01,11.21,24.06,10.07,10.17,12.07,24.52,9.87,10.19,11.91,25.19,10.27,10.61,12.04,25.15,11.06,11.27,12.75
329,384,333,298,331,385,332,378,335,384,331,378,336,375,330,395,334,380,329,392,23.19,7.92,9.44,10.15,23.08,9.22,10.00,11.02,23.31,9.42,9.87,10.79,23.82,9.50,10.13,10.65,23.89,10.28,10.78,11.39
308,387,334,302,307,385,335,367,306,386,338,366,305,398,339,382,306,397,343,390,24.43,8.01,9.18,10.76,24.11,9.31,9.85,11.36,24.50,9.54,9.37,11.27,25.06,9.60,9.53,11.34,24.85,10.26,10.28,11.75
206,424,331,284,208,427,335,358,214,429,335,364,219,426,338,384,223,430,343,387,28.02,14.55,15.19,15.25,27.42,14.67,14.98,15.65,27.58,14.42,14.84,15.18,27.65,14.30,14.74,15.12,27.81,14.95,15.00,15.45
126,421,308,209,127,426,308,274,126,432,315,275,128,437,319,301,127,441,318,300,32.21,25.53,24.66,22.41,32.24,24.32,23.70,22.08,32.26,24.71,23.70,21.93,32.21,24.14,23.85,21.65,32.22,24.41,23.87,21.86
105,427,309,204,107,425,311,264,107,424,308,265,106,422,308,274,108,423,309,274,33.96,30.13,28.88,25.56,34.04,29.69,27.69,25.12,34.04,29.03,28.23,25.31,34.05,28.85,27.95,25.36,33.95,29.13,28.58,25.31
123,436,344,199,122,438,346,246,122,440,347,245,122,444,347,259,121,442,345,259,34.66,30.63,28.25,25.74,34.61,30.26,27.57,25.33,34.56,29.90,28.24,25.45,34.62,29.44,27.84,25.67,34.52,29.74,28.69,25.69
104,414,297,178,105,414,297,229,104,410,295,230,105,411,297,241,104,413,302,243,33.73,29.34,26.88,25.08,33.72,28.84,26.62,25.04,33.72,28.92,26.79,25.20,33.77,28.72,26.92,25.29,33.69,29.17,27.04,25.21
105,433,300,199,104,430,298,242,105,430,301,243,103,430,302,256,104,427,301,256,33.46,28.74,27.76,23.73,33.45,27.88,26.94,23.71,33.45,28.64,27.16,23.88,33.46,28.20,27.24,24.12,33.48,29.23,27.48,23.98
96,420,314,167,96,419,315,225,97,420,314,226,97,420,313,240,95,421,312,237,33.36,29.06,27.75,24.03,33.35,28.17,27.19,24.01,33.35,28.65,27.60,24.02,33.37,28.22,27.40,24.08,33.36,29.33,27.98,24.06
118,425,311,182,117,426,311,239,117,430,311,237,119,431,309,246,120,432,307,250,33.27,29.24,28.15,24.07,33.27,28.50,27.56,24.12,33.26,28.77,28.01,24.13,33.29,28.51,27.92,24.33,33.26,29.41,28.63,24.12
90,411,298,185,91,412,298,240,91,406,300,240,90,408,300,250,90,407,302,250,33.34,29.11,27.84,24.21,33.34,28.26,27.36,24.16,33.33,28.87,27.86,24.14,33.35,28.47,27.64,24.42,33.34,29.44,28.21,24.25
105,416,319,209,106,414,319,275,104,418,316,274,104,414,318,284,105,416,317,280,33.45,29.21,28.06,24.73,33.43,28.49,27.17,24.49,33.42,28.97,27.57,24.42,33.44,28.56,27.39,24.59,33.42,29.39,27.92,24.25
99,424,318,193,98,424,317,252,99,425,315,252,101,423,313,269,100,418,314,271,33.39,29.09,27.31,24.68,33.38,28.18,26.68,24.35,33.38,28.87,26.94,24.33,33.40,28.46,27.05,24.46,33.39,29.47,27.32,24.32
109,463,337,188,106,465,337,245,107,460,340,247,105,460,338,262,106,464,336,261,33.24,28.91,27.70,24.72,33.24,27.81,26.77,24.42,33.23,28.49,27.01,24.40,33.25,28.06,26.95,24.53,33.24,29.14,27.32,24.30
118,446,315,204,121,444,316,268,120,444,314,267,120,446,314,290,120,443,316,291,33.40,28.87,26.56,24.72,33.38,27.97,26.24,24.63,33.37,28.72,26.41,24.74,33.39,28.25,26.53,24.76,33.38,29.32,26.61,24.57
118,473,360,218,117,476,359,265,117,479,360,265,117,476,361,286,117,478,360,286,33.32,28.83,26.66,24.54,33.32,27.51,26.31,24.43,33.31,28.42,26.59,24.63,33.33,27.98,26.50,24.88,33.32,29.00,26.79,24.64
126,460,331,218,125,460,334,286,126,459,333,285,125,464,335,301,126,463,337,301,33.19,29.22,28.17,25.61,33.17,28.39,27.54,25.21,33.15,28.79,28.20,25.39,33.19,28.53,27.70,25.43,33.18,28.95,28.47,25.35
161,466,362,240,162,461,359,294,160,462,359,290,160,460,358,312,159,462,356,312,32.77,28.46,26.82,25.70,32.77,26.89,26.49,25.26,32.76,27.67,26.78,25.52,32.81,27.09,26.80,25.71,32.81,28.11,27.12,25.81
131,482,333,223,129,483,333,286,129,480,333,292,129,479,335,306,129,476,336,306,33.53,28.84,27.69,25.62,33.49,27.58,27.15,25.19,33.47,28.46,27.51,25.34,33.49,27.93,27.33,25.56,33.39,28.92,27.86,25.61
174,528,355,244,177,527,355,307,175,528,356,305,176,527,352,316,175,525,352,317,33.52,28.60,26.86,25.51,33.45,27.42,26.54,25.11,33.45,28.03,26.81,25.31,33.49,27.57,26.77,25.57,33.38,28.69,27.07,25.62
182,491,381,245,179,497,380,320,183,495,379,317,182,497,380,339,183,498,378,337,33.45,28.68,27.72,25.54,33.38,27.61,27.03,25.10,33.37,28.25,27.49,25.24,33.43,27.71,27.24,25.36,33.37,28.73,28.04,25.50
241,478,353,247,243,475,355,309,241,476,356,311,239,474,354,327,237,474,353,328,32.79,26.28,26.44,24.68,32.78,25.84,25.58,24.63,32.72,26.15,25.84,24.78,32.81,26.09,25.90,24.89,32.79,26.44,26.32,24.85
250,500,356,291,247,499,352,370,243,499,351,369,242,496,353,378,241,494,354,371,28.83,21.39,22.08,21.46,28.58,21.13,22.09,21.66,29.13,22.15,22.40,21.53,28.95,21.93,22.12,21.40,29.53,22.67,22.78,21.96
280,435,365,320,283,437,368,384,287,439,369,383,288,439,366,400,287,441,365,401,26.64,18.70,18.46,19.01,26.33,18.23,17.95,19.37,26.47,18.71,18.61,19.18,26.63,18.91,18.92,19.28,26.79,19.43,19.47,19.78
296,420,355,335,294,414,353,406,292,412,348,400,291,410,347,427,289,408,346,421,23.12,13.39,14.74,15.38,23.00,13.45,15.33,16.28,23.41,13.46,14.90,16.29,23.26,13.70,15.71,16.57,23.72,14.58,16.01,16.79
