S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,132,80,33,191,129,80,33,187,128,81,31,183,127,80,33.27,29.95,27.34,27.12,33.27,29.94,27.50,27.19,33.27,29.57,27.53,27.51,33.36,29.50,27.86,27.17,33.36,30.67,27.94,27.05
41,256,179,92,40,255,179,100,39,255,181,99,39,255,179,102,40,255,179,102,33.37,28.87,26.84,27.58,33.37,28.78,27.04,27.72,33.37,28.92,27.33,27.76,33.37,28.52,27.54,27.90,33.37,29.95,27.88,27.70
67,347,208,110,70,343,210,132,70,340,206,131,69,336,204,137,69,336,201,136,33.05,26.80,25.36,26.99,32.74,27.07,25.25,27.08,32.97,27.08,25.89,27.23,32.86,26.98,25.46,27.24,33.15,29.01,26.87,26.78
82,383,259,127,81,383,258,171,81,380,260,172,81,382,259,173,82,380,259,173,32.95,26.01,25.35,27.41,32.95,26.25,25.15,27.21,32.95,26.36,26.08,27.55,33.03,26.13,26.13,27.49,33.12,28.73,27.21,27.10
101,420,285,150,102,420,285,183,101,425,285,182,104,420,283,188,104,418,282,184,33.40,25.17,25.34,22.10,33.33,25.32,25.23,22.44,33.38,25.09,26.15,22.97,33.19,25.20,26.19,23.28,33.06,27.12,27.24,23.03
166,518,350,197,175,501,343,252,176,494,343,250,176,489,344,262,175,492,343,263,33.49,22.57,24.02,20.91,32.61,22.58,23.98,21.05,32.50,22.93,23.97,20.90,32.35,23.10,23.89,22.05,32.50,24.70,26.88,22.15
269,521,410,243,268,523,407,323,269,523,402,317,271,523,399,337,270,512,396,336,31.69,20.23,20.16,19.46,31.59,19.32,19.97,17.05,31.81,20.81,19.95,17.82,31.71,21.55,20.68,19.42,32.67,24.21,22.90,21.69
363,452,364,309,372,451,358,374,371,452,361,373,368,448,359,404,367,452,363,400,26.66,11.06,11.58,12.43,26.58,13.97,12.13,10.22,26.12,15.50,15.23,12.46,26.47,16.63,15.02,15.81,27.80,19.19,19.24,18.69
330,411,369,320,329,413,378,387,329,410,377,384,327,418,371,401,327,420,368,405,24.83,11.04,11.54,11.48,24.83,11.94,11.67,10.39,24.96,13.86,13.21,12.16,26.22,14.93,13.37,14.43,27.35,14.85,15.50,16.21
334,418,365,303,334,418,379,362,332,412,374,370,332,407,376,395,331,403,376,393,22.12,10.13,10.16,10.20,22.37,10.70,10.58,9.87,22.44,11.48,10.87,11.17,22.88,11.79,11.37,12.56,25.16,12.34,12.51,13.07
