S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,193,134,68,33,188,131,80,33,186,129,80,31,179,126,80,30,177,123,79,31.50,23.78,23.32,22.65,27.14,22.09,20.83,21.64,30.76,24.86,23.47,24.90,31.69,25.80,22.65,25.31,33.04,27.31,24.53,26.18
41,254,179,92,40,256,180,100,39,257,179,99,40,259,178,102,40,257,180,101,27.41,23.19,22.61,25.08,26.31,22.42,20.08,22.06,29.31,25.19,22.08,25.42,31.83,25.56,23.27,25.37,33.07,26.52,24.75,26.46
67,346,208,108,68,343,205,131,68,336,202,130,66,336,201,137,66,336,201,137,26.47,23.18,22.24,23.05,26.14,23.23,19.80,20.81,28.43,26.14,22.39,23.44,30.72,26.24,22.31,23.78,32.02,27.01,23.44,24.75
81,383,259,129,80,384,260,171,81,386,262,170,83,381,260,173,83,379,255,172,27.52,22.96,20.93,24.71,25.76,23.08,19.95,21.65,27.47,26.26,22.94,24.08,25.72,26.40,23.49,23.22,29.63,26.95,24.57,24.47
102,420,285,150,102,421,283,183,100,421,282,183,100,424,281,184,98,421,283,185,27.22,22.96,21.47,18.93,24.97,23.20,20.13,19.24,27.67,26.58,23.02,20.80,26.58,26.49,23.78,20.35,29.56,26.78,24.62,21.84
163,518,347,195,164,515,346,250,164,512,345,250,162,508,345,263,163,507,342,260,26.49,22.83,21.21,19.86,23.22,22.73,20.80,18.34,25.44,26.11,24.16,19.51,26.45,26.76,24.09,18.33,27.80,26.30,24.63,20.48
269,526,413,243,266,525,413,324,264,520,415,321,263,523,411,339,261,524,410,337,24.86,21.92,21.23,19.15,24.93,22.28,20.22,18.19,27.70,24.69,23.60,18.98,28.74,24.93,24.04,18.99,28.76,24.83,23.73,20.40
362,466,363,310,360,464,364,380,361,468,360,378,356,463,363,415,355,459,366,410,21.78,16.71,16.83,16.10,22.10,16.05,16.03,14.24,25.73,17.93,17.70,16.28,26.04,19.36,19.02,17.48,26.59,18.99,18.91,18.19
329,414,381,326,331,410,378,400,329,406,381,398,328,408,377,417,327,413,371,416,21.91,12.70,13.13,13.82,20.77,13.98,13.91,13.58,24.32,13.77,14.54,14.75,24.52,14.35,15.26,15.29,25.52,14.51,15.03,15.69
339,411,370,307,335,414,367,381,332,418,361,380,334,411,361,406,336,407,363,407,20.46,11.30,11.42,11.42,20.30,11.67,11.49,11.33,23.03,12.12,12.12,12.11,23.95,11.64,11.47,12.36,23.56,12.60,12.64,12.85
329,380,334,298,332,378,334,379,336,379,334,379,336,384,333,397,336,382,332,397,19.39,11.34,11.90,11.38,19.23,11.09,11.69,11.83,21.92,11.42,11.29,11.97,22.75,10.37,11.73,11.90,22.71,11.11,12.04,11.96
306,383,331,303,306,387,333,365,302,387,337,366,305,384,337,382,302,389,336,385,20.86,10.58,10.53,11.18,19.62,11.13,11.70,11.43,22.38,10.87,11.69,12.18,22.77,11.23,11.81,11.72,23.57,10.89,11.47,12.28
211,422,329,281,213,421,331,357,220,418,332,362,222,422,334,381,225,423,340,386,21.97,15.58,15.11,14.75,20.25,14.86,15.93,14.36,22.97,16.46,16.25,14.92,23.77,15.23,16.26,15.41,24.52,16.19,16.12,15.82
126,420,306,210,128,425,308,274,127,430,310,274,128,431,313,299,130,430,316,299,26.94,21.74,20.27,19.90,23.66,21.60,19.74,18.43,26.59,23.85,22.49,19.75,26.54,23.45,22.75,19.15,27.66,23.51,22.37,20.17
105,423,307,204,106,422,306,262,107,420,307,260,106,425,309,273,106,429,306,271,27.90,23.55,21.84,20.58,24.27,23.81,21.92,19.21,27.10,26.94,25.34,21.85,26.77,27.01,25.36,22.40,28.81,27.40,26.08,22.63
123,441,348,199,121,441,351,247,121,443,347,249,123,440,346,257,122,439,342,259,27.07,23.80,21.84,20.98,23.76,24.29,21.92,20.20,28.33,27.50,25.81,21.46,26.54,27.45,25.81,22.34,28.77,28.24,26.50,22.48
104,412,298,180,106,410,295,230,105,411,298,231,102,415,299,243,103,414,305,242,27.58,23.24,21.21,22.49,25.74,23.99,20.27,20.13,27.94,27.32,23.98,21.84,28.86,27.64,24.47,22.79,30.71,28.15,25.11,23.27
105,432,296,197,103,432,300,242,103,433,299,243,104,426,300,258,103,425,299,257,26.22,23.02,21.48,20.09,24.68,22.99,20.75,18.43,27.28,26.89,23.90,19.86,27.64,27.25,24.31,20.73,29.87,27.56,25.13,21.24
96,415,317,168,97,418,313,226,96,417,317,226,96,421,316,235,99,425,317,237,26.51,23.39,22.08,20.99,25.70,22.86,21.12,18.43,28.41,26.60,24.48,20.27,26.13,27.42,25.34,20.59,29.67,27.31,25.82,21.01
118,430,310,182,117,433,309,239,120,432,305,238,121,431,306,250,119,428,306,251,26.41,22.83,21.62,21.04,24.51,23.57,21.43,18.01,28.12,27.34,24.78,20.38,26.72,27.33,25.71,21.03,28.73,27.44,25.80,21.48
90,410,301,184,91,407,301,240,90,406,302,239,90,410,303,253,91,411,302,253,26.55,23.23,21.35,22.02,24.36,23.33,20.69,17.98,28.87,26.81,24.64,20.36,28.07,27.22,25.64,21.18,30.28,27.77,25.77,21.81
105,416,315,210,104,412,318,274,104,416,317,274,104,415,318,280,104,412,313,275,27.25,23.41,21.42,20.07,25.12,23.57,20.98,18.27,27.74,26.92,24.99,20.80,26.73,27.42,25.93,21.52,28.76,27.64,25.90,21.61
99,424,319,191,100,427,313,251,100,424,314,253,101,420,313,269,100,423,317,272,27.48,23.24,21.89,20.51,25.18,23.39,20.96,18.55,26.70,26.54,24.44,19.93,27.24,27.08,24.94,21.18,29.99,27.27,25.27,22.12
106,462,337,189,106,459,341,246,105,462,337,245,103,462,337,262,104,461,334,260,26.91,23.74,21.88,20.43,25.10,23.89,21.54,19.00,27.05,27.20,24.86,20.39,28.02,27.53,25.04,21.27,29.50,27.44,25.23,22.13
121,445,314,204,120,445,315,268,121,440,316,266,120,443,311,290,120,442,313,294,25.32,24.01,21.54,20.60,23.96,23.70,20.57,18.64,26.43,26.91,24.36,20.64,25.96,27.50,24.35,21.73,28.55,27.50,24.82,22.61
