S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,132,80,33,191,129,80,33,187,128,81,31,183,127,80,33.44,30.33,27.62,27.42,33.40,30.34,27.53,27.37,33.43,30.20,27.62,27.43,33.42,30.64,27.81,27.24,33.44,30.77,27.91,27.33
41,256,179,92,40,255,179,100,39,255,181,99,39,255,179,102,40,255,179,102,33.45,29.30,27.38,27.97,33.45,29.51,27.16,27.90,33.45,29.42,27.27,27.93,33.45,29.26,27.53,27.98,33.43,29.78,27.76,27.92
67,347,208,109,68,345,210,132,68,343,206,130,67,339,204,137,67,338,201,136,33.27,28.76,26.47,27.26,33.20,28.95,26.30,27.21,33.21,28.68,26.65,27.15,33.39,28.43,26.86,27.27,33.35,29.25,27.05,27.01
82,383,259,128,81,383,258,171,81,383,260,172,81,384,260,172,82,382,258,173,33.12,28.33,26.36,27.60,33.06,28.43,26.00,27.47,33.09,28.30,26.39,27.43,33.21,27.96,26.50,27.64,33.21,29.02,27.05,27.57
101,422,285,150,102,420,285,183,101,422,285,183,101,420,282,188,101,422,283,184,33.55,27.95,26.33,22.79,33.54,27.42,26.00,23.10,33.60,27.31,26.26,23.08,33.55,27.45,26.58,23.42,33.65,28.55,27.04,23.31
166,519,350,197,165,514,347,252,164,509,347,250,163,508,346,262,162,506,343,264,33.93,23.17,25.67,21.87,33.64,22.51,24.76,22.00,33.77,24.10,25.22,22.00,33.67,24.56,25.56,21.91,33.90,25.67,26.45,22.36
270,514,410,243,271,512,409,323,273,514,406,322,272,511,404,343,271,511,406,337,32.34,17.15,21.26,20.89,32.01,19.21,21.20,21.01,32.14,20.36,22.21,20.91,32.36,21.86,22.70,20.79,32.81,23.75,24.40,21.66
362,438,365,310,366,440,361,383,365,439,363,380,362,439,366,411,361,436,365,410,28.14,6.24,12.96,15.67,27.81,16.08,14.27,17.18,27.74,16.64,15.29,16.15,28.00,17.40,16.00,16.71,28.87,19.00,18.48,18.28
332,423,358,325,329,415,350,395,328,407,340,394,327,399,339,411,327,393,339,407,26.41,5.54,6.56,11.63,25.94,13.36,13.23,14.30,26.28,13.47,13.44,12.99,26.66,13.90,13.57,13.62,27.36,15.29,15.28,15.75
335,376,361,290,336,377,366,363,333,382,372,363,332,390,358,389,331,397,348,392,24.17,4.86,5.39,8.05,23.62,11.07,10.98,11.91,23.87,11.30,11.24,10.78,23.79,11.38,11.36,11.55,25.33,12.72,12.79,12.97
329,393,335,282,333,397,328,364,335,397,320,363,337,396,317,376,335,396,313,372,22.53,4.53,4.52,4.34,22.58,9.82,10.39,11.01,22.34,9.91,10.43,10.03,22.95,10.00,10.44,10.54,23.76,11.29,11.75,11.70
309,398,352,280,305,399,355,346,304,399,353,346,302,400,352,373,304,400,354,374,24.01,4.64,4.50,4.32,23.79,9.88,10.19,11.29,23.88,9.86,10.16,10.62,23.62,9.86,10.16,10.79,24.96,11.12,11.45,11.84
205,433,338,337,210,433,343,410,216,436,353,415,221,438,371,434,224,441,384,442,27.62,5.90,12.13,12.71,27.05,14.38,13.94,14.73,27.29,14.40,13.50,14.23,27.12,14.17,13.12,13.88,27.62,15.95,15.08,15.13
126,443,307,210,128,447,311,274,126,447,316,275,128,448,318,299,127,446,318,300,32.23,22.27,23.15,22.00,32.09,22.00,22.34,21.70,32.16,22.67,22.46,21.25,32.15,22.55,21.99,21.30,32.14,23.79,23.74,21.62
105,427,309,204,106,424,310,264,107,423,308,265,107,424,309,274,108,428,310,274,34.07,28.82,28.08,24.94,33.93,28.16,27.90,24.99,33.98,28.34,27.74,24.81,33.90,28.96,27.73,24.50,33.98,29.37,28.36,25.13
123,436,345,199,122,439,347,246,122,442,348,246,121,443,348,259,121,437,346,260,34.45,29.23,27.96,25.30,34.50,28.64,27.75,25.16,34.62,28.99,27.65,24.94,34.64,29.39,27.85,24.85,34.70,30.17,28.64,25.49
104,414,298,179,105,414,297,229,105,411,295,229,105,412,296,242,105,418,300,243,33.47,28.99,26.65,24.93,33.44,28.51,26.14,24.94,33.60,28.41,26.29,24.78,33.54,28.79,26.86,24.79,33.70,29.43,27.41,25.21
105,433,299,198,104,429,297,242,104,430,300,243,103,430,302,256,103,428,301,255,33.44,28.04,27.02,23.25,33.35,27.87,26.39,23.58,33.42,27.89,26.88,23.27,33.44,28.10,27.13,23.73,33.43,28.85,27.72,23.89
96,420,315,167,96,421,316,225,97,419,315,226,97,420,313,240,95,419,313,236,33.32,28.29,27.53,23.77,33.20,27.96,27.07,23.78,33.25,27.97,27.46,23.62,33.41,28.04,27.53,23.92,33.36,29.04,28.12,24.09
118,425,310,182,118,425,310,239,117,430,311,237,119,431,308,246,120,433,307,251,33.24,28.51,27.94,23.73,33.07,28.08,27.76,23.97,33.10,27.96,27.86,23.98,33.32,28.31,27.98,23.88,33.25,29.00,28.65,24.11
90,411,298,185,90,411,299,240,91,407,300,240,90,408,301,250,90,407,302,250,33.30,28.45,27.57,23.88,33.20,28.21,27.30,24.12,33.27,28.12,27.78,23.99,33.37,28.16,27.85,24.14,33.33,29.12,28.35,24.28
105,416,319,209,106,416,318,275,104,417,315,274,104,414,317,284,105,416,317,281,33.27,28.64,27.24,24.24,33.22,28.27,26.81,24.41,33.31,28.20,27.37,24.01,33.40,28.29,27.48,24.08,33.45,29.22,28.10,24.48
99,423,318,193,98,423,317,252,99,425,316,252,101,421,314,268,100,419,314,270,33.33,28.57,26.61,24.32,33.24,28.02,25.80,24.28,33.31,28.00,26.43,24.10,33.41,28.18,26.77,24.05,33.37,29.11,27.52,24.36
109,464,337,188,106,464,338,245,107,461,339,247,105,462,337,263,106,462,335,261,33.17,27.43,26.85,24.32,33.04,27.40,26.13,24.32,33.07,27.53,26.63,24.03,33.24,27.47,26.78,24.23,33.25,28.44,27.58,24.38
118,445,316,204,121,444,315,268,120,444,314,267,120,438,314,289,120,438,317,292,33.35,27.99,26.12,24.29,33.20,27.54,25.54,24.54,33.27,27.56,26.02,24.21,33.33,27.85,26.18,24.24,33.32,28.87,26.94,24.63
118,474,360,218,117,478,359,267,117,477,360,265,117,485,362,286,117,484,359,285,33.28,27.62,25.96,24.04,33.09,27.32,25.29,24.19,33.17,27.16,25.82,24.04,33.37,27.21,26.13,24.07,33.31,28.08,26.97,24.66
126,461,331,218,126,459,334,284,126,461,334,285,125,462,335,303,126,463,338,301,33.14,28.12,27.86,25.07,32.98,27.87,27.55,25.04,33.00,27.90,27.49,24.67,33.21,28.25,27.57,24.75,33.20,29.28,28.31,25.26
161,464,361,240,161,461,359,293,160,462,358,290,160,461,358,310,159,462,356,311,32.43,27.05,26.45,25.11,32.44,25.68,25.41,24.97,32.54,26.24,26.07,24.81,32.87,26.84,26.44,24.63,32.82,27.96,27.27,25.39
131,483,333,222,129,483,333,287,129,480,334,292,130,472,335,307,129,472,336,307,33.23,27.28,27.41,25.15,33.22,26.75,26.85,24.87,33.31,26.90,27.34,24.78,33.27,27.13,27.48,24.07,33.45,28.09,28.11,25.13
174,528,355,245,177,529,356,307,175,521,356,305,175,525,352,315,176,522,351,317,33.17,26.09,26.51,25.00,33.07,25.20,25.47,24.90,33.23,25.37,26.13,24.68,33.23,25.52,26.39,24.65,33.48,26.88,27.22,25.30
182,491,381,245,179,493,380,320,182,502,379,317,182,504,380,339,182,504,380,339,32.97,27.27,27.27,25.02,32.89,26.80,26.66,24.85,33.07,25.83,27.03,24.60,33.02,25.79,27.16,24.04,33.37,27.20,28.21,25.12
241,477,353,247,244,474,354,309,243,472,354,311,240,473,352,327,239,473,349,326,32.59,23.34,25.33,24.40,32.07,22.94,24.57,24.24,32.08,24.22,24.96,24.20,32.68,24.35,25.40,23.93,32.70,25.83,26.47,24.85
250,487,355,291,255,469,351,370,252,466,352,368,252,463,354,375,249,467,357,371,28.74,12.78,20.50,20.97,28.74,15.64,20.04,20.90,28.60,20.32,21.20,20.42,28.77,21.41,21.79,19.20,29.11,22.92,23.00,21.36
280,449,366,320,286,456,369,384,288,459,367,383,289,459,365,401,289,450,364,400,26.29,10.44,14.58,17.39,25.78,14.51,16.09,18.44,26.18,16.50,17.08,17.91,26.44,17.36,17.29,17.45,27.01,20.12,19.64,19.40
296,393,346,327,292,393,340,401,292,389,338,397,289,384,340,424,288,383,338,424,22.39,5.83,10.23,12.79,22.45,14.04,13.49,15.35,22.44,14.24,13.26,13.97,23.01,14.40,13.47,15.18,23.77,16.38,16.11,16.90
309,405,327,320,307,406,330,398,304,411,330,400,301,417,327,445,300,423,329,443,19.45,4.75,8.03,9.68,19.16,12.96,12.04,13.28,19.75,12.99,12.04,11.09,20.03,13.17,12.26,13.13,21.30,14.43,14.05,14.62
320,391,311,291,323,390,313,356,324,389,314,358,325,383,314,387,326,374,313,383,17.27,4.91,6.74,10.49,17.28,12.00,11.60,12.41,17.79,12.07,11.45,12.06,17.74,12.07,11.49,12.12,19.52,13.43,13.22,13.46
321,336,317,272,319,336,316,344,318,337,317,339,318,343,316,375,318,352,315,379,16.98,5.10,6.55,10.26,16.81,12.03,11.49,11.27,17.58,12.01,11.48,10.87,17.56,12.00,11.59,11.27,19.40,13.37,13.12,12.31
332,403,342,299,330,406,342,377,330,406,341,378,328,405,341,414,327,405,341,414,13.77,4.71,4.62,8.69,15.36,11.64,11.11,10.57,15.95,11.64,11.09,9.84,15.90,11.52,11.20,10.61,18.01,12.92,12.46,11.57
332,315,286,277,331,306,286,347,330,295,286,348,329,282,285,371,327,279,284,368,13.14,4.55,4.36,4.29,14.13,10.87,10.55,10.65,14.00,11.03,10.62,9.83,14.33,11.05,10.65,9.92,16.69,12.34,11.97,11.18
311,376,278,281,312,383,277,338,314,388,277,338,315,387,277,368,317,379,276,372,14.63,4.63,4.30,4.31,15.22,10.30,10.36,10.15,15.27,10.24,10.26,9.69,15.25,10.27,10.13,9.94,17.15,11.60,11.49,10.95
