S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,132,80,33,191,129,80,33,187,128,81,31,183,126,80,33.40,30.44,27.57,27.44,33.40,30.43,27.51,27.33,33.43,30.42,27.64,27.40,33.41,30.79,27.67,27.35,33.44,30.79,27.92,27.41
41,256,179,92,40,255,179,100,39,255,181,99,39,255,179,102,40,255,180,102,33.45,29.65,27.29,28.00,33.45,29.45,27.12,27.90,33.45,29.37,27.33,27.99,33.45,29.21,27.45,27.98,33.44,29.88,27.77,27.99
67,347,208,110,68,345,210,132,68,343,206,130,67,339,204,137,67,338,201,136,33.20,28.91,26.46,27.27,33.20,28.78,26.15,27.22,33.23,28.72,26.36,27.14,33.21,28.55,26.73,27.28,33.29,29.32,26.99,26.92
82,384,259,127,81,382,258,171,81,383,260,171,81,384,260,172,82,382,259,173,33.07,28.78,26.51,27.59,33.06,28.33,26.06,27.43,33.11,28.11,26.32,27.40,33.11,28.12,26.68,27.54,33.17,29.07,27.15,27.49
101,421,285,150,102,421,285,183,101,422,285,184,101,420,282,188,101,422,282,184,33.66,27.89,26.57,23.01,33.53,27.82,26.05,23.12,33.55,27.74,26.22,23.05,33.54,27.81,26.65,23.33,33.66,28.57,27.16,23.30
166,519,350,197,165,515,347,252,164,509,347,250,163,509,346,263,162,507,343,264,33.87,24.10,25.57,22.04,33.70,22.88,24.65,22.30,33.96,24.23,25.26,22.21,33.90,24.74,25.53,22.36,34.10,25.71,26.32,22.54
270,515,410,243,268,515,410,323,269,518,407,322,268,512,406,342,267,512,407,337,32.38,17.58,21.41,21.09,32.07,18.48,21.23,21.00,32.51,20.05,22.41,20.72,32.26,22.58,22.69,20.79,32.61,24.00,24.38,21.63
362,449,365,310,363,455,358,383,363,454,360,380,359,454,362,412,358,450,362,412,28.24,6.73,13.28,15.92,28.24,15.49,13.41,17.17,27.96,16.47,15.73,15.73,27.92,17.01,16.28,16.68,28.86,18.69,18.49,18.39
332,413,368,325,330,404,364,395,328,398,361,394,328,392,357,412,328,387,349,412,26.23,5.43,6.72,12.14,25.84,13.24,13.10,14.30,26.59,13.46,13.34,13.35,26.78,13.74,13.63,13.75,27.48,15.16,15.26,15.66
335,402,363,289,336,399,366,362,333,395,365,363,332,389,362,387,330,387,357,385,24.03,4.83,4.61,8.30,23.61,11.13,11.27,12.01,23.95,11.25,11.27,10.96,23.74,11.52,11.41,11.40,25.27,12.75,12.67,12.82
330,354,290,299,333,364,281,382,335,372,281,379,337,385,283,394,336,393,293,392,22.74,4.42,4.46,4.39,22.77,9.88,10.53,11.02,22.47,9.98,10.47,10.28,22.80,10.07,10.57,10.63,23.76,11.32,11.72,11.69
308,409,339,282,305,410,347,347,304,409,347,348,302,410,346,372,304,411,346,373,24.10,4.70,4.42,4.32,23.82,9.92,10.23,11.42,23.86,9.91,10.21,10.83,23.56,9.86,10.22,10.69,24.95,11.12,11.46,11.85
205,436,384,319,211,435,384,392,216,438,384,397,221,442,389,417,224,444,393,423,27.59,6.38,11.79,13.05,27.41,14.02,13.56,15.01,27.48,13.73,13.64,14.32,27.26,13.86,13.56,14.02,27.62,15.71,15.22,15.39
126,440,307,210,127,444,311,274,126,444,316,275,128,444,318,299,127,443,318,300,32.22,22.75,23.11,21.83,32.15,22.07,22.49,21.79,32.18,22.59,22.54,21.43,32.22,22.79,22.23,21.60,32.15,24.04,23.41,21.98
105,427,309,204,106,425,310,264,107,424,308,265,107,424,309,274,108,428,311,274,33.97,29.33,28.14,24.96,33.96,28.41,28.11,24.98,34.06,28.71,27.79,24.76,34.03,29.02,27.63,24.38,34.06,29.45,28.28,24.95
123,436,345,199,122,438,347,246,122,441,349,246,121,443,348,259,121,441,345,259,34.59,29.28,28.25,25.27,34.47,28.59,27.81,25.05,34.60,29.16,27.71,25.06,34.69,29.73,27.73,24.81,34.72,30.03,28.65,25.37
104,414,298,179,105,414,297,229,105,411,294,229,105,412,296,242,105,414,300,244,33.66,28.90,26.54,24.95,33.44,28.45,26.02,25.01,33.55,28.69,26.54,24.73,33.54,29.14,26.74,24.69,33.72,29.64,27.45,25.22
105,433,299,198,104,430,297,242,104,431,300,243,103,430,302,256,103,428,301,255,33.34,28.29,27.11,23.48,33.35,27.80,26.68,23.63,33.42,27.75,27.07,23.16,33.38,28.23,27.15,23.61,33.47,28.98,27.75,23.97
96,420,315,167,96,420,316,225,97,419,315,226,97,420,313,239,95,420,313,236,33.21,28.50,27.57,23.91,33.19,27.99,27.34,24.06,33.28,27.96,27.45,23.92,33.23,28.32,27.42,23.91,33.33,29.08,28.23,24.02
118,425,310,182,118,425,310,239,117,430,311,237,119,431,309,247,120,432,307,251,33.08,28.46,27.89,24.00,33.06,28.09,27.82,24.02,33.17,28.10,27.76,23.87,33.11,28.52,27.94,23.85,33.23,29.42,28.62,24.08
90,411,298,185,90,411,299,240,91,407,300,240,90,409,300,250,90,407,303,250,33.19,28.51,27.74,24.09,33.19,28.11,27.60,24.18,33.26,28.18,27.61,23.92,33.21,28.47,27.76,24.03,33.31,29.37,28.32,24.19
105,416,318,209,106,416,318,275,104,417,315,274,104,413,317,283,105,416,316,281,33.24,28.46,27.27,24.26,33.23,28.16,26.99,24.43,33.34,28.16,27.46,24.00,33.26,28.53,27.54,24.00,33.38,29.50,28.12,24.50
99,423,319,192,98,423,317,252,99,425,316,252,101,422,314,269,100,419,314,270,33.22,28.42,26.76,24.04,33.22,28.03,26.04,24.31,33.33,28.10,26.63,24.03,33.24,28.48,26.90,24.08,33.36,29.50,27.57,24.36
109,464,337,189,106,465,337,245,107,461,339,247,105,461,338,262,106,462,336,261,33.03,27.60,26.96,24.20,33.04,27.45,26.41,24.31,33.09,27.64,26.80,24.05,33.13,27.59,26.91,24.13,33.26,28.62,27.66,24.41
118,445,316,204,121,444,317,268,120,444,314,267,120,442,313,290,120,439,316,292,33.23,28.04,26.20,24.47,33.20,27.50,25.53,24.48,33.29,27.54,26.00,24.45,33.23,28.11,26.30,24.34,33.36,29.19,26.99,24.71
118,474,360,218,117,477,358,267,117,477,360,265,117,480,362,286,117,483,359,285,33.10,27.97,25.73,24.35,33.09,27.18,25.27,24.25,33.22,27.25,26.11,24.37,33.14,27.43,26.29,24.21,33.29,28.38,27.12,24.75
