S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,133,79,33,190,131,78,33,185,136,73,31,183,135,72,33.35,30.91,27.86,27.48,33.33,30.91,27.71,27.44,33.35,30.88,27.92,27.43,33.36,30.91,27.51,27.49,33.36,30.91,27.90,25.33
41,256,179,92,40,255,179,100,39,256,181,99,39,256,179,102,40,254,179,102,33.35,30.27,27.88,28.05,33.37,30.26,27.88,28.02,33.36,30.27,27.88,28.03,33.37,30.28,27.89,28.02,33.30,20.42,27.89,27.38
67,347,208,109,68,348,205,132,68,346,201,130,74,337,199,134,76,334,198,133,33.30,30.13,27.10,27.38,33.32,30.10,27.10,27.07,32.94,29.56,18.77,27.03,31.79,29.75,27.00,27.33,32.79,18.26,26.77,26.08
82,383,259,128,80,384,259,171,81,385,261,172,81,391,259,170,82,382,255,171,33.13,30.18,27.29,26.81,33.13,30.18,27.53,27.59,33.12,30.17,26.96,27.47,33.14,29.21,26.85,27.75,33.06,16.63,27.51,23.45
101,423,285,150,102,419,286,182,101,421,286,182,101,423,280,186,101,430,281,181,29.86,29.93,27.33,23.08,33.68,29.94,27.53,22.98,33.67,29.94,27.51,23.04,33.65,29.93,27.20,23.41,33.67,25.57,26.55,19.18
166,518,350,197,164,535,337,248,165,514,332,246,244,457,307,254,240,447,306,259,34.08,28.95,27.26,22.75,33.82,28.58,25.98,21.94,33.67,25.73,13.58,22.65,28.55,27.54,26.04,22.69,24.85,22.25,25.73,16.77
270,525,410,243,266,534,457,268,267,542,450,266,343,503,393,286,344,505,393,282,27.38,26.49,25.56,22.07,32.72,25.91,23.82,14.82,32.87,24.04,18.92,22.05,27.49,24.84,22.98,22.30,22.79,13.41,20.31,14.79
362,463,366,310,378,462,357,367,377,466,366,365,403,455,376,372,405,444,373,368,29.49,4.02,19.43,19.04,27.36,20.01,19.02,17.92,26.76,13.81,15.91,8.96,24.75,18.69,18.76,18.57,17.04,14.72,13.20,14.16
333,413,379,326,368,378,398,370,369,364,388,373,319,459,385,366,322,457,382,361,28.04,14.34,15.63,15.35,24.95,3.81,15.31,15.82,20.57,13.93,14.49,15.17,22.17,14.00,15.15,16.19,17.82,10.93,12.72,9.40
334,408,368,305,361,428,354,353,360,429,360,348,388,402,381,336,385,406,374,338,25.86,2.56,3.26,12.90,22.39,11.31,12.43,12.83,21.27,8.64,9.79,12.55,19.79,12.76,12.14,10.98,14.14,8.63,9.20,10.81
329,379,333,298,340,388,353,339,342,390,353,339,380,392,335,334,379,378,342,335,24.49,2.23,11.27,6.72,19.29,5.03,11.63,11.46,19.59,8.92,6.49,8.10,16.83,11.31,5.63,5.11,14.66,9.16,9.39,10.40
308,385,332,304,313,388,364,330,308,380,365,332,310,406,360,343,324,420,364,344,25.52,7.40,10.82,12.09,21.58,11.90,10.87,12.24,20.65,9.67,8.34,11.50,19.30,10.85,6.56,11.21,15.23,8.50,9.91,6.22
