S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,134,68,33,190,131,80,33,187,128,80,32,182,127,80,30,180,125,80,27.96,24.20,24.45,24.01,29.34,23.05,23.38,25.28,31.76,25.62,24.78,26.27,33.03,24.84,25.62,26.31,33.43,28.08,27.18,27.28
41,256,179,92,40,256,180,100,39,256,181,99,39,257,179,103,40,255,178,100,27.69,23.56,23.40,25.68,26.35,23.22,23.21,25.54,30.41,25.48,23.58,25.81,33.13,26.36,25.43,26.90,33.43,27.87,26.76,27.35
67,345,208,109,68,342,206,131,68,340,203,130,67,334,200,136,66,335,200,138,27.38,23.07,22.86,21.85,26.49,23.92,21.68,24.55,28.75,25.80,23.15,24.29,30.79,26.32,23.48,24.33,32.61,27.47,25.74,26.43
82,383,260,128,80,385,261,172,81,385,261,170,82,386,260,173,83,383,260,172,23.51,23.49,22.05,25.50,26.68,24.10,22.00,24.47,30.04,26.93,23.61,24.83,30.65,27.58,24.08,25.40,32.47,27.80,25.65,26.30
101,420,285,150,102,420,283,183,100,420,282,185,100,420,280,186,100,418,278,185,30.44,23.40,21.72,20.77,26.43,24.09,21.52,20.94,30.01,26.64,23.02,21.90,30.16,27.34,23.80,21.42,32.26,27.95,25.62,22.45
164,518,348,196,164,516,348,250,164,515,350,248,163,509,349,263,161,510,343,261,28.18,23.09,21.65,18.42,25.58,24.10,22.48,19.61,28.88,26.65,23.21,20.42,26.80,27.50,24.83,19.87,30.80,26.43,25.69,21.14
269,524,409,243,267,524,409,324,266,521,408,322,261,521,410,338,261,518,413,339,23.73,21.61,20.87,17.58,23.08,22.39,21.03,18.56,26.99,24.24,23.51,19.36,27.17,25.47,23.80,19.63,29.63,24.75,24.33,20.69
363,468,368,311,362,462,365,383,361,463,366,381,358,465,367,416,356,464,368,410,22.60,16.42,15.94,16.19,23.73,16.38,16.36,16.27,25.88,17.16,17.65,16.56,27.94,19.37,17.98,18.02,26.52,18.74,19.01,17.91
331,414,378,325,328,413,378,396,328,410,376,399,329,408,372,416,329,411,369,416,20.99,13.79,14.08,15.17,22.83,13.92,15.17,15.11,24.24,14.91,14.53,15.52,25.68,15.37,15.31,14.98,26.38,14.65,15.40,15.87
335,409,370,306,334,414,366,381,332,413,362,375,334,412,359,404,334,407,360,405,20.19,12.56,12.62,12.87,20.88,12.60,12.69,12.69,23.02,12.24,12.16,13.25,24.13,12.86,12.84,13.23,23.81,12.79,12.86,13.22
332,380,333,298,336,376,334,379,338,377,332,379,338,382,332,396,337,381,329,395,19.12,11.40,12.00,11.95,20.65,11.43,12.02,11.98,21.95,11.39,11.95,12.04,22.35,11.51,12.03,12.06,23.30,11.55,12.08,12.05
306,383,332,304,303,389,333,364,301,390,338,366,302,385,337,383,302,391,338,385,20.02,11.60,11.82,12.53,20.01,11.59,11.83,12.51,22.64,11.58,11.65,12.12,23.22,11.32,11.73,12.46,23.68,11.51,11.85,12.44
207,424,330,282,213,422,334,359,219,423,332,361,222,424,335,383,226,422,341,386,24.05,15.58,15.39,14.99,22.18,15.70,15.09,15.30,23.78,16.37,15.63,15.68,24.92,17.04,15.79,15.74,25.78,16.62,16.21,15.88
127,420,305,209,127,423,306,273,126,426,312,276,127,431,315,298,128,429,314,300,26.58,21.55,20.37,18.96,23.84,22.31,20.50,20.08,27.68,23.32,21.83,19.74,26.41,25.09,22.95,19.47,29.67,24.36,22.49,20.36
105,426,309,203,107,424,308,264,107,421,305,265,107,423,309,275,106,429,309,273,29.07,23.47,22.30,21.65,26.40,24.00,22.75,21.51,28.42,27.18,25.24,22.07,28.40,26.55,26.80,22.94,32.05,28.34,26.10,23.10
123,435,347,200,122,438,347,245,121,442,348,242,122,441,346,256,122,444,345,258,28.63,24.19,22.38,20.75,26.03,25.11,23.29,21.12,29.81,28.30,25.60,22.74,28.44,28.39,27.23,22.96,32.65,29.66,26.60,23.27
104,413,298,178,104,412,299,230,105,411,300,234,104,413,301,244,103,413,303,240,29.45,23.33,22.05,22.17,25.65,24.67,22.78,21.09,29.25,27.42,23.47,22.52,29.08,28.05,25.66,23.34,32.30,28.63,26.02,23.93
104,429,296,199,104,431,298,242,104,429,298,243,103,428,299,258,103,426,301,260,26.48,23.71,22.30,20.75,25.47,25.08,22.97,20.85,30.73,27.18,25.02,21.31,29.02,27.78,26.24,19.81,31.86,28.48,26.61,22.28
97,422,317,167,97,418,314,226,96,422,314,224,96,420,313,237,98,420,315,234,25.75,23.04,22.19,20.41,24.81,24.17,21.81,20.64,29.77,26.51,23.81,22.09,28.85,27.57,25.74,21.71,31.83,28.42,25.80,22.70
118,428,308,182,117,431,311,239,119,431,309,239,120,434,307,250,119,433,305,252,25.75,23.24,22.33,20.15,24.96,23.77,23.20,20.65,29.13,27.03,25.42,21.83,28.50,27.49,27.05,21.94,31.47,28.44,26.06,22.80
90,409,300,185,91,408,300,240,90,406,300,238,90,407,304,249,90,408,305,252,26.24,23.42,21.92,19.85,25.39,24.23,22.59,21.03,29.23,26.94,24.73,21.30,29.37,27.73,26.27,21.82,31.82,28.15,26.32,22.83
105,416,318,209,104,417,316,275,104,415,318,274,104,414,318,281,106,411,313,280,26.20,23.09,22.11,20.71,25.62,24.16,22.74,21.05,29.82,27.26,24.36,21.44,27.74,27.64,26.54,22.39,31.45,28.51,26.85,23.21
99,424,317,190,99,424,317,250,100,422,314,253,101,421,313,270,99,421,317,269,25.14,23.28,21.76,21.25,24.60,24.25,22.97,21.40,29.01,26.62,24.03,22.23,28.94,27.91,25.86,22.44,31.47,28.23,26.63,23.17
108,462,338,191,107,460,338,246,105,465,338,246,105,461,335,260,106,467,331,258,25.93,22.95,22.11,21.29,25.33,24.74,23.17,21.00,29.84,27.09,24.78,21.03,29.66,28.05,26.14,21.81,32.10,28.60,26.63,22.98
119,446,316,204,120,446,313,268,121,441,313,268,119,443,316,291,118,434,319,293,26.38,23.19,21.61,21.25,24.64,24.37,21.99,20.67,28.98,26.94,23.81,21.97,28.01,27.73,25.16,21.93,30.95,28.48,26.02,22.97
118,475,359,217,118,478,361,265,117,480,363,263,118,477,360,287,118,479,356,286,25.67,23.64,21.62,21.27,24.59,24.57,23.05,20.98,28.03,27.27,24.98,21.91,27.75,27.67,26.42,22.52,30.73,28.33,26.68,23.14
126,461,332,219,125,458,335,286,125,461,334,286,126,463,334,302,127,468,338,304,26.02,24.09,22.49,20.69,23.84,25.07,23.08,20.87,29.91,28.00,25.61,21.79,28.67,28.74,27.34,23.20,31.50,28.57,26.58,23.32
160,463,361,239,161,463,358,290,161,464,357,290,160,463,359,307,160,460,358,305,26.05,23.28,21.47,20.06,23.17,24.47,23.09,20.77,27.82,27.43,24.36,21.99,26.33,28.33,26.76,23.01,29.70,27.14,26.53,23.15
129,482,332,221,129,481,333,290,129,478,336,293,128,477,335,310,128,477,336,308,25.70,23.97,22.00,20.81,24.84,25.12,23.30,21.31,28.86,27.99,24.66,22.40,28.11,28.37,26.11,23.16,31.07,28.71,26.08,22.80
175,527,356,246,175,527,354,306,175,528,351,302,174,530,351,314,170,526,352,318,25.88,22.78,21.39,20.23,23.92,24.74,22.55,21.02,28.38,27.52,24.59,22.11,26.21,27.86,26.43,23.07,29.67,28.16,26.09,23.15
181,495,380,243,182,495,380,319,182,491,382,319,183,496,381,340,187,497,379,339,25.48,23.12,22.39,20.41,23.55,24.45,23.34,21.10,27.67,27.19,25.82,22.16,26.54,27.73,27.53,22.95,30.34,28.29,26.23,22.83
243,477,354,250,241,478,357,310,238,481,357,313,235,474,352,328,228,474,349,330,24.60,22.47,21.33,21.35,23.31,23.41,21.68,20.52,27.62,25.74,23.45,22.23,27.78,26.69,25.29,22.74,29.65,26.86,25.56,23.32
248,500,354,291,243,501,351,370,243,500,351,367,243,500,355,373,247,498,357,369,23.34,20.52,19.13,18.40,22.70,21.77,20.51,18.33,24.01,22.88,21.62,19.62,26.29,22.02,22.54,19.63,26.47,23.50,22.87,20.63
283,438,370,319,288,439,371,384,289,440,371,384,288,438,370,403,287,442,367,399,21.62,17.53,17.90,18.00,21.82,18.22,17.95,17.44,22.85,17.97,18.47,17.93,23.79,19.82,18.56,18.06,25.21,20.57,19.60,19.43
294,421,354,336,293,414,353,406,293,413,348,401,292,415,348,428,291,412,347,426,19.68,15.03,15.80,15.46,21.08,15.39,15.48,15.66,21.09,15.06,15.40,15.79,20.11,15.50,15.07,15.91,23.03,16.70,16.71,16.80
308,402,326,313,306,405,323,397,304,405,321,397,303,404,318,446,299,405,321,448,17.46,14.16,14.33,14.84,17.65,13.26,13.46,13.98,18.48,13.64,13.71,14.62,18.91,13.57,13.69,14.95,20.36,14.65,14.71,14.39
323,383,327,293,324,382,328,356,326,381,333,361,324,382,334,390,330,381,329,385,16.74,13.05,13.79,13.89,17.55,13.28,13.00,13.12,18.46,13.76,13.83,13.96,17.54,13.49,13.60,13.71,19.12,13.63,13.72,13.63
320,368,309,271,319,367,311,343,316,367,309,340,319,361,307,371,316,363,308,378,16.90,13.54,12.70,12.58,18.01,12.89,12.85,12.56,18.45,14.00,13.63,12.15,17.81,13.10,13.28,12.64,19.13,13.36,13.68,12.68
