S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,193,134,68,33,189,130,80,33,185,128,80,32,180,125,80,31,177,123,80,30.63,23.62,22.76,23.78,28.16,22.45,20.41,22.14,30.12,25.22,22.84,24.52,31.58,25.38,23.04,24.47,33.04,27.22,25.47,26.17
41,256,179,92,40,255,181,100,39,258,180,99,40,258,181,103,40,259,178,100,29.70,22.63,21.98,23.28,27.40,21.56,20.18,21.82,29.49,25.53,22.05,24.64,31.81,26.01,22.60,23.98,32.93,26.44,24.68,26.23
67,345,208,109,68,344,205,131,68,335,202,130,65,335,201,135,65,332,202,136,27.80,22.99,22.22,23.40,25.88,22.71,20.17,21.87,28.53,25.87,22.20,23.72,28.31,26.13,22.20,23.33,31.42,26.86,23.59,25.02
81,381,259,128,81,382,260,171,81,388,261,170,83,383,258,174,84,379,258,172,27.98,23.27,21.58,23.60,26.04,23.72,20.34,22.60,27.74,26.59,23.07,23.17,28.01,26.73,23.47,23.46,30.44,26.88,24.75,24.30
102,422,285,150,102,421,285,184,100,416,283,183,98,417,281,185,97,420,281,186,27.11,22.07,20.29,20.30,24.36,22.55,19.76,20.18,27.34,26.33,22.98,20.90,27.83,26.59,24.05,20.57,29.68,26.65,24.58,21.41
163,514,349,194,162,513,344,250,164,514,346,250,164,512,344,261,163,511,341,259,24.46,23.15,21.05,18.62,24.00,22.39,20.85,18.48,26.19,25.40,23.83,19.22,25.87,26.27,24.21,19.55,28.80,25.78,24.12,20.51
268,528,410,244,267,528,411,323,264,524,409,319,263,524,411,342,260,521,410,339,23.22,22.41,21.21,18.59,23.49,22.36,20.09,17.69,27.62,24.72,23.13,18.73,28.09,24.54,23.32,19.18,29.41,24.34,23.57,20.02
364,463,365,310,363,463,366,380,361,466,368,379,355,464,367,412,358,463,369,412,22.65,16.63,16.33,16.31,21.70,15.94,16.40,14.63,25.70,18.59,17.68,16.93,26.46,17.86,18.29,16.92,26.53,18.53,18.98,17.69
329,417,378,326,327,412,378,399,325,408,378,400,331,408,372,420,329,411,369,416,21.58,12.44,13.30,13.73,20.73,13.30,14.35,13.21,24.61,13.81,14.81,14.29,24.43,14.40,15.18,14.96,24.85,14.69,15.34,15.61
338,412,372,307,334,412,366,383,335,416,361,379,331,411,362,403,332,407,362,404,21.22,11.24,11.01,12.15,20.15,12.30,12.36,11.17,22.70,11.52,11.39,11.60,23.65,11.54,11.39,12.02,24.32,12.47,12.50,12.60
331,380,333,298,336,379,334,376,338,379,333,379,337,384,333,396,336,382,330,397,19.56,10.63,10.79,10.50,18.97,10.51,11.57,11.11,21.73,10.98,10.94,11.23,22.39,10.17,11.49,11.59,22.62,11.17,11.36,11.76
305,383,332,303,303,388,333,367,300,388,336,366,306,385,338,383,304,389,339,385,20.67,11.55,11.74,10.88,19.05,11.01,11.11,11.50,22.21,11.40,10.64,11.43,22.71,10.79,11.06,11.32,23.03,11.11,11.54,11.83
210,423,330,281,214,422,332,357,221,422,335,363,222,422,334,384,225,423,338,386,21.53,15.54,15.43,14.75,20.93,16.78,15.83,14.61,23.62,17.20,14.45,15.06,23.46,17.27,16.24,15.53,24.60,15.42,16.21,15.56
