S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,133,79,33,190,131,78,33,185,136,73,31,183,135,72,33.36,30.92,27.86,27.47,33.37,30.92,27.71,27.44,33.34,30.87,27.92,27.44,33.35,30.92,27.55,27.49,33.37,30.92,27.90,25.08
41,256,179,92,40,255,179,100,39,256,181,99,39,256,179,102,40,254,179,102,33.38,30.26,27.87,28.04,33.37,30.27,27.88,28.02,33.36,30.28,27.88,28.05,33.38,30.28,27.88,28.02,33.29,20.20,27.88,27.13
67,347,208,109,68,348,205,132,68,346,201,130,70,341,200,133,72,338,198,132,33.31,30.13,27.10,27.38,33.32,30.09,27.09,27.16,33.31,29.64,18.97,27.23,32.63,30.08,26.99,27.28,32.66,17.08,27.13,25.35
82,383,259,128,80,384,259,170,81,385,261,172,82,390,265,165,81,387,261,166,33.14,30.17,27.26,27.51,33.12,30.18,27.54,27.75,33.14,30.18,26.99,27.74,33.13,30.13,25.86,27.68,33.14,15.91,27.30,23.29
101,423,285,150,101,421,285,183,100,423,285,182,104,422,278,185,104,424,280,180,29.89,29.93,27.31,23.10,33.68,29.94,27.53,23.00,33.67,29.73,27.54,23.03,33.30,29.93,27.42,23.36,32.75,25.23,25.92,19.95
166,518,350,197,164,537,337,247,165,516,332,244,239,461,318,252,233,459,319,257,33.96,28.94,27.27,22.78,33.91,28.59,26.18,21.37,33.85,25.77,14.97,22.32,30.19,27.68,26.32,22.68,26.45,22.66,24.91,15.96
270,525,410,243,261,540,458,265,261,541,448,266,319,542,377,280,318,537,374,276,26.91,26.49,25.57,22.03,32.20,26.09,24.31,14.87,33.39,22.78,18.38,21.67,29.49,25.30,21.96,22.30,26.27,11.80,20.88,16.32
362,463,366,310,422,425,350,369,413,436,361,365,447,434,356,357,453,438,358,344,29.63,3.22,19.44,19.04,27.50,19.25,19.01,17.90,27.86,14.49,17.55,9.64,26.27,18.00,18.94,18.60,17.24,13.90,13.77,14.84
333,413,379,326,362,385,395,372,377,364,389,375,371,422,373,351,367,422,373,360,28.04,14.33,15.55,15.47,25.18,4.16,15.34,15.72,20.16,13.63,13.90,14.55,22.48,14.30,15.35,15.70,18.90,11.16,13.37,10.05
334,408,368,305,361,426,352,354,361,423,355,349,378,421,395,340,378,410,393,334,25.82,1.93,2.73,12.83,21.97,11.47,12.55,12.69,20.12,10.75,11.01,12.97,19.25,12.95,12.51,9.88,15.51,8.49,9.19,10.79
329,379,333,298,334,391,358,340,342,391,355,341,359,371,360,341,356,369,357,343,24.42,2.04,11.21,6.91,20.14,4.97,11.52,11.40,19.41,8.15,7.17,7.24,17.81,12.35,4.46,4.29,14.82,9.92,8.83,10.20
308,385,332,304,322,377,354,336,322,378,358,337,318,401,362,345,336,406,363,348,25.52,6.50,10.73,12.18,20.38,11.38,11.07,12.35,19.85,10.15,7.24,11.01,19.05,11.74,7.09,10.82,13.93,9.13,9.57,6.64
206,424,331,282,232,414,348,339,239,417,342,340,249,458,319,348,254,451,323,349,28.33,17.50,16.76,17.09,25.46,17.57,16.57,16.40,25.27,17.09,15.50,16.28,23.39,16.00,9.25,10.42,20.15,11.91,14.05,10.38
126,421,308,209,152,396,310,267,161,392,322,270,192,373,322,289,188,375,320,290,31.62,26.40,24.55,22.80,29.29,20.92,25.10,22.70,28.67,20.54,23.71,22.43,28.98,24.81,22.76,19.95,26.51,21.71,21.55,12.55
105,426,308,204,108,427,312,263,108,426,310,264,112,422,308,270,118,421,313,271,34.00,30.26,29.40,25.68,33.38,30.71,29.25,25.13,34.00,30.18,29.13,25.48,33.39,30.14,29.12,25.18,30.37,28.93,28.82,16.81
123,437,345,199,119,466,324,245,125,460,325,245,165,396,327,257,168,398,324,256,34.53,31.63,13.40,25.87,34.60,30.97,28.51,25.93,34.31,14.72,28.95,25.72,33.09,30.26,28.68,25.87,31.32,24.85,28.47,18.91
104,414,298,178,104,414,297,230,103,411,296,230,135,408,315,227,134,408,316,229,33.57,30.76,27.58,25.54,33.80,30.78,27.89,25.44,33.70,30.27,27.91,25.39,31.34,30.81,27.45,25.57,30.61,30.59,25.81,18.60
104,434,299,199,106,430,299,238,107,428,301,239,111,421,298,239,109,412,299,240,33.38,30.34,28.34,24.19,33.03,29.59,28.07,23.76,33.31,29.97,27.79,24.12,32.66,30.04,27.89,17.43,32.48,14.82,25.39,17.29
