S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,133,79,33,190,131,78,33,186,135,73,31,184,134,72,33.36,30.91,27.85,27.47,33.35,30.92,27.71,27.44,33.36,30.90,27.92,27.34,33.36,30.90,27.38,27.50,33.36,30.90,27.90,25.68
41,256,179,92,40,255,179,100,39,256,181,99,39,256,179,102,40,254,179,102,33.36,30.27,27.88,28.04,33.37,30.27,27.88,28.05,33.38,30.27,27.88,28.04,33.37,30.28,27.88,28.01,33.27,20.38,27.88,27.36
67,347,208,109,68,348,205,131,68,346,201,130,72,339,201,131,74,336,198,131,33.29,30.14,27.10,27.38,33.31,30.10,27.10,27.08,32.93,29.54,18.74,24.63,31.93,29.35,26.61,27.36,32.54,17.94,26.87,24.07
82,383,259,128,80,384,259,171,81,385,261,171,83,387,260,172,82,384,258,172,33.12,30.17,27.33,25.14,32.98,30.17,27.54,27.75,33.13,30.17,27.00,27.15,32.70,29.87,27.16,27.75,33.08,16.50,27.26,23.08
101,424,285,150,102,419,286,183,101,421,286,183,101,421,283,185,101,424,284,180,29.82,29.93,27.38,23.09,33.67,29.94,27.54,23.01,33.68,29.94,27.54,23.10,33.67,29.94,27.15,23.38,33.66,27.85,26.28,19.84
166,517,350,197,164,534,347,238,165,513,346,236,230,464,319,244,225,463,313,248,33.96,28.95,27.27,22.69,33.67,28.65,26.77,19.24,33.72,26.09,15.41,22.45,28.45,26.96,24.88,22.74,27.72,20.12,23.00,17.74
270,525,410,243,269,528,459,270,270,540,454,270,364,529,369,287,365,522,368,283,32.84,26.49,25.57,22.13,32.88,25.95,24.45,14.95,32.92,24.59,18.67,21.72,26.98,25.18,22.77,22.30,23.49,11.59,21.02,15.08
362,463,367,310,368,470,354,370,370,470,354,366,386,452,379,367,389,445,383,363,25.98,4.31,19.44,19.05,25.94,18.99,19.27,17.58,24.85,14.91,15.92,8.66,24.38,18.71,19.63,18.83,18.39,12.84,12.55,16.90
333,413,378,326,360,391,392,375,364,371,391,378,370,419,390,365,366,417,387,364,27.76,14.33,15.70,15.81,24.50,4.27,15.31,15.34,19.95,13.68,13.82,14.82,20.98,15.10,14.73,16.21,16.35,10.93,11.92,11.14
334,408,368,305,352,435,353,354,356,432,352,349,390,402,352,353,399,393,343,353,25.91,2.69,3.42,13.03,22.20,11.74,12.38,12.84,20.62,9.97,10.12,13.01,19.61,12.95,12.75,9.44,15.23,8.81,9.58,11.24
329,380,334,298,323,400,351,344,326,400,355,344,340,410,341,347,327,404,347,342,24.44,1.77,11.27,4.73,20.14,5.06,11.24,11.63,19.08,8.17,6.90,8.66,18.83,10.90,6.31,3.73,15.46,8.50,9.13,10.08
308,384,331,304,304,396,359,336,303,395,354,337,323,404,341,351,350,412,344,359,25.52,2.27,11.14,11.79,22.24,11.43,11.20,12.14,21.40,9.26,8.92,11.07,18.90,11.20,7.96,11.24,14.00,8.77,9.74,5.79
206,424,331,282,224,422,346,339,233,426,342,341,242,466,324,345,248,461,328,347,28.21,16.99,16.94,17.09,26.06,17.69,16.27,16.40,25.74,17.02,15.40,16.39,22.66,15.60,9.84,13.67,19.93,12.86,14.39,8.75
126,421,308,209,153,396,310,267,154,399,322,270,185,389,312,289,188,393,310,289,31.79,26.40,24.66,22.86,28.66,23.54,25.10,22.58,28.96,23.40,23.45,22.12,26.64,24.58,23.43,21.49,25.88,18.59,21.90,13.44
105,426,308,204,106,440,297,263,106,440,298,264,125,418,295,270,127,410,300,271,33.82,30.56,24.96,25.69,33.58,30.96,28.34,25.12,33.73,26.37,29.08,25.50,31.41,30.39,29.10,25.59,30.80,27.59,28.98,16.32
123,437,345,199,126,468,318,245,133,455,316,245,202,398,321,254,204,397,316,253,34.31,31.64,13.41,25.89,33.41,28.68,28.81,25.93,32.69,16.77,29.28,25.72,30.79,29.64,28.70,25.86,27.61,21.10,27.54,17.75
104,414,298,178,105,413,297,230,104,416,296,230,127,392,314,227,125,399,317,227,28.75,30.76,27.38,25.54,33.77,30.75,27.88,25.43,33.70,29.54,27.91,25.40,31.77,30.61,27.03,25.57,30.12,30.06,24.98,18.29
104,434,299,199,104,431,298,240,104,432,300,241,105,429,307,240,106,421,306,242,33.38,30.34,28.34,24.19,33.38,30.34,28.21,23.77,33.40,30.14,28.18,24.12,33.13,30.33,27.62,17.63,33.26,14.95,24.99,16.45
97,419,314,167,96,423,317,222,98,422,316,223,100,439,314,222,104,437,314,217,33.35,30.40,28.78,24.44,33.35,30.38,27.36,23.79,33.28,29.85,26.91,24.31,32.51,29.67,27.65,23.70,32.98,16.35,25.41,18.24
118,426,310,182,117,425,311,238,117,430,311,236,120,432,312,245,119,436,310,251,33.30,30.65,29.01,24.55,33.31,30.65,29.09,24.40,33.31,30.64,29.18,24.13,33.30,30.64,29.15,24.55,33.31,29.04,29.08,16.97
90,410,299,185,91,412,299,239,91,407,301,238,89,409,305,245,91,407,309,242,33.31,30.47,28.92,24.56,33.30,30.47,28.91,24.53,33.30,30.47,28.91,24.52,33.30,30.47,28.85,24.62,33.30,30.28,27.37,17.68
105,416,318,209,106,415,322,272,103,417,319,272,105,415,317,273,106,418,318,273,33.41,30.58,28.60,24.98,33.46,30.57,28.56,24.60,33.44,30.57,27.47,24.39,33.42,30.45,28.30,24.94,33.41,30.16,27.77,18.50
99,424,319,193,98,423,319,249,100,424,319,250,101,427,328,258,100,424,328,259,33.33,30.52,28.18,17.18,33.34,30.53,28.17,24.52,33.34,30.52,28.18,24.46,33.34,30.51,27.37,24.85,33.35,30.00,24.82,18.21
109,463,337,187,106,465,342,241,106,463,337,242,109,451,330,253,108,456,329,253,33.24,30.40,28.38,23.91,33.23,30.40,28.29,24.54,33.17,29.82,27.31,24.74,31.42,30.26,27.49,24.89,33.14,15.65,27.02,16.87
118,446,316,205,121,450,310,266,120,451,317,265,152,436,324,279,155,430,315,281,33.38,30.46,19.13,24.74,33.40,30.34,27.02,24.96,33.23,29.30,26.15,24.79,31.37,29.68,26.97,24.83,30.64,24.86,25.75,16.69
118,473,360,218,119,479,358,265,121,476,357,263,123,489,349,282,124,485,357,279,33.32,30.28,27.56,25.13,33.01,30.17,27.98,24.83,33.22,30.19,27.29,25.13,33.05,29.59,27.87,24.66,33.11,14.71,26.63,19.38
126,460,330,218,126,469,325,282,126,471,321,282,129,474,322,297,130,475,325,299,33.22,30.85,14.90,25.88,33.20,30.81,28.48,25.51,33.07,29.60,27.13,25.38,32.86,30.79,27.77,25.56,32.86,24.20,27.83,16.51
161,467,362,240,161,466,359,291,161,465,362,289,167,467,354,306,167,467,351,305,32.90,29.71,27.87,25.71,32.91,29.71,27.81,25.72,32.87,29.10,26.79,25.68,32.70,29.63,27.35,26.01,31.69,25.34,26.94,21.95
130,481,333,222,129,482,336,284,129,479,336,289,133,486,329,298,133,486,330,296,25.86,30.51,28.82,25.86,33.57,30.50,28.79,24.90,33.40,30.49,27.62,25.68,32.68,29.23,28.38,25.80,32.19,27.23,28.21,18.50
175,530,355,244,176,527,356,306,175,530,356,304,176,530,355,312,175,526,355,317,25.96,30.17,28.07,25.84,33.56,30.17,28.08,25.28,33.62,30.18,28.09,25.77,33.61,30.19,28.00,25.93,33.62,13.16,27.38,16.07
