S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,134,68,33,191,131,80,33,190,128,79,31,183,127,80,30,180,124,79,33.45,31.01,28.02,27.59,33.45,31.01,28.02,27.59,33.45,31.01,28.02,27.59,33.45,31.01,28.02,27.59,33.45,31.01,28.02,27.59
40,256,179,91,39,257,179,99,39,255,179,100,39,255,178,102,40,257,179,100,33.46,30.36,27.98,28.14,33.46,30.37,27.98,28.14,33.46,30.37,27.98,28.13,33.46,30.39,27.98,28.12,33.46,30.40,27.98,28.12
68,347,209,110,68,343,209,132,67,342,206,129,68,340,202,136,66,336,202,138,33.42,30.23,27.20,27.49,33.42,30.23,27.21,27.49,33.42,30.23,27.22,27.49,33.42,30.24,27.23,27.50,33.42,30.24,27.24,27.51
82,383,258,128,81,383,259,171,82,384,260,170,81,385,259,173,82,379,257,172,33.23,30.27,27.64,27.86,33.23,30.27,27.63,27.85,33.23,30.27,27.62,27.84,33.24,30.27,27.61,27.84,33.24,30.27,27.60,27.84
101,424,285,149,101,421,285,183,100,421,285,184,101,419,282,188,100,423,280,186,33.80,30.04,27.65,23.38,33.78,30.04,27.65,23.44,33.78,30.04,27.65,23.54,33.77,30.05,27.65,23.60,33.76,30.05,27.65,23.66
166,515,350,198,165,516,347,251,163,510,347,249,162,504,346,261,163,504,343,261,34.19,29.04,27.37,22.90,34.18,29.06,27.37,22.90,34.18,29.07,27.38,22.91,34.17,29.09,27.38,22.91,34.17,29.10,27.39,22.92
270,526,411,243,267,526,411,324,267,525,411,325,266,528,411,339,263,524,414,334,33.63,26.60,25.67,22.44,33.64,26.64,25.69,22.44,33.64,26.68,25.72,22.45,33.65,26.76,25.76,22.46,33.65,26.79,25.80,22.46
362,464,366,310,364,462,361,383,362,460,362,378,359,457,364,413,356,457,362,412,29.73,19.26,19.53,19.15,29.81,19.39,19.62,19.23,29.84,19.56,19.71,19.27,29.88,19.78,19.90,19.37,29.92,19.96,20.01,19.45
332,413,377,325,327,412,379,395,328,410,377,398,327,409,373,418,327,412,369,412,28.14,15.13,15.82,16.37,28.17,15.23,15.92,16.42,28.19,15.34,15.96,16.48,28.22,15.50,16.05,16.59,28.25,15.60,16.13,16.66
335,409,370,305,339,408,364,381,333,412,360,373,332,410,359,403,336,406,361,405,26.03,12.65,12.67,13.21,26.09,12.71,12.74,13.27,26.12,12.79,12.80,13.33,26.16,12.90,12.91,13.47,26.20,12.95,13.01,13.59
328,377,332,299,332,378,333,376,335,375,328,379,336,379,331,395,333,371,327,396,24.63,11.40,12.00,11.99,24.65,11.44,12.02,12.01,24.69,11.47,12.04,12.05,24.72,11.52,12.06,12.08,24.74,11.57,12.08,12.12
309,386,333,304,305,388,334,367,305,387,339,368,303,389,337,383,306,400,342,388,25.63,11.60,11.82,12.53,25.62,11.59,11.83,12.50,25.60,11.58,11.84,12.48,25.57,11.57,11.84,12.45,25.55,11.56,11.85,12.43
206,424,330,282,209,426,334,358,215,429,335,363,221,426,335,384,222,424,341,386,28.44,18.12,17.66,17.29,28.36,17.98,17.44,17.10,28.27,17.76,17.25,16.97,28.16,17.54,17.00,16.73,28.12,17.39,16.86,16.63
126,420,309,208,127,422,309,274,127,430,315,275,127,434,319,301,128,436,317,303,32.50,26.73,25.60,23.19,32.41,26.59,25.39,22.93,32.38,26.38,25.18,22.83,32.28,26.08,24.86,22.62,32.22,25.87,24.78,22.51
105,427,308,205,106,425,310,265,106,423,307,267,108,425,310,273,107,427,308,272,34.20,31.14,29.53,25.82,34.17,31.09,29.44,25.80,34.15,31.05,29.40,25.77,34.11,30.94,29.30,25.72,34.10,30.85,29.24,25.68
123,437,345,199,122,440,348,246,121,440,348,242,121,440,346,259,123,440,345,259,34.75,31.74,29.56,26.03,34.75,31.73,29.56,26.03,34.74,31.73,29.57,26.03,34.74,31.72,29.57,26.02,34.73,31.71,29.57,26.02
104,414,297,178,105,412,296,229,105,411,296,232,104,414,298,243,103,413,300,243,33.89,30.86,27.98,25.64,33.90,30.87,27.99,25.65,33.92,30.88,28.03,25.66,33.93,30.91,28.07,25.67,33.93,30.92,28.11,25.68
104,434,298,199,104,430,297,241,104,432,299,243,103,430,301,255,103,430,299,257,33.48,30.44,28.43,24.29,33.49,30.45,28.43,24.31,33.49,30.45,28.42,24.32,33.50,30.46,28.41,24.35,33.50,30.47,28.40,24.38
97,419,315,167,97,420,315,227,97,419,314,226,96,419,311,239,96,421,318,235,33.44,30.50,28.88,24.55,33.44,30.49,28.87,24.54,33.45,30.49,28.87,24.54,33.45,30.49,28.86,24.53,33.45,30.49,28.85,24.53
118,426,311,182,117,427,311,238,119,431,311,237,120,430,307,248,120,429,305,252,33.41,30.75,29.30,24.72,33.41,30.74,29.29,24.72,33.41,30.74,29.29,24.72,33.41,30.74,29.28,24.71,33.41,30.73,29.27,24.71
90,410,298,185,91,412,299,241,90,405,300,239,90,410,303,251,90,410,304,251,33.40,30.57,29.02,24.73,33.40,30.57,29.03,24.73,33.40,30.57,29.03,24.73,33.40,30.58,29.04,24.73,33.40,30.58,29.05,24.73
105,416,318,209,105,413,317,273,103,418,316,275,105,414,318,283,106,416,313,280,33.55,30.67,28.70,25.08,33.55,30.67,28.70,25.07,33.55,30.67,28.71,25.07,33.54,30.67,28.71,25.06,33.54,30.67,28.72,25.06
99,424,319,193,98,424,318,253,101,424,314,253,100,422,315,267,99,417,317,270,33.44,30.62,28.29,24.95,33.45,30.62,28.30,24.95,33.45,30.63,28.30,24.95,33.45,30.63,28.31,24.96,33.45,30.63,28.32,24.96
108,463,337,188,107,465,337,246,105,461,340,245,106,460,334,263,105,464,336,262,33.35,30.50,28.48,24.99,33.35,30.50,28.48,24.99,33.35,30.50,28.47,24.99,33.35,30.51,28.47,24.99,33.35,30.51,28.46,24.99
118,446,315,204,120,443,315,267,121,444,314,268,120,445,317,290,120,443,313,290,33.50,30.56,27.77,25.27,33.50,30.56,27.78,25.26,33.50,30.55,27.79,25.26,33.49,30.55,27.82,25.26,33.49,30.55,27.83,25.25
