S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,193,132,80,33,190,129,80,33,186,128,81,31,183,127,80,33.45,31.01,28.02,27.59,33.45,31.01,28.02,27.59,33.45,31.01,28.02,27.59,33.41,31.01,28.02,27.59,33.45,31.01,28.02,27.59
41,256,179,92,40,255,179,100,39,256,181,99,39,254,179,102,39,255,178,102,33.46,30.36,27.98,28.14,33.46,30.36,27.98,28.14,33.46,30.37,27.98,28.14,33.39,30.34,27.98,28.13,33.43,30.38,27.98,28.12
67,347,208,110,68,344,210,132,68,341,206,130,66,339,204,137,68,336,202,136,33.41,30.23,27.19,27.48,33.42,30.23,27.20,27.48,33.42,30.23,27.21,27.49,33.19,30.23,27.22,27.49,33.36,30.24,27.23,27.50
82,383,259,127,81,383,258,171,81,385,261,171,82,386,262,172,81,383,258,173,33.23,30.27,27.64,27.86,33.23,30.27,27.63,27.85,33.23,30.27,27.62,27.85,32.93,30.27,27.62,27.85,33.15,30.27,27.61,27.84
101,423,285,150,102,420,285,183,101,421,284,184,101,419,282,189,101,422,283,184,33.80,30.04,27.65,23.38,33.78,30.04,27.65,23.41,33.78,30.04,27.65,23.49,33.46,30.05,27.65,23.58,33.68,30.05,27.65,23.61
166,517,350,197,165,519,347,252,164,515,348,249,162,511,347,260,162,506,346,263,34.19,29.04,27.37,22.90,34.18,29.06,27.37,22.90,34.18,29.06,27.37,22.90,33.75,29.08,27.38,22.91,33.81,29.09,27.38,22.92
271,526,410,244,267,524,411,323,268,522,407,324,268,522,407,344,266,523,408,339,33.63,26.60,25.67,22.44,33.63,26.62,25.69,22.44,33.64,26.65,25.70,22.45,32.77,26.72,25.73,22.45,33.39,26.76,25.76,22.46
361,463,366,309,363,461,362,383,362,460,363,380,358,460,364,411,357,457,364,411,29.72,19.24,19.53,19.14,29.79,19.38,19.61,19.22,29.81,19.51,19.71,19.26,29.80,19.72,19.83,19.32,29.87,19.88,19.95,19.39
333,413,379,326,329,412,377,395,328,408,376,397,328,406,372,419,329,411,369,415,28.14,15.13,15.82,16.37,28.16,15.23,15.90,16.41,28.18,15.32,15.95,16.46,28.21,15.45,16.01,16.56,28.23,15.56,16.08,16.62
334,409,368,305,338,410,365,381,333,412,362,375,331,409,357,400,330,405,358,403,26.02,12.65,12.66,13.20,26.07,12.71,12.74,13.27,26.10,12.79,12.80,13.31,26.14,12.88,12.89,13.43,26.16,12.92,12.97,13.52
