S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,192,131,80,33,190,128,80,32,184,128,80,31,182,126,80,29.95,27.01,27.94,27.55,31.83,28.18,26.41,26.31,32.81,29.88,26.93,26.52,33.45,28.06,27.47,27.37,33.45,30.20,27.98,27.51
41,256,179,92,40,256,180,100,39,255,182,99,40,255,179,103,39,256,179,101,29.01,28.80,27.41,27.84,30.79,26.86,26.07,27.01,32.24,28.22,26.81,26.45,33.46,28.71,27.13,27.87,33.46,29.58,27.90,28.12
67,346,208,110,68,343,208,131,68,341,205,130,66,339,201,136,67,336,200,137,29.60,28.41,25.58,27.43,31.27,27.47,25.21,25.91,32.33,27.87,24.95,26.45,32.95,28.56,25.55,26.61,33.39,29.37,27.01,27.47
82,384,259,127,80,383,260,171,81,384,260,171,82,384,261,173,82,381,259,173,27.00,28.33,27.03,27.71,31.41,27.44,25.28,26.67,31.26,27.51,25.80,26.84,32.82,28.49,26.28,27.44,33.16,29.16,27.41,27.79
101,422,285,150,102,421,285,184,100,421,285,183,101,420,282,186,100,422,282,184,29.42,27.97,27.24,22.33,30.82,27.41,24.86,23.46,30.53,27.21,25.66,22.95,32.48,27.78,26.29,23.67,33.68,29.12,27.47,23.70
166,518,350,197,166,517,347,251,164,515,345,249,162,511,344,263,163,508,342,263,28.65,26.93,26.02,22.82,31.42,27.16,25.23,22.94,29.86,27.38,25.42,22.47,31.83,28.16,25.68,23.00,33.74,28.41,27.07,22.97
268,525,410,244,266,526,410,324,267,522,411,324,266,521,411,342,263,520,412,337,28.96,25.26,24.83,22.66,29.13,25.62,24.73,22.51,29.13,26.04,25.38,22.67,29.96,25.61,24.53,22.50,32.31,26.74,25.83,22.80
364,464,366,309,363,462,363,383,362,462,363,381,358,463,367,413,359,461,365,413,27.41,19.18,19.47,19.15,27.09,19.34,19.51,19.22,27.47,19.50,19.71,19.29,28.46,19.63,19.72,19.35,28.76,19.93,20.54,19.45
333,413,379,326,329,411,377,395,329,408,376,396,328,405,371,418,327,409,369,415,27.00,15.13,15.82,16.37,26.04,15.22,15.90,16.41,25.94,15.32,15.95,16.46,26.29,15.45,16.01,16.56,27.93,15.55,16.16,16.62
334,409,368,305,337,409,365,381,334,411,362,376,333,410,358,401,332,405,359,403,24.84,12.65,12.66,13.20,24.28,12.71,12.74,13.27,25.66,12.79,12.80,13.32,24.82,12.88,12.90,13.44,26.30,12.93,12.98,13.52
329,379,333,298,333,378,335,379,335,378,332,378,336,383,333,396,335,380,329,395,24.16,11.40,12.00,11.98,24.72,11.43,12.02,12.00,24.78,11.47,12.04,12.04,23.17,11.52,12.06,12.07,24.81,11.56,12.08,12.10
309,384,332,304,304,388,333,365,302,389,338,367,303,386,336,381,303,392,339,385,25.08,11.60,11.82,12.53,23.48,11.59,11.83,12.51,25.45,11.58,11.83,12.48,23.82,11.57,11.84,12.46,25.67,11.56,11.85,12.44
205,424,331,282,209,425,336,359,215,427,335,363,220,427,338,384,224,426,341,386,24.89,18.12,17.66,17.29,26.82,17.99,17.48,17.13,27.06,17.83,17.34,17.00,27.25,17.59,17.03,16.74,28.09,17.44,16.87,16.67
126,421,308,209,127,423,305,271,127,427,311,274,127,431,315,300,128,434,318,300,31.56,25.03,24.17,22.71,29.95,25.00,24.14,23.03,31.17,25.05,24.81,22.45,30.78,24.75,24.02,22.87,31.64,25.52,24.91,22.66
105,426,307,204,107,424,310,266,107,422,308,266,107,424,310,274,108,426,308,273,29.91,27.27,27.37,25.56,32.50,28.26,27.17,24.25,30.90,28.25,27.69,25.34,33.37,28.83,28.12,24.69,33.95,30.08,28.41,25.81
123,437,346,199,122,440,349,245,121,442,347,244,122,441,347,260,121,438,345,259,30.15,27.32,27.52,25.85,33.12,28.32,27.24,24.36,30.64,28.74,27.79,25.35,33.14,28.80,28.44,24.69,34.19,30.85,28.51,26.19
104,414,297,179,105,411,296,229,105,411,296,231,104,412,299,242,103,415,302,244,29.72,27.72,26.91,25.46,31.83,28.29,25.59,23.55,31.40,28.41,26.45,25.32,32.36,27.18,26.63,24.14,33.50,29.70,27.87,25.78
105,432,298,198,104,432,297,243,104,430,300,243,103,430,299,255,104,428,299,256,29.82,27.81,26.11,23.63,31.01,27.94,25.91,24.03,32.00,28.34,25.85,24.14,33.10,27.80,26.75,22.92,33.42,29.54,28.18,24.40
96,419,315,167,96,419,316,225,97,419,314,226,96,420,314,241,96,421,315,236,29.81,28.22,25.79,24.14,31.37,27.63,26.34,24.53,31.30,28.53,26.75,24.52,32.86,27.66,27.78,23.38,33.36,29.60,28.37,24.56
118,425,311,182,117,427,310,238,118,432,311,236,120,431,308,245,119,431,307,250,30.38,28.01,26.38,24.44,31.01,28.10,26.48,24.73,32.02,28.32,27.01,24.35,32.81,27.42,28.07,23.59,33.31,29.65,28.37,24.74
90,413,299,185,91,409,299,241,91,405,300,240,90,410,302,251,91,408,303,252,29.88,28.22,26.14,24.77,31.41,27.74,26.53,24.78,32.49,28.37,26.96,24.36,33.06,27.74,28.19,23.48,33.32,29.76,28.31,24.75
105,415,317,209,106,417,318,273,103,418,316,274,104,413,317,282,105,418,314,279,29.58,27.68,25.11,23.92,30.90,27.60,26.34,25.14,31.56,28.96,26.38,24.71,32.31,27.65,27.30,23.79,33.45,29.70,28.12,25.14
99,425,319,193,97,423,317,253,100,423,314,253,100,421,314,269,99,416,316,270,28.87,27.56,25.22,23.48,31.42,27.80,26.19,25.02,31.24,28.85,26.25,24.31,31.66,27.46,27.17,23.78,33.24,29.66,28.01,25.01
108,462,338,187,107,465,337,246,105,459,340,245,106,461,336,262,106,464,336,262,29.33,27.98,25.82,23.70,31.00,27.50,26.18,24.95,31.30,28.25,26.14,24.68,32.84,27.79,26.90,23.84,33.23,29.69,28.15,25.06
119,445,314,205,121,444,316,267,121,448,315,269,120,447,315,290,120,444,314,289,30.36,28.25,26.70,24.55,30.75,27.44,25.49,25.34,31.33,28.14,26.26,24.47,32.57,27.73,26.33,24.08,33.36,29.54,27.61,25.33
118,475,361,218,117,477,359,266,118,477,360,263,118,476,361,287,117,477,360,287,29.42,28.36,26.87,24.56,30.81,27.87,25.83,25.30,31.10,28.26,25.56,24.49,32.53,28.51,26.43,24.09,33.14,29.52,27.87,25.28
125,459,331,218,125,458,333,286,124,460,334,287,125,463,336,301,126,461,338,302,29.99,27.82,27.12,25.30,31.34,27.93,26.98,24.51,31.69,29.11,27.09,25.59,32.99,28.16,28.26,24.89,33.14,29.84,28.42,26.05
