S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,134,68,33,191,132,80,33,186,128,80,31,184,127,80,31,181,124,80,30.09,24.36,23.54,23.79,28.86,22.26,22.45,23.70,31.57,25.10,23.94,24.80,31.89,26.04,23.43,25.09,33.14,27.28,25.48,26.65
41,255,179,92,40,256,179,100,39,257,180,99,41,254,178,102,40,254,177,100,31.30,24.09,23.38,26.12,28.14,23.56,22.55,25.19,30.29,24.91,22.50,25.79,31.85,26.71,22.78,26.04,33.16,27.06,25.23,27.36
67,342,209,109,68,340,206,131,68,339,202,130,65,336,202,137,65,336,203,138,30.20,22.84,22.99,25.20,27.59,23.19,21.39,23.99,29.14,25.68,23.08,24.81,29.97,27.30,22.17,24.99,32.37,27.44,24.38,25.93
82,386,258,128,81,386,261,172,81,385,264,170,83,384,258,173,83,379,259,173,28.81,23.41,21.62,23.04,27.81,22.86,20.69,22.99,29.25,26.02,23.13,25.06,29.54,27.45,23.09,24.03,31.18,27.03,24.49,24.87
101,421,286,150,101,419,281,183,100,419,279,184,100,421,283,185,99,423,279,184,28.00,22.56,21.47,19.59,26.65,23.45,20.88,20.91,28.91,26.03,23.47,20.98,27.85,27.55,23.96,21.96,30.64,27.46,24.63,21.82
165,519,347,196,165,519,351,250,164,515,350,249,162,510,341,264,163,507,343,260,26.90,23.89,21.32,20.17,24.87,24.23,20.78,19.29,27.28,26.44,23.53,20.15,27.00,25.76,24.26,20.14,29.15,26.64,24.75,20.29
265,524,411,242,266,523,408,324,265,521,411,322,263,520,414,340,262,516,411,339,24.50,22.29,20.76,19.34,25.37,21.35,20.46,18.76,28.62,24.34,23.00,19.39,28.82,24.45,24.16,20.00,29.56,25.02,23.65,20.21
365,466,367,312,361,462,365,383,362,466,365,378,362,465,367,414,353,467,369,411,23.55,16.44,16.48,15.98,23.25,17.51,17.18,16.23,26.23,18.14,17.88,16.75,27.11,18.21,18.54,16.69,27.27,18.92,19.02,17.74
329,415,378,326,331,412,378,396,327,410,376,401,326,408,374,415,331,412,369,417,23.25,13.26,14.80,14.03,22.10,13.46,13.57,14.01,24.09,14.43,14.18,14.86,24.31,15.17,14.13,14.29,25.36,15.41,15.29,15.17
336,409,370,305,332,414,366,381,333,412,362,376,333,411,359,405,332,407,360,404,21.13,12.57,12.62,13.10,20.49,11.73,11.76,12.63,23.10,12.07,12.06,12.47,24.46,12.81,12.57,13.11,24.47,12.77,12.74,12.66
334,380,334,298,336,376,334,378,336,378,333,378,336,383,333,396,337,380,329,395,19.82,10.84,12.00,11.98,19.60,11.31,11.02,11.98,21.77,11.37,11.34,11.92,23.03,11.51,11.86,11.58,23.02,11.35,11.93,11.64
