S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,135,68,33,192,131,80,33,190,128,80,32,184,128,80,31,182,125,80,30.75,25.62,27.41,27.55,31.01,25.89,26.11,25.97,32.13,28.08,26.85,26.86,33.15,28.94,27.54,27.37,33.42,28.99,27.98,27.50
41,256,178,92,40,256,180,100,39,254,181,99,40,255,179,103,39,255,180,102,30.04,27.19,27.02,27.91,30.01,25.50,25.21,26.79,29.90,27.14,26.84,27.29,33.20,27.84,27.25,27.83,33.43,27.47,27.67,27.93
67,345,209,109,68,342,207,131,68,341,205,130,66,338,200,136,66,337,199,136,30.10,26.52,24.23,27.13,29.89,25.63,23.85,25.56,31.32,26.64,25.48,26.69,32.03,27.18,24.94,25.98,32.96,27.62,26.04,26.87
82,383,259,128,80,384,261,171,81,383,261,171,82,382,260,173,83,379,259,173,28.86,26.06,25.66,27.65,29.17,26.07,23.83,25.90,30.30,27.25,25.42,26.51,31.28,27.75,24.82,27.31,32.64,27.52,25.97,27.51
101,421,285,150,102,421,284,184,100,421,283,183,101,422,282,186,100,420,283,184,28.30,25.78,25.70,21.65,29.22,25.51,23.84,23.37,30.99,26.77,25.54,22.14,32.45,27.48,24.83,22.60,33.24,27.44,25.91,23.41
166,518,349,197,166,516,348,251,164,515,347,249,162,508,345,263,162,510,340,262,28.62,24.95,24.67,22.04,29.12,25.42,23.69,22.84,28.98,26.48,25.00,20.81,30.04,27.66,23.85,22.68,31.56,27.01,25.43,22.34
267,527,411,243,266,524,409,324,267,523,410,324,264,523,411,342,262,520,412,337,28.52,24.01,23.97,22.06,27.19,23.75,23.24,22.37,28.70,24.51,23.68,21.89,29.64,24.46,23.25,22.31,29.92,25.34,24.19,21.19
363,465,366,310,361,465,364,383,362,463,364,381,361,465,368,413,359,463,367,414,25.79,19.16,19.50,19.14,24.95,19.26,19.49,19.22,26.66,19.40,19.52,19.24,27.34,19.56,19.65,19.32,27.16,19.73,19.41,19.25
334,413,379,326,330,411,377,395,328,408,376,396,327,405,371,418,330,409,369,415,25.41,15.13,15.82,16.37,24.60,15.22,15.90,16.41,25.89,15.32,15.95,16.46,26.33,15.45,16.01,16.56,26.78,15.55,16.03,16.62
335,409,368,305,337,409,365,381,332,411,362,376,332,410,358,401,331,405,359,403,25.05,12.65,12.66,13.20,22.27,12.71,12.74,13.27,23.42,12.79,12.80,13.32,23.80,12.88,12.90,13.44,25.05,12.93,12.98,13.52
