S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,134,68,33,191,131,80,33,187,128,79,31,183,127,81,30,180,123,80,28.56,25.03,25.40,23.01,29.39,24.02,21.91,22.18,29.29,25.57,25.01,25.68,32.04,26.51,24.21,24.38,32.78,27.36,26.11,27.03
41,256,179,92,40,254,180,100,39,254,181,100,39,256,179,102,40,254,180,101,29.75,22.52,24.87,24.92,27.43,22.17,21.35,22.54,27.61,25.08,24.47,25.59,31.52,25.64,23.19,25.24,33.09,26.74,25.51,26.70
67,344,207,109,68,343,205,131,68,341,203,130,68,336,201,135,67,336,201,136,28.87,23.23,23.12,23.77,27.46,23.58,20.12,21.41,30.42,26.32,23.27,23.76,29.68,26.58,22.78,24.05,31.52,27.53,24.53,25.71
82,383,260,128,80,384,261,171,81,383,261,170,82,381,259,174,82,380,257,173,27.00,23.32,21.84,23.53,27.38,23.90,19.92,21.73,29.15,26.80,23.33,25.16,29.38,27.34,23.74,23.87,30.36,27.72,24.58,25.35
101,420,286,150,102,419,283,184,101,422,281,183,100,422,281,186,100,421,279,185,27.41,22.85,20.87,21.75,25.20,23.46,20.36,21.70,27.87,26.29,23.45,22.55,29.02,26.47,23.77,22.21,30.38,27.33,25.06,22.41
165,518,347,196,166,518,349,250,163,512,348,250,163,506,343,263,163,508,345,260,26.57,23.43,22.00,20.24,24.86,23.84,21.28,19.38,27.03,26.64,23.66,20.74,26.36,26.30,24.16,20.45,28.29,26.51,24.91,21.12
268,523,410,243,265,524,406,324,265,522,409,322,264,525,414,338,260,523,410,337,23.84,22.13,21.17,19.51,23.83,21.60,20.77,18.74,27.30,24.64,23.57,19.65,28.07,25.45,24.36,17.91,29.04,25.00,23.56,20.26
361,469,367,311,362,462,368,383,358,466,368,380,355,463,367,414,356,460,368,414,22.84,16.17,16.10,15.99,22.89,17.50,16.95,16.38,26.33,17.97,17.99,16.85,26.47,19.01,18.62,17.44,27.00,18.54,18.89,17.75
332,415,379,325,328,413,378,396,330,411,376,399,332,409,371,418,331,411,369,416,21.99,13.03,13.41,14.47,20.56,14.65,13.60,13.89,24.16,14.70,14.60,14.61,25.03,14.81,15.70,14.38,25.80,14.95,15.82,15.32
337,409,370,306,336,414,366,381,334,412,362,376,332,412,360,406,329,408,362,404,20.39,12.50,12.51,13.15,20.68,11.91,11.83,12.01,22.98,12.08,12.03,12.61,24.07,12.26,12.45,13.15,23.80,12.42,12.60,12.88
330,380,333,298,332,376,334,377,337,380,332,379,335,383,333,394,337,381,329,395,19.83,11.40,12.00,11.28,20.34,11.32,11.93,11.69,22.16,11.36,11.90,11.78,22.88,11.43,10.94,12.06,23.11,11.03,11.53,11.81
307,383,332,304,305,389,333,367,302,387,337,366,302,385,337,385,304,391,339,385,20.63,10.78,11.82,12.47,20.29,11.59,11.68,11.42,22.48,11.04,11.45,11.99,23.73,11.57,11.62,12.20,23.09,11.45,11.23,12.24
208,424,331,281,213,421,331,357,219,421,331,363,224,425,334,382,225,425,340,386,23.21,15.07,15.07,15.01,21.53,15.98,15.29,14.69,24.04,16.13,15.12,14.59,23.74,16.80,15.89,15.27,24.76,16.84,15.78,15.56
126,420,304,209,127,425,310,274,126,426,313,273,128,428,315,295,129,429,316,298,28.13,22.31,20.95,19.66,24.16,21.28,19.54,18.39,27.32,24.34,21.74,18.92,27.99,23.89,22.61,19.57,28.30,23.99,22.46,20.30
105,424,308,205,107,422,307,263,107,422,304,262,105,425,308,277,106,424,305,275,26.21,24.31,22.64,22.10,24.82,24.37,22.29,20.24,27.84,27.63,25.37,21.97,28.18,28.55,25.47,23.00,30.24,27.65,26.57,23.00
123,438,347,199,122,438,348,247,121,443,352,245,122,443,349,256,121,444,346,257,28.23,25.21,22.28,22.78,25.45,25.37,22.56,20.21,28.79,28.19,24.98,21.80,27.19,29.41,26.00,22.86,30.08,28.23,27.36,22.58
104,412,299,179,104,412,296,230,105,411,296,234,104,410,298,243,103,413,301,242,28.02,23.75,22.49,22.90,25.24,24.12,20.77,19.75,29.26,27.71,24.03,21.43,29.81,28.47,23.95,23.08,31.23,27.79,25.53,22.55
105,430,296,197,104,431,301,241,103,431,301,242,104,432,301,257,103,426,302,257,27.41,24.02,22.19,20.33,25.04,24.29,20.30,19.79,28.54,27.37,24.19,20.34,28.53,27.56,24.82,20.97,29.96,27.96,25.46,21.67
96,420,316,168,97,419,313,226,96,421,314,226,96,417,315,238,99,420,314,237,27.33,23.40,22.69,22.17,26.34,24.28,22.85,20.85,29.25,27.33,24.76,22.10,28.72,28.00,25.64,22.08,30.31,27.88,26.44,22.24
118,429,308,182,117,431,308,238,120,429,309,239,118,432,305,248,119,431,307,248,28.23,24.04,22.39,21.29,25.61,24.45,22.69,20.03,27.82,27.27,25.29,20.65,29.10,27.96,25.29,21.39,30.52,27.80,26.52,22.65
90,409,303,184,91,408,301,241,90,410,300,238,92,407,303,252,90,410,302,255,28.64,23.84,22.32,22.41,24.74,24.08,22.26,19.73,28.53,26.41,24.80,21.15,28.81,27.63,25.83,21.58,30.98,27.47,26.29,22.00
105,415,315,210,105,415,317,275,104,413,314,274,105,419,314,280,105,416,314,277,27.18,23.90,21.12,21.64,25.72,24.50,21.20,19.69,28.22,26.87,24.55,21.32,28.27,28.17,25.36,21.79,30.64,28.12,26.11,22.78
99,424,318,191,99,426,318,250,100,423,315,253,99,417,316,271,100,419,316,271,27.63,24.22,22.41,22.51,25.57,24.66,20.80,19.82,27.78,27.24,23.81,21.50,28.57,27.78,24.69,22.47,30.58,27.57,25.46,22.58
107,464,339,189,106,460,335,246,105,459,338,246,106,465,334,261,106,463,333,262,27.41,24.10,22.19,21.84,24.99,24.59,21.58,19.66,28.84,27.17,24.96,21.37,28.71,28.00,25.75,22.48,31.03,27.82,26.48,22.85
120,444,312,205,121,444,317,268,121,443,316,268,120,442,317,289,117,441,317,288,26.36,24.14,21.61,21.13,24.95,24.90,20.85,19.13,27.42,27.03,23.74,21.09,27.68,28.25,23.93,22.03,29.71,27.73,25.37,22.71
118,476,361,216,117,478,360,266,117,481,361,265,117,479,360,286,118,478,361,285,27.51,24.01,22.60,21.10,24.21,24.63,21.60,19.16,27.46,27.66,24.87,21.21,27.53,27.34,24.60,22.14,29.24,27.88,25.60,22.88
126,460,333,219,125,461,334,286,125,462,334,281,126,460,335,302,127,463,336,305,26.96,25.27,23.30,21.86,24.42,25.02,23.31,19.49,27.19,27.96,25.61,22.21,27.40,28.93,25.98,22.90,28.81,28.23,26.55,23.00
160,462,359,239,162,460,358,288,160,461,357,291,160,461,357,313,160,461,357,309,25.68,23.44,21.43,22.12,24.00,24.18,20.35,19.87,26.66,26.76,23.97,21.70,27.71,27.03,24.70,23.04,28.70,27.51,25.33,22.60
