S1L1_Flow,S1L2_Flow,S1L3_Flow,S1L4_Flow,S2L1_Flow,S2L2_Flow,S2L3_Flow,S2L4_Flow,S3L1_Flow,S3L2_Flow,S3L3_Flow,S3L4_Flow,S4L1_Flow,S4L2_Flow,S4L3_Flow,S4L4_Flow,S5L1_Flow,S5L2_Flow,S5L3_Flow,S5L4_Flow,S1L1_Speed,S1L2_Speed,S1L3_Speed,S1L4_Speed,S2L1_Speed,S2L2_Speed,S2L3_Speed,S2L4_Speed,S3L1_Speed,S3L2_Speed,S3L3_Speed,S3L4_Speed,S4L1_Speed,S4L2_Speed,S4L3_Speed,S4L4_Speed,S5L1_Speed,S5L2_Speed,S5L3_Speed,S5L4_Speed
34,194,134,68,33,193,131,80,33,190,129,80,33,186,128,80,31,183,127,80,33.45,30.97,27.98,27.58,33.45,30.97,28.00,27.58,33.45,30.95,28.00,27.57,33.45,30.96,28.01,27.57,33.45,30.96,28.01,27.55
41,256,180,92,40,255,180,100,39,256,181,99,39,255,179,103,39,255,178,102,33.46,30.30,27.92,28.13,33.46,30.31,27.94,28.13,33.46,30.29,27.94,28.13,33.46,30.32,27.97,28.12,33.46,30.31,27.96,28.10
67,347,208,109,68,345,210,131,68,342,206,130,66,339,203,136,68,337,202,136,33.41,30.14,27.14,27.46,33.40,30.17,27.14,27.46,33.41,30.12,27.14,27.45,33.40,30.15,27.17,27.47,33.41,30.12,27.18,27.46
82,384,259,128,80,383,258,171,81,385,260,171,82,385,261,173,81,382,258,173,33.22,30.15,27.56,27.83,33.22,30.19,27.62,27.84,33.22,30.12,27.58,27.83,33.23,30.17,27.58,27.83,33.23,30.16,27.58,27.80
101,423,285,150,102,419,285,184,101,421,285,184,101,420,283,189,101,422,283,184,33.79,29.89,27.58,23.36,33.77,29.95,27.64,23.43,33.77,29.88,27.62,23.46,33.76,29.90,27.63,23.55,33.76,29.88,27.63,23.58
166,517,350,197,165,520,347,251,164,514,348,248,162,512,345,260,162,508,344,264,34.18,28.85,27.24,22.86,34.17,28.82,27.21,22.86,34.17,28.81,27.26,22.84,34.17,28.92,27.24,22.86,34.16,28.89,27.28,22.86
270,524,410,243,268,523,412,323,267,522,407,324,267,520,411,343,265,521,411,337,33.61,26.33,25.50,22.34,33.61,26.50,25.51,22.36,33.62,26.48,25.57,22.36,33.62,26.47,25.57,22.39,33.63,26.58,25.65,22.39
362,464,366,310,362,461,361,384,362,459,363,380,359,460,363,412,358,457,363,412,29.60,19.06,19.39,19.04,29.65,19.18,19.45,19.12,29.72,19.36,19.58,19.16,29.72,19.53,19.70,19.23,29.76,19.73,19.80,19.30
333,413,378,326,331,409,377,395,330,408,376,398,329,405,372,419,329,409,369,415,28.02,14.89,15.65,16.23,28.12,14.96,15.70,16.24,28.10,15.07,15.69,16.27,28.17,15.25,15.82,16.40,28.17,15.38,15.96,16.53
334,409,369,305,336,412,365,381,332,413,362,375,331,411,357,400,330,406,358,403,25.89,12.37,12.41,12.98,25.94,12.47,12.50,13.12,25.98,12.49,12.53,13.17,26.02,12.66,12.67,13.29,26.05,12.75,12.82,13.44
